tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,port,program,channel,control,value,note,velocity
0,time_signature,,0,1,1,1,8,24,8,,,,,,,
0,control_change,,0,0,1,,,,,,,0,10,48,,
0,program_change,,0,0,1,,,,,,70,0,,,,
0,midi_port,,0,1,1,,,,,0,,,,,,
0,copyright,,0,1,0,,,,,,,,,,,
0,copyright,,0,1,0,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,
0,text,,0,1,0,,,,,,,,,,,
0,time_signature,,0,1,0,1,8,24,8,,,,,,,
0,track_name,,0,1,0,,,,,,,,,,,
94,note_on,,94,0,6,,,,,,,5,,,33,0
94,note_on,,94,0,7,,,,,,,6,,,69,0
94,note_on,,94,0,10,,,,,,,12,,,45,0
94,note_on,,94,0,8,,,,,,,10,,,69,0
94,note_on,,94,0,3,,,,,,,2,,,64,0
94,note_on,,94,0,9,,,,,,,11,,,64,0
94,note_on,,94,0,4,,,,,,,3,,,60,0
94,note_on,,94,0,5,,,,,,,4,,,45,0
94,note_on,,94,0,2,,,,,,,1,,,69,0
96,time_signature,,2,1,8,4,4,24,8,,,,,,,
96,note_on,,0,0,8,,,,,,,10,,,76,75
96,note_on,,0,0,3,,,,,,,2,,,72,92
96,time_signature,,2,1,3,4,4,24,8,,,,,,,
96,time_signature,,2,1,6,4,4,24,8,,,,,,,
96,note_on,,0,0,10,,,,,,,12,,,57,75
96,time_signature,,2,1,10,4,4,24,8,,,,,,,
96,note_on,,0,0,7,,,,,,,6,,,76,108
96,time_signature,,2,1,7,4,4,24,8,,,,,,,
96,note_on,,0,0,9,,,,,,,11,,,72,75
96,note_on,,0,0,4,,,,,,,3,,,69,75
96,time_signature,,2,1,9,4,4,24,8,,,,,,,
96,time_signature,,96,1,0,4,4,24,8,,,,,,,
96,end_of_track,,0,1,0,,,,,,,,,,,
96,note_on,,0,0,2,,,,,,,1,,,76,92
96,time_signature,,2,1,4,4,4,24,8,,,,,,,
96,note_on,,0,0,6,,,,,,,5,,,45,60
96,note_on,,0,0,5,,,,,,,4,,,57,75
96,time_signature,,96,1,1,4,4,24,8,,,,,,,
96,time_signature,,2,1,2,4,4,24,8,,,,,,,
96,time_signature,,2,1,5,4,4,24,8,,,,,,,
190,note_on,,94,0,9,,,,,,,11,,,72,0
190,note_on,,94,0,3,,,,,,,2,,,72,0
190,note_on,,94,0,8,,,,,,,10,,,76,0
190,note_on,,94,0,4,,,,,,,3,,,69,0
190,note_on,,94,0,2,,,,,,,1,,,76,0
192,note_on,,2,0,9,,,,,,,11,,,69,75
192,note_on,,2,0,8,,,,,,,10,,,72,75
192,note_on,,2,0,2,,,,,,,1,,,72,92
192,note_on,,2,0,3,,,,,,,2,,,69,92
192,note_on,,2,0,4,,,,,,,3,,,64,75
286,note_on,,94,0,9,,,,,,,11,,,69,0
286,note_on,,94,0,4,,,,,,,3,,,64,0
286,note_on,,94,0,3,,,,,,,2,,,69,0
286,note_on,,94,0,8,,,,,,,10,,,72,0
286,note_on,,94,0,2,,,,,,,1,,,72,0
288,note_on,,2,0,3,,,,,,,2,,,69,92
288,note_on,,2,0,8,,,,,,,10,,,72,75
288,note_on,,2,0,9,,,,,,,11,,,69,75
288,note_on,,2,0,4,,,,,,,3,,,64,75
288,note_on,,2,0,2,,,,,,,1,,,72,92
352,note_on,,256,0,10,,,,,,,12,,,57,0
352,note_on,,256,0,5,,,,,,,4,,,57,0
352,note_on,,256,0,7,,,,,,,6,,,76,0
352,note_on,,256,0,6,,,,,,,5,,,45,0
382,note_on,,94,0,2,,,,,,,1,,,72,0
382,note_on,,94,0,8,,,,,,,10,,,72,0
382,note_on,,94,0,9,,,,,,,11,,,69,0
382,note_on,,94,0,3,,,,,,,2,,,69,0
382,note_on,,94,0,4,,,,,,,3,,,64,0
384,note_on,,32,0,5,,,,,,,4,,,57,75
384,note_on,,2,0,3,,,,,,,2,,,64,92
384,note_on,,32,0,10,,,,,,,12,,,57,75
384,note_on,,2,0,2,,,,,,,1,,,69,92
384,note_on,,32,0,7,,,,,,,6,,,76,108
384,note_on,,32,0,6,,,,,,,5,,,45,60
384,note_on,,2,0,8,,,,,,,10,,,69,75
384,note_on,,2,0,4,,,,,,,3,,,60,75
384,note_on,,2,0,9,,,,,,,11,,,64,75
478,note_on,,94,0,6,,,,,,,5,,,45,0
478,note_on,,94,0,10,,,,,,,12,,,57,0
478,note_on,,94,0,3,,,,,,,2,,,64,0
478,note_on,,94,0,2,,,,,,,1,,,69,0
478,note_on,,94,0,8,,,,,,,10,,,69,0
478,note_on,,94,0,7,,,,,,,6,,,76,0
478,note_on,,94,0,4,,,,,,,3,,,60,0
478,note_on,,94,0,5,,,,,,,4,,,57,0
478,note_on,,94,0,9,,,,,,,11,,,64,0
480,note_on,,2,0,9,,,,,,,11,,,64,75
480,note_on,,2,0,5,,,,,,,4,,,60,75
480,note_on,,2,0,2,,,,,,,1,,,69,92
480,note_on,,2,0,8,,,,,,,10,,,69,75
480,note_on,,2,0,3,,,,,,,2,,,64,92
480,note_on,,2,0,10,,,,,,,12,,,60,75
480,note_on,,2,0,7,,,,,,,6,,,81,108
480,note_on,,2,0,6,,,,,,,5,,,48,60
480,note_on,,2,0,4,,,,,,,3,,,60,75
574,note_on,,94,0,10,,,,,,,12,,,60,0
574,note_on,,94,0,5,,,,,,,4,,,60,0
574,note_on,,94,0,6,,,,,,,5,,,48,0
576,note_on,,2,0,6,,,,,,,5,,,45,60
576,note_on,,2,0,10,,,,,,,12,,,57,75
576,note_on,,2,0,5,,,,,,,4,,,57,75
670,note_on,,94,0,10,,,,,,,12,,,57,0
670,note_on,,94,0,6,,,,,,,5,,,45,0
670,note_on,,94,0,5,,,,,,,4,,,57,0
672,note_on,,2,0,5,,,,,,,4,,,57,75
672,note_on,,2,0,10,,,,,,,12,,,57,75
672,note_on,,2,0,6,,,,,,,5,,,45,60
736,note_on,,256,0,7,,,,,,,6,,,81,0
736,note_on,,256,0,9,,,,,,,11,,,64,0
736,note_on,,256,0,4,,,,,,,3,,,60,0
736,note_on,,256,0,2,,,,,,,1,,,69,0
736,note_on,,256,0,3,,,,,,,2,,,64,0
736,note_on,,256,0,8,,,,,,,10,,,69,0
766,note_on,,94,0,10,,,,,,,12,,,57,0
766,note_on,,94,0,5,,,,,,,4,,,57,0
766,note_on,,94,0,6,,,,,,,5,,,45,0
768,note_on,,32,0,9,,,,,,,11,,,76,75
768,note_on,,32,0,2,,,,,,,1,,,81,92
768,note_on,,32,0,8,,,,,,,10,,,81,75
768,note_on,,2,0,5,,,,,,,4,,,45,75
768,note_on,,32,0,3,,,,,,,2,,,76,92
768,note_on,,2,0,6,,,,,,,5,,,33,60
768,note_on,,32,0,7,,,,,,,6,,,81,108
768,note_on,,32,0,4,,,,,,,3,,,72,75
768,note_on,,2,0,10,,,,,,,12,,,45,75
862,note_on,,94,0,9,,,,,,,11,,,76,0
862,note_on,,94,0,2,,,,,,,1,,,81,0
862,note_on,,94,0,6,,,,,,,5,,,33,0
862,note_on,,94,0,8,,,,,,,10,,,81,0
862,note_on,,94,0,10,,,,,,,12,,,45,0
862,note_on,,94,0,4,,,,,,,3,,,72,0
862,note_on,,94,0,7,,,,,,,6,,,81,0
862,note_on,,94,0,5,,,,,,,4,,,45,0
862,note_on,,94,0,3,,,,,,,2,,,76,0
864,note_on,,2,0,3,,,,,,,2,,,72,92
864,note_on,,2,0,6,,,,,,,5,,,33,60
864,note_on,,2,0,7,,,,,,,6,,,76,108
864,note_on,,2,0,5,,,,,,,4,,,45,75
864,note_on,,2,0,10,,,,,,,12,,,45,75
864,note_on,,2,0,9,,,,,,,11,,,72,75
864,note_on,,2,0,4,,,,,,,3,,,69,75
864,note_on,,2,0,8,,,,,,,10,,,76,75
864,note_on,,2,0,2,,,,,,,1,,,76,92
958,note_on,,94,0,3,,,,,,,2,,,72,0
958,note_on,,94,0,9,,,,,,,11,,,72,0
958,note_on,,94,0,7,,,,,,,6,,,76,0
958,note_on,,94,0,4,,,,,,,3,,,69,0
958,note_on,,94,0,2,,,,,,,1,,,76,0
958,note_on,,94,0,8,,,,,,,10,,,76,0
960,note_on,,2,0,2,,,,,,,1,,,72,92
960,note_on,,2,0,3,,,,,,,2,,,69,92
960,note_on,,2,0,4,,,,,,,3,,,64,75
960,note_on,,2,0,7,,,,,,,6,,,72,108
960,note_on,,2,0,9,,,,,,,11,,,69,75
960,note_on,,2,0,8,,,,,,,10,,,72,75
1054,note_on,,94,0,4,,,,,,,3,,,64,0
1054,note_on,,94,0,9,,,,,,,11,,,69,0
1054,note_on,,94,0,8,,,,,,,10,,,72,0
1054,note_on,,94,0,3,,,,,,,2,,,69,0
1054,note_on,,94,0,2,,,,,,,1,,,72,0
1054,note_on,,94,0,7,,,,,,,6,,,72,0
1056,note_on,,2,0,9,,,,,,,11,,,69,75
1056,note_on,,2,0,4,,,,,,,3,,,64,75
1056,note_on,,2,0,2,,,,,,,1,,,72,92
1056,note_on,,2,0,7,,,,,,,6,,,72,108
1056,note_on,,2,0,3,,,,,,,2,,,69,92
1056,note_on,,2,0,8,,,,,,,10,,,72,75
1120,note_on,,256,0,10,,,,,,,12,,,45,0
1120,note_on,,256,0,6,,,,,,,5,,,33,0
1120,note_on,,256,0,5,,,,,,,4,,,45,0
1150,note_on,,94,0,2,,,,,,,1,,,72,0
1150,note_on,,94,0,9,,,,,,,11,,,69,0
1150,note_on,,94,0,7,,,,,,,6,,,72,0
1150,note_on,,94,0,3,,,,,,,2,,,69,0
1150,note_on,,94,0,8,,,,,,,10,,,72,0
1150,note_on,,94,0,4,,,,,,,3,,,64,0
1152,note_on,,2,0,8,,,,,,,10,,,69,75
1152,note_on,,32,0,5,,,,,,,4,,,57,75
1152,note_on,,2,0,4,,,,,,,3,,,60,75
1152,note_on,,2,0,9,,,,,,,11,,,64,75
1152,note_on,,32,0,10,,,,,,,12,,,57,75
1152,note_on,,32,0,6,,,,,,,5,,,45,60
1152,note_on,,2,0,2,,,,,,,1,,,69,92
1152,note_on,,2,0,3,,,,,,,2,,,64,92
1152,note_on,,2,0,7,,,,,,,6,,,69,108
1246,note_on,,94,0,10,,,,,,,12,,,57,0
1246,note_on,,94,0,4,,,,,,,3,,,60,0
1246,note_on,,94,0,7,,,,,,,6,,,69,0
1246,note_on,,94,0,9,,,,,,,11,,,64,0
1246,note_on,,94,0,3,,,,,,,2,,,64,0
1246,note_on,,94,0,6,,,,,,,5,,,45,0
1246,note_on,,94,0,8,,,,,,,10,,,69,0
1246,note_on,,94,0,5,,,,,,,4,,,57,0
1246,note_on,,94,0,2,,,,,,,1,,,69,0
1248,note_on,,2,0,10,,,,,,,12,,,60,75
1248,note_on,,2,0,6,,,,,,,5,,,48,60
1248,note_on,,2,0,3,,,,,,,2,,,64,92
1248,note_on,,2,0,2,,,,,,,1,,,69,92
1248,note_on,,2,0,4,,,,,,,3,,,60,75
1248,note_on,,2,0,5,,,,,,,4,,,60,75
1248,note_on,,2,0,8,,,,,,,10,,,69,75
1248,note_on,,2,0,9,,,,,,,11,,,64,75
1248,note_on,,2,0,7,,,,,,,6,,,69,108
1342,note_on,,94,0,5,,,,,,,4,,,60,0
1342,note_on,,94,0,6,,,,,,,5,,,48,0
1342,note_on,,94,0,10,,,,,,,12,,,60,0
1344,note_on,,2,0,5,,,,,,,4,,,57,75
1344,note_on,,2,0,6,,,,,,,5,,,45,60
1344,note_on,,2,0,10,,,,,,,12,,,57,75
1438,note_on,,94,0,6,,,,,,,5,,,45,0
1438,note_on,,94,0,10,,,,,,,12,,,57,0
1438,note_on,,94,0,5,,,,,,,4,,,57,0
1440,note_on,,2,0,6,,,,,,,5,,,45,60
1440,note_on,,2,0,5,,,,,,,4,,,57,75
1440,note_on,,2,0,10,,,,,,,12,,,57,75
1504,note_on,,256,0,9,,,,,,,11,,,64,0
1504,note_on,,256,0,3,,,,,,,2,,,64,0
1504,note_on,,256,0,8,,,,,,,10,,,69,0
1504,note_on,,256,0,4,,,,,,,3,,,60,0
1504,note_on,,256,0,7,,,,,,,6,,,69,0
1504,note_on,,256,0,2,,,,,,,1,,,69,0
1534,note_on,,94,0,10,,,,,,,12,,,57,0
1534,note_on,,94,0,6,,,,,,,5,,,45,0
1534,note_on,,94,0,5,,,,,,,4,,,57,0
1536,note_on,,2,0,6,,,,,,,5,,,40,60
1536,note_on,,32,0,9,,,,,,,11,,,72,75
1536,note_on,,32,0,7,,,,,,,6,,,76,108
1536,note_on,,32,0,3,,,,,,,2,,,72,92
1536,note_on,,32,0,4,,,,,,,3,,,67,75
1536,note_on,,2,0,5,,,,,,,4,,,52,75
1536,note_on,,2,0,10,,,,,,,12,,,52,75
1536,note_on,,32,0,2,,,,,,,1,,,76,92
1536,note_on,,32,0,8,,,,,,,10,,,76,75
1630,note_on,,94,0,5,,,,,,,4,,,52,0
1630,note_on,,94,0,9,,,,,,,11,,,72,0
1630,note_on,,94,0,6,,,,,,,5,,,40,0
1630,note_on,,94,0,2,,,,,,,1,,,76,0
1630,note_on,,94,0,7,,,,,,,6,,,76,0
1630,note_on,,94,0,4,,,,,,,3,,,67,0
1630,note_on,,94,0,3,,,,,,,2,,,72,0
1630,note_on,,94,0,10,,,,,,,12,,,52,0
1630,note_on,,94,0,8,,,,,,,10,,,76,0
1632,note_on,,2,0,2,,,,,,,1,,,79,92
1632,note_on,,2,0,6,,,,,,,5,,,40,60
1632,note_on,,2,0,5,,,,,,,4,,,52,75
1632,note_on,,2,0,4,,,,,,,3,,,72,75
1632,note_on,,2,0,8,,,,,,,10,,,79,75
1632,note_on,,2,0,7,,,,,,,6,,,79,108
1632,note_on,,2,0,3,,,,,,,2,,,76,92
1632,note_on,,2,0,10,,,,,,,12,,,52,75
1632,note_on,,2,0,9,,,,,,,11,,,76,75
1726,note_on,,94,0,9,,,,,,,11,,,76,0
1726,note_on,,94,0,8,,,,,,,10,,,79,0
1726,note_on,,94,0,3,,,,,,,2,,,76,0
1726,note_on,,94,0,7,,,,,,,6,,,79,0
1726,note_on,,94,0,2,,,,,,,1,,,79,0
1726,note_on,,94,0,4,,,,,,,3,,,72,0
1728,note_on,,2,0,9,,,,,,,11,,,72,75
1728,note_on,,2,0,4,,,,,,,3,,,67,75
1728,note_on,,2,0,8,,,,,,,10,,,76,75
1728,note_on,,2,0,3,,,,,,,2,,,72,92
1728,note_on,,2,0,2,,,,,,,1,,,76,92
1728,note_on,,2,0,7,,,,,,,6,,,76,108
1792,note_on,,160,0,10,,,,,,,12,,,52,0
1792,note_on,,160,0,5,,,,,,,4,,,52,0
1792,note_on,,160,0,6,,,,,,,5,,,40,0
1822,note_on,,94,0,3,,,,,,,2,,,72,0
1822,note_on,,94,0,9,,,,,,,11,,,72,0
1822,note_on,,94,0,7,,,,,,,6,,,76,0
1822,note_on,,94,0,2,,,,,,,1,,,76,0
1822,note_on,,94,0,8,,,,,,,10,,,76,0
1822,note_on,,94,0,4,,,,,,,3,,,67,0
1824,note_on,,2,0,4,,,,,,,3,,,67,75
1824,note_on,,2,0,7,,,,,,,6,,,76,108
1824,note_on,,2,0,8,,,,,,,10,,,76,75
1824,note_on,,2,0,2,,,,,,,1,,,76,92
1824,note_on,,2,0,3,,,,,,,2,,,72,92
1824,note_on,,2,0,9,,,,,,,11,,,72,75
1918,note_on,,94,0,2,,,,,,,1,,,76,0
1918,note_on,,94,0,4,,,,,,,3,,,67,0
1918,note_on,,94,0,8,,,,,,,10,,,76,0
1918,note_on,,94,0,3,,,,,,,2,,,72,0
1918,note_on,,94,0,9,,,,,,,11,,,72,0
1918,note_on,,94,0,7,,,,,,,6,,,76,0
1920,note_on,,128,0,10,,,,,,,12,,,55,75
1920,note_on,,2,0,8,,,,,,,10,,,72,75
1920,note_on,,2,0,3,,,,,,,2,,,67,92
1920,note_on,,2,0,4,,,,,,,3,,,64,75
1920,note_on,,128,0,5,,,,,,,4,,,55,75
1920,note_on,,128,0,6,,,,,,,5,,,43,60
1920,note_on,,2,0,7,,,,,,,6,,,72,108
1920,note_on,,2,0,2,,,,,,,1,,,72,92
1920,note_on,,2,0,9,,,,,,,11,,,67,75
1990,note_on,,70,0,2,,,,,,,1,,,72,0
1990,note_on,,70,0,4,,,,,,,3,,,64,0
1990,note_on,,70,0,8,,,,,,,10,,,72,0
1992,note_on,,2,0,4,,,,,,,3,,,62,75
1992,note_on,,2,0,2,,,,,,,1,,,71,92
1992,note_on,,2,0,8,,,,,,,10,,,71,75
2014,note_on,,94,0,6,,,,,,,5,,,43,0
2014,note_on,,94,0,10,,,,,,,12,,,55,0
2014,note_on,,22,0,8,,,,,,,10,,,71,0
2014,note_on,,94,0,7,,,,,,,6,,,72,0
2014,note_on,,22,0,2,,,,,,,1,,,71,0
2014,note_on,,94,0,5,,,,,,,4,,,55,0
2014,note_on,,22,0,4,,,,,,,3,,,62,0
2014,note_on,,94,0,3,,,,,,,2,,,67,0
2014,note_on,,94,0,9,,,,,,,11,,,67,0
2016,note_on,,2,0,10,,,,,,,12,,,64,75
2016,note_on,,2,0,3,,,,,,,2,,,67,92
2016,note_on,,2,0,9,,,,,,,11,,,67,75
2016,note_on,,2,0,8,,,,,,,10,,,72,75
2016,note_on,,2,0,6,,,,,,,5,,,52,60
2016,note_on,,2,0,7,,,,,,,6,,,72,108
2016,note_on,,2,0,2,,,,,,,1,,,72,92
2016,note_on,,2,0,4,,,,,,,3,,,64,75
2016,note_on,,2,0,5,,,,,,,4,,,64,75
2110,note_on,,94,0,5,,,,,,,4,,,64,0
2110,note_on,,94,0,6,,,,,,,5,,,52,0
2110,note_on,,94,0,10,,,,,,,12,,,64,0
2112,note_on,,2,0,10,,,,,,,12,,,60,75
2112,note_on,,2,0,5,,,,,,,4,,,60,75
2112,note_on,,2,0,6,,,,,,,5,,,48,60
2206,note_on,,94,0,10,,,,,,,12,,,60,0
2206,note_on,,94,0,5,,,,,,,4,,,60,0
2206,note_on,,94,0,6,,,,,,,5,,,48,0
2208,note_on,,2,0,5,,,,,,,4,,,60,75
2208,note_on,,2,0,10,,,,,,,12,,,60,75
2208,note_on,,2,0,6,,,,,,,5,,,48,60
2272,note_on,,256,0,2,,,,,,,1,,,72,0
2272,note_on,,256,0,7,,,,,,,6,,,72,0
2272,note_on,,256,0,4,,,,,,,3,,,64,0
2272,note_on,,256,0,3,,,,,,,2,,,67,0
2272,note_on,,256,0,9,,,,,,,11,,,67,0
2272,note_on,,256,0,8,,,,,,,10,,,72,0
2302,note_on,,94,0,6,,,,,,,5,,,48,0
2302,note_on,,94,0,10,,,,,,,12,,,60,0
2302,note_on,,94,0,5,,,,,,,4,,,60,0
2304,note_on,,32,0,7,,,,,,,6,,,76,108
2304,note_on,,2,0,5,,,,,,,4,,,57,75
2304,note_on,,32,0,8,,,,,,,10,,,76,75
2304,note_on,,32,0,4,,,,,,,3,,,69,75
2304,note_on,,32,0,9,,,,,,,11,,,72,75
2304,note_on,,32,0,2,,,,,,,1,,,76,92
2304,note_on,,2,0,10,,,,,,,12,,,57,75
2304,note_on,,32,0,3,,,,,,,2,,,72,92
2304,note_on,,2,0,6,,,,,,,5,,,45,60
2398,note_on,,94,0,5,,,,,,,4,,,57,0
2398,note_on,,94,0,4,,,,,,,3,,,69,0
2398,note_on,,94,0,3,,,,,,,2,,,72,0
2398,note_on,,94,0,7,,,,,,,6,,,76,0
2398,note_on,,94,0,6,,,,,,,5,,,45,0
2398,note_on,,94,0,2,,,,,,,1,,,76,0
2398,note_on,,94,0,9,,,,,,,11,,,72,0
2398,note_on,,94,0,8,,,,,,,10,,,76,0
2398,note_on,,94,0,10,,,,,,,12,,,57,0
2400,note_on,,2,0,9,,,,,,,11,,,72,75
2400,note_on,,2,0,5,,,,,,,4,,,50,75
2400,note_on,,2,0,6,,,,,,,5,,,38,60
2400,note_on,,2,0,4,,,,,,,3,,,69,75
2400,note_on,,2,0,8,,,,,,,10,,,78,75
2400,note_on,,2,0,2,,,,,,,1,,,78,92
2400,note_on,,2,0,7,,,,,,,6,,,78,108
2400,note_on,,2,0,3,,,,,,,2,,,72,92
2400,note_on,,2,0,10,,,,,,,12,,,50,75
2470,note_on,,70,0,7,,,,,,,6,,,78,0
2472,note_on,,2,0,7,,,,,,,6,,,76,108
2494,note_on,,94,0,2,,,,,,,1,,,78,0
2494,note_on,,94,0,8,,,,,,,10,,,78,0
2494,note_on,,94,0,3,,,,,,,2,,,72,0
2494,note_on,,94,0,9,,,,,,,11,,,72,0
2494,note_on,,94,0,4,,,,,,,3,,,69,0
2494,note_on,,22,0,7,,,,,,,6,,,76,0
2496,note_on,,2,0,3,,,,,,,2,,,71,92
2496,note_on,,2,0,8,,,,,,,10,,,79,75
2496,note_on,,2,0,2,,,,,,,1,,,79,92
2496,note_on,,2,0,9,,,,,,,11,,,71,75
2496,note_on,,2,0,4,,,,,,,3,,,62,75
2496,note_on,,2,0,7,,,,,,,6,,,74,108
2560,note_on,,160,0,5,,,,,,,4,,,50,0
2560,note_on,,160,0,10,,,,,,,12,,,50,0
2560,note_on,,160,0,6,,,,,,,5,,,38,0
2566,note_on,,70,0,8,,,,,,,10,,,79,0
2566,note_on,,70,0,2,,,,,,,1,,,79,0
2566,note_on,,70,0,7,,,,,,,6,,,74,0
2568,note_on,,2,0,8,,,,,,,10,,,78,75
2568,note_on,,2,0,2,,,,,,,1,,,78,92
2568,note_on,,2,0,7,,,,,,,6,,,76,108
2590,note_on,,22,0,7,,,,,,,6,,,76,0
2590,note_on,,22,0,8,,,,,,,10,,,78,0
2590,note_on,,94,0,9,,,,,,,11,,,71,0
2590,note_on,,22,0,2,,,,,,,1,,,78,0
2590,note_on,,94,0,4,,,,,,,3,,,62,0
2590,note_on,,94,0,3,,,,,,,2,,,71,0
2592,note_on,,2,0,2,,,,,,,1,,,78,92
2592,note_on,,2,0,4,,,,,,,3,,,62,75
2592,note_on,,2,0,8,,,,,,,10,,,78,75
2592,note_on,,2,0,3,,,,,,,2,,,69,92
2592,note_on,,2,0,9,,,,,,,11,,,69,75
2592,note_on,,2,0,7,,,,,,,6,,,78,108
2688,note_on,,128,0,5,,,,,,,4,,,60,75
2688,note_on,,128,0,6,,,,,,,5,,,48,60
2688,note_on,,128,0,10,,,,,,,12,,,60,75
2734,note_on,,142,0,2,,,,,,,1,,,78,0
2734,note_on,,142,0,7,,,,,,,6,,,78,0
2734,note_on,,142,0,3,,,,,,,2,,,69,0
2734,note_on,,142,0,9,,,,,,,11,,,69,0
2734,note_on,,142,0,8,,,,,,,10,,,78,0
2736,note_on,,2,0,3,,,,,,,2,,,69,92
