tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,control,value,pitch,note,velocity
885,note_on,,,,,45,0,1,,,,,0,,,,72,100
900,note_on,,,,,15,0,1,,,,,0,,,,72,0
900,note_on,,,,,0,0,1,,,,,0,,,,71,100
945,note_on,,,,,45,0,1,,,,,0,,,,71,0
945,note_on,,,,,0,0,1,,,,,0,,,,69,100
960,note_on,,,,,0,0,1,,,,,0,,,,71,100
960,note_on,,,,,0,0,2,,,,,1,,,,57,0
960,note_on,,,,,0,0,2,,,,,1,,,,55,100
960,note_on,,,,,15,0,1,,,,,0,,,,69,0
960,note_on,,,,,120,0,2,,,,,1,,,,50,0
1005,note_on,,,,,45,0,1,,,,,0,,,,71,0
1005,note_on,,,,,0,0,1,,,,,0,,,,69,100
1020,note_on,,,,,60,0,2,,,,,1,,,,55,0
1020,note_on,,,,,0,0,2,,,,,1,,,,50,100
1020,note_on,,,,,15,0,1,,,,,0,,,,69,0
1020,note_on,,,,,0,0,1,,,,,0,,,,71,100
1065,note_on,,,,,0,0,1,,,,,0,,,,72,100
1065,note_on,,,,,45,0,1,,,,,0,,,,71,0
1080,note_on,,,,,0,0,1,,,,,0,,,,71,100
1080,note_on,,,,,60,0,2,,,,,1,,,,50,0
1080,note_on,,,,,15,0,1,,,,,0,,,,72,0
1080,note_on,,,,,0,0,2,,,,,1,,,,43,100
1125,note_on,,,,,45,0,1,,,,,0,,,,71,0
1125,note_on,,,,,0,0,1,,,,,0,,,,74,100
1140,note_on,,,,,0,0,2,,,,,1,,,,55,100
1140,note_on,,,,,0,0,1,,,,,0,,,,72,100
1140,note_on,,,,,15,0,1,,,,,0,,,,74,0
1140,note_on,,,,,60,0,2,,,,,1,,,,43,0
1185,note_on,,,,,0,0,1,,,,,0,,,,71,100
1185,note_on,,,,,45,0,1,,,,,0,,,,72,0
1200,note_on,,,,,60,0,2,,,,,1,,,,55,0
1200,note_on,,,,,0,0,2,,,,,1,,,,50,100
1200,note_on,,,,,0,0,1,,,,,0,,,,69,100
1200,note_on,,,,,15,0,1,,,,,0,,,,71,0
1215,note_on,,,,,0,0,1,,,,,0,,,,71,100
1215,note_on,,,,,15,0,1,,,,,0,,,,69,0
1230,note_on,,,,,0,0,1,,,,,0,,,,69,100
1230,note_on,,,,,15,0,1,,,,,0,,,,71,0
1245,note_on,,,,,0,0,1,,,,,0,,,,71,100
1245,note_on,,,,,15,0,1,,,,,0,,,,69,0
1260,note_on,,,,,0,0,2,,,,,1,,,,45,100
1260,note_on,,,,,60,0,2,,,,,1,,,,50,0
1260,note_on,,,,,15,0,1,,,,,0,,,,71,0
1260,note_on,,,,,0,0,1,,,,,0,,,,69,100
1275,note_on,,,,,15,0,1,,,,,0,,,,69,0
1275,note_on,,,,,0,0,1,,,,,0,,,,71,100
1290,note_on,,,,,15,0,1,,,,,0,,,,71,0
1290,note_on,,,,,0,0,1,,,,,0,,,,69,100
1305,note_on,,,,,15,0,1,,,,,0,,,,69,0
1305,note_on,,,,,0,0,1,,,,,0,,,,71,100
1320,note_on,,,,,60,0,2,,,,,1,,,,45,0
1320,note_on,,,,,0,0,2,,,,,1,,,,38,100
1330,note_on,,,,,25,0,1,,,,,0,,,,71,0
1350,note_on,,,,,20,0,1,,,,,0,,,,74,100
1380,note_on,,,,,30,0,1,,,,,0,,,,74,0
1380,note_on,,,,,0,0,1,,,,,0,,,,76,100
1380,note_on,,,,,0,0,2,,,,,1,,,,50,100
1380,note_on,,,,,60,0,2,,,,,1,,,,38,0
1425,note_on,,,,,45,0,1,,,,,0,,,,76,0
1425,note_on,,,,,0,0,1,,,,,0,,,,78,100
1440,note_on,,,,,60,0,2,,,,,1,,,,50,0
1440,note_on,,,,,0,0,1,,,,,0,,,,79,100
1440,note_on,,,,,15,0,1,,,,,0,,,,78,0
1440,note_on,,,,,0,0,2,,,,,1,,,,50,100
1440,note_on,,,,,0,0,2,,,,,1,,,,47,100
1500,note_on,,,,,60,0,1,,,,,0,,,,79,0
1500,note_on,,,,,0,0,1,,,,,0,,,,74,100
1560,note_on,,,,,60,0,1,,,,,0,,,,74,0
1560,note_on,,,,,0,0,1,,,,,0,,,,71,100
1560,note_on,,,,,0,0,2,,,,,1,,,,55,100
1560,note_on,,,,,120,0,2,,,,,1,,,,50,0
1605,note_on,,,,,45,0,1,,,,,0,,,,71,0
1605,note_on,,,,,0,0,1,,,,,0,,,,79,100
1620,note_on,,,,,0,0,1,,,,,0,,,,77,100
1620,note_on,,,,,15,0,1,,,,,0,,,,79,0
1665,note_on,,,,,0,0,1,,,,,0,,,,79,100
1665,note_on,,,,,45,0,1,,,,,0,,,,77,0
1680,note_on,,,,,120,0,2,,,,,1,,,,55,0
1680,note_on,,,,,0,0,2,,,,,1,,,,47,0
1680,note_on,,,,,0,0,2,,,,,1,,,,48,100
1680,note_on,,,,,0,0,1,,,,,0,,,,76,100
1680,note_on,,,,,15,0,1,,,,,0,,,,79,0
1695,note_on,,,,,15,0,1,,,,,0,,,,76,0
1695,note_on,,,,,0,0,1,,,,,0,,,,77,100
1710,note_on,,,,,15,0,1,,,,,0,,,,77,0
1710,note_on,,,,,0,0,1,,,,,0,,,,76,100
1725,note_on,,,,,0,0,1,,,,,0,,,,77,100
1725,note_on,,,,,15,0,1,,,,,0,,,,76,0
1739,note_on,,,,,59,0,2,,,,,1,,,,48,0
1740,note_on,,,,,0,0,1,,,,,0,,,,76,100
1740,note_on,,,,,15,0,1,,,,,0,,,,77,0
1740,note_on,,,,,1,0,2,,,,,1,,,,43,100
1755,note_on,,,,,0,0,1,,,,,0,,,,77,100
1755,note_on,,,,,15,0,1,,,,,0,,,,76,0
1770,note_on,,,,,0,0,1,,,,,0,,,,76,100
1770,note_on,,,,,15,0,1,,,,,0,,,,77,0
1785,note_on,,,,,15,0,1,,,,,0,,,,76,0
1785,note_on,,,,,0,0,1,,,,,0,,,,77,100
1799,note_on,,,,,59,0,2,,,,,1,,,,43,0
1800,note_on,,,,,1,0,2,,,,,1,,,,36,100
1800,note_on,,,,,15,0,1,,,,,0,,,,77,0
1800,note_on,,,,,0,0,1,,,,,0,,,,76,100
1815,note_on,,,,,15,0,1,,,,,0,,,,76,0
1830,note_on,,,,,15,0,1,,,,,0,,,,76,100
1859,note_on,,,,,59,0,2,,,,,1,,,,36,0
1860,note_on,,,,,1,0,2,,,,,1,,,,48,100
1860,note_on,,,,,0,0,1,,,,,0,,,,78,100
1860,note_on,,,,,30,0,1,,,,,0,,,,76,0
1905,note_on,,,,,45,0,1,,,,,0,,,,78,0
1905,note_on,,,,,0,0,1,,,,,0,,,,79,100
1919,note_on,,,,,59,0,2,,,,,1,,,,48,0
1920,note_on,,,,,0,0,2,,,,,1,,,,49,100
1920,note_on,,,,,1,0,2,,,,,1,,,,52,100
1920,note_on,,,,,15,0,1,,,,,0,,,,79,0
1920,note_on,,,,,0,0,1,,,,,0,,,,81,100
1980,note_on,,,,,60,0,1,,,,,0,,,,81,0
1980,note_on,,,,,0,0,1,,,,,0,,,,76,100
2040,note_on,,,,,0,0,2,,,,,1,,,,57,100
2040,note_on,,,,,60,0,1,,,,,0,,,,76,0
2040,note_on,,,,,0,0,1,,,,,0,,,,73,100
2040,note_on,,,,,120,0,2,,,,,1,,,,52,0
2085,note_on,,,,,45,0,1,,,,,0,,,,73,0
2085,note_on,,,,,0,0,1,,,,,0,,,,81,100
2100,note_on,,,,,15,0,1,,,,,0,,,,81,0
2100,note_on,,,,,0,0,1,,,,,0,,,,79,100
2145,note_on,,,,,45,0,1,,,,,0,,,,79,0
2145,note_on,,,,,0,0,1,,,,,0,,,,81,100
2160,note_on,,,,,15,0,1,,,,,0,,,,81,0
2160,note_on,,,,,0,0,2,,,,,1,,,,49,0
2160,note_on,,,,,120,0,2,,,,,1,,,,57,0
2160,note_on,,,,,0,0,2,,,,,1,,,,50,100
2160,note_on,,,,,0,0,1,,,,,0,,,,78,100
2175,note_on,,,,,0,0,1,,,,,0,,,,79,100
2175,note_on,,,,,15,0,1,,,,,0,,,,78,0
2190,note_on,,,,,15,0,1,,,,,0,,,,79,0
2190,note_on,,,,,0,0,1,,,,,0,,,,78,100
2205,note_on,,,,,15,0,1,,,,,0,,,,78,0
2205,note_on,,,,,0,0,1,,,,,0,,,,79,100
2220,note_on,,,,,15,0,1,,,,,0,,,,79,0
2220,note_on,,,,,0,0,1,,,,,0,,,,78,100
2220,note_on,,,,,0,0,2,,,,,1,,,,45,100
2220,note_on,,,,,60,0,2,,,,,1,,,,50,0
2235,note_on,,,,,0,0,1,,,,,0,,,,79,100
2235,note_on,,,,,15,0,1,,,,,0,,,,78,0
2250,note_on,,,,,15,0,1,,,,,0,,,,79,0
2250,note_on,,,,,0,0,1,,,,,0,,,,78,100
2280,note_on,,,,,60,0,2,,,,,1,,,,45,0
2280,note_on,,,,,0,0,2,,,,,1,,,,38,100
2310,note_on,,,,,60,0,1,,,,,0,,,,78,0
2310,note_on,,,,,0,0,1,,,,,0,,,,69,100
2340,note_on,,,,,60,0,2,,,,,1,,,,38,0
2340,note_on,,,,,0,0,2,,,,,1,,,,50,100
2340,note_on,,,,,30,0,1,,,,,0,,,,69,0
2340,note_on,,,,,0,0,1,,,,,0,,,,71,100
2385,note_on,,,,,45,0,1,,,,,0,,,,71,0
2385,note_on,,,,,0,0,1,,,,,0,,,,72,100
2400,note_on,,,,,15,0,1,,,,,0,,,,72,0
2400,note_on,,,,,0,0,1,,,,,0,,,,71,100
2400,note_on,,,,,60,0,2,,,,,1,,,,50,0
2400,note_on,,,,,0,0,2,,,,,1,,,,55,100
2445,note_on,,,,,0,0,1,,,,,0,,,,74,100
2445,note_on,,,,,45,0,1,,,,,0,,,,71,0
2460,note_on,,,,,0,0,1,,,,,0,,,,72,100
2460,note_on,,,,,0,0,2,,,,,1,,,,43,100
2460,note_on,,,,,60,0,2,,,,,1,,,,55,0
2460,note_on,,,,,15,0,1,,,,,0,,,,74,0
2505,note_on,,,,,0,0,1,,,,,0,,,,71,100
2505,note_on,,,,,45,0,1,,,,,0,,,,72,0
2520,note_on,,,,,60,0,2,,,,,1,,,,43,0
2520,note_on,,,,,0,0,2,,,,,1,,,,54,100
2520,note_on,,,,,0,0,1,,,,,0,,,,69,100
2520,note_on,,,,,15,0,1,,,,,0,,,,71,0
2565,note_on,,,,,0,0,1,,,,,0,,,,72,100
2565,note_on,,,,,45,0,1,,,,,0,,,,69,0
2580,note_on,,,,,60,0,2,,,,,1,,,,54,0
2580,note_on,,,,,0,0,2,,,,,1,,,,42,100
2580,note_on,,,,,15,0,1,,,,,0,,,,72,0
2580,note_on,,,,,0,0,1,,,,,0,,,,71,100
2625,note_on,,,,,0,0,1,,,,,0,,,,69,100
2625,note_on,,,,,45,0,1,,,,,0,,,,71,0
2640,note_on,,,,,0,0,1,,,,,0,,,,67,100
2640,note_on,,,,,0,0,2,,,,,1,,,,52,100
2640,note_on,,,,,60,0,2,,,,,1,,,,42,0
2640,note_on,,,,,15,0,1,,,,,0,,,,69,0
2685,note_on,,,,,45,0,1,,,,,0,,,,67,0
2685,note_on,,,,,0,0,1,,,,,0,,,,71,100
2700,note_on,,,,,60,0,2,,,,,1,,,,52,0
2700,note_on,,,,,0,0,2,,,,,1,,,,40,100
2700,note_on,,,,,0,0,1,,,,,0,,,,69,100
2700,note_on,,,,,15,0,1,,,,,0,,,,71,0
2745,note_on,,,,,0,0,1,,,,,0,,,,67,100
2745,note_on,,,,,45,0,1,,,,,0,,,,69,0
2760,note_on,,,,,0,0,1,,,,,0,,,,66,100
2760,note_on,,,,,15,0,1,,,,,0,,,,67,0
2760,note_on,,,,,0,0,2,,,,,1,,,,50,100
2760,note_on,,,,,60,0,2,,,,,1,,,,40,0
2805,note_on,,,,,0,0,1,,,,,0,,,,69,100
2805,note_on,,,,,45,0,1,,,,,0,,,,66,0
2820,note_on,,,,,15,0,1,,,,,0,,,,69,0
2820,note_on,,,,,0,0,1,,,,,0,,,,67,100
2820,note_on,,,,,0,0,2,,,,,1,,,,38,100
2820,note_on,,,,,60,0,2,,,,,1,,,,50,0
2865,note_on,,,,,45,0,1,,,,,0,,,,67,0
2865,note_on,,,,,0,0,1,,,,,0,,,,66,100
2880,note_on,,,,,15,0,1,,,,,0,,,,66,0
2880,note_on,,,,,0,0,1,,,,,0,,,,67,100
2880,note_on,,,,,0,0,2,,,,,1,,,,52,100
2880,note_on,,,,,60,0,2,,,,,1,,,,38,0
2925,note_on,,,,,45,0,1,,,,,0,,,,67,0
2925,note_on,,,,,0,0,1,,,,,0,,,,64,100
2940,note_on,,,,,60,0,2,,,,,1,,,,52,0
2940,note_on,,,,,0,0,2,,,,,1,,,,55,100
2940,note_on,,,,,0,0,1,,,,,0,,,,66,100
2940,note_on,,,,,15,0,1,,,,,0,,,,64,0
2985,note_on,,,,,45,0,1,,,,,0,,,,66,0
2985,note_on,,,,,0,0,1,,,,,0,,,,67,100
3000,note_on,,,,,60,0,2,,,,,1,,,,55,0
3000,note_on,,,,,0,0,1,,,,,0,,,,64,100
3000,note_on,,,,,15,0,1,,,,,0,,,,67,0
3000,note_on,,,,,0,0,2,,,,,1,,,,57,100
3015,note_on,,,,,0,0,1,,,,,0,,,,66,100
3015,note_on,,,,,15,0,1,,,,,0,,,,64,0
3030,note_on,,,,,0,0,1,,,,,0,,,,64,100
3030,note_on,,,,,15,0,1,,,,,0,,,,66,0
3045,note_on,,,,,0,0,1,,,,,0,,,,66,100
3045,note_on,,,,,15,0,1,,,,,0,,,,64,0
3060,note_on,,,,,0,0,2,,,,,1,,,,45,100
3060,note_on,,,,,0,0,1,,,,,0,,,,64,100
3060,note_on,,,,,15,0,1,,,,,0,,,,66,0
3060,note_on,,,,,60,0,2,,,,,1,,,,57,0
3075,note_on,,,,,0,0,1,,,,,0,,,,66,100
3075,note_on,,,,,15,0,1,,,,,0,,,,64,0
3090,note_on,,,,,0,0,1,,,,,0,,,,64,100
3090,note_on,,,,,15,0,1,,,,,0,,,,66,0
3105,note_on,,,,,0,0,1,,,,,0,,,,66,100
3105,note_on,,,,,15,0,1,,,,,0,,,,64,0
3120,note_on,,,,,15,0,1,,,,,0,,,,66,0
3120,note_on,,,,,0,0,1,,,,,0,,,,62,100
3120,note_on,,,,,0,0,2,,,,,1,,,,50,100
3120,note_on,,,,,60,0,2,,,,,1,,,,45,0
3150,note_on,,,,,30,0,1,,,,,0,,,,62,0
3150,note_on,,,,,0,0,1,,,,,0,,,,66,100
3180,note_on,,,,,30,0,1,,,,,0,,,,66,0
3180,note_on,,,,,0,0,2,,,,,1,,,,45,100
3180,note_on,,,,,60,0,2,,,,,1,,,,50,0
3180,note_on,,,,,0,0,1,,,,,0,,,,69,100
3210,note_on,,,,,0,0,1,,,,,0,,,,74,100
3210,note_on,,,,,30,0,1,,,,,0,,,,69,0
3240,note_on,,,,,60,0,2,,,,,1,,,,45,0
3240,note_on,,,,,0,0,2,,,,,1,,,,42,100
3240,note_on,,,,,30,0,1,,,,,0,,,,74,0
3240,note_on,,,,,0,0,1,,,,,0,,,,69,100
3270,note_on,,,,,30,0,1,,,,,0,,,,69,0
3270,note_on,,,,,0,0,1,,,,,0,,,,66,100
3300,note_on,,,,,60,0,2,,,,,1,,,,42,0
3300,note_on,,,,,0,0,2,,,,,1,,,,45,100
3300,note_on,,,,,30,0,1,,,,,0,,,,66,0
3300,note_on,,,,,0,0,1,,,,,0,,,,62,100
3330,note_on,,,,,30,0,1,,,,,0,,,,62,0
3330,note_on,,,,,0,0,1,,,,,0,,,,66,100
3360,note_on,,,,,60,0,2,,,,,1,,,,45,0
3360,note_on,,,,,0,0,2,,,,,1,,,,50,100
3360,note_on,,,,,0,0,1,,,,,0,,,,69,100
3360,note_on,,,,,0,0,1,,,,,0,,,,66,100
3360,note_on,,,,,0,0,1,,,,,0,,,,74,100
3360,note_on,,,,,30,0,1,,,,,0,,,,66,0
3480,note_on,,,,,120,0,2,,,,,1,,,,45,100
3600,note_on,,,,,0,0,2,,,,,1,,,,38,100
3600,note_on,,,,,120,0,2,,,,,1,,,,45,0
3720,note_on,,,,,120,0,2,,,,,1,,,,38,0
3720,note_on,,,,,0,0,2,,,,,1,,,,50,0
3720,note_on,,,,,360,0,1,,,,,0,,,,74,0
3720,note_on,,,,,0,0,1,,,,,0,,,,69,0
3720,note_on,,,,,0,0,1,,,,,0,,,,66,0
3780,note_on,,,,,60,0,1,,,,,0,,,,67,100
3840,note_on,,,,,0,0,1,,,,,0,,,,67,100
3840,note_on,,,,,0,0,1,,,,,0,,,,62,100
3840,note_on,,,,,0,0,1,,,,,0,,,,59,100
3840,note_on,,,,,60,0,1,,,,,0,,,,67,0
3840,note_on,,,,,120,0,2,,,,,1,,,,55,100
3900,note_on,,,,,60,0,2,,,,,1,,,,55,0
3900,note_on,,,,,0,0,2,,,,,1,,,,50,100
3960,note_on,,,,,0,0,1,,,,,0,,,,62,0
3960,note_on,,,,,0,0,1,,,,,0,,,,59,0
3960,note_on,,,,,120,0,1,,,,,0,,,,67,0
3960,note_on,,,,,60,0,2,,,,,1,,,,50,0
3960,note_on,,,,,0,0,2,,,,,1,,,,43,100
4005,note_on,,,,,45,0,1,,,,,0,,,,67,100
4020,note_on,,,,,0,0,1,,,,,0,,,,69,100
4020,note_on,,,,,0,0,2,,,,,1,,,,55,100
4020,note_on,,,,,15,0,1,,,,,0,,,,67,0
4020,note_on,,,,,60,0,2,,,,,1,,,,43,0
4065,note_on,,,,,45,0,1,,,,,0,,,,69,0
4065,note_on,,,,,0,0,1,,,,,0,,,,71,100
4080,note_on,,,,,15,0,1,,,,,0,,,,71,0
4080,note_on,,,,,0,0,1,,,,,0,,,,69,100
4080,note_on,,,,,60,0,2,,,,,1,,,,55,0
4080,note_on,,,,,0,0,2,,,,,1,,,,57,100
4080,note_on,,,,,0,0,2,,,,,1,,,,54,100
4140,note_on,,,,,60,0,1,,,,,0,,,,69,0
4140,note_on,,,,,0,0,1,,,,,0,,,,62,100
4200,note_on,,,,,0,0,2,,,,,1,,,,50,100
4200,note_on,,,,,120,0,2,,,,,1,,,,54,0
4200,note_on,,,,,60,0,1,,,,,0,,,,62,0
4245,note_on,,,,,45,0,1,,,,,0,,,,72,100
4260,note_on,,,,,15,0,1,,,,,0,,,,72,0
4260,note_on,,,,,0,0,1,,,,,0,,,,71,100
4305,note_on,,,,,45,0,1,,,,,0,,,,71,0
4305,note_on,,,,,0,0,1,,,,,0,,,,69,100
4320,note_on,,,,,120,0,2,,,,,1,,,,50,0
4320,note_on,,,,,0,0,2,,,,,1,,,,57,0
4320,note_on,,,,,0,0,2,,,,,1,,,,55,100
4320,note_on,,,,,15,0,1,,,,,0,,,,69,0
4320,note_on,,,,,0,0,1,,,,,0,,,,71,100
4365,note_on,,,,,45,0,1,,,,,0,,,,71,0
4365,note_on,,,,,0,0,1,,,,,0,,,,69,100
4380,note_on,,,,,0,0,2,,,,,1,,,,50,100
4380,note_on,,,,,60,0,2,,,,,1,,,,55,0
4380,note_on,,,,,15,0,1,,,,,0,,,,69,0
4380,note_on,,,,,0,0,1,,,,,0,,,,71,100
4425,note_on,,,,,0,0,1,,,,,0,,,,72,100
4425,note_on,,,,,45,0,1,,,,,0,,,,71,0
4440,note_on,,,,,0,0,2,,,,,1,,,,43,100
4440,note_on,,,,,15,0,1,,,,,0,,,,72,0
4440,note_on,,,,,60,0,2,,,,,1,,,,50,0
4440,note_on,,,,,0,0,1,,,,,0,,,,71,100
4485,note_on,,,,,45,0,1,,,,,0,,,,71,0
4485,note_on,,,,,0,0,1,,,,,0,,,,74,100
4500,note_on,,,,,60,0,2,,,,,1,,,,43,0
4500,note_on,,,,,15,0,1,,,,,0,,,,74,0
4500,note_on,,,,,0,0,1,,,,,0,,,,72,100
4500,note_on,,,,,0,0,2,,,,,1,,,,55,100
4545,note_on,,,,,45,0,1,,,,,0,,,,72,0
4545,note_on,,,,,0,0,1,,,,,0,,,,71,100
4560,note_on,,,,,0,0,1,,,,,0,,,,69,100
4560,note_on,,,,,15,0,1,,,,,0,,,,71,0
4560,note_on,,,,,0,0,2,,,,,1,,,,50,100
4560,note_on,,,,,60,0,2,,,,,1,,,,55,0
4575,note_on,,,,,15,0,1,,,,,0,,,,69,0
4575,note_on,,,,,0,0,1,,,,,0,,,,71,100
4590,note_on,,,,,0,0,1,,,,,0,,,,69,100
4590,note_on,,,,,15,0,1,,,,,0,,,,71,0
4605,note_on,,,,,15,0,1,,,,,0,,,,69,0
4605,note_on,,,,,0,0,1,,,,,0,,,,71,100
4620,note_on,,,,,0,0,2,,,,,1,,,,45,100
4620,note_on,,,,,15,0,1,,,,,0,,,,71,0
4620,note_on,,,,,0,0,1,,,,,0,,,,69,100
4620,note_on,,,,,60,0,2,,,,,1,,,,50,0
4635,note_on,,,,,15,0,1,,,,,0,,,,69,0
4635,note_on,,,,,0,0,1,,,,,0,,,,71,100
4650,note_on,,,,,15,0,1,,,,,0,,,,71,0
4650,note_on,,,,,0,0,1,,,,,0,,,,69,100
4665,note_on,,,,,15,0,1,,,,,0,,,,69,0
4665,note_on,,,,,0,0,1,,,,,0,,,,71,100
4680,note_on,,,,,0,0,2,,,,,1,,,,38,100
4680,note_on,,,,,60,0,2,,,,,1,,,,45,0
4688,note_on,,,,,23,0,1,,,,,0,,,,71,0
4710,note_on,,,,,22,0,1,,,,,0,,,,74,100
4740,note_on,,,,,30,0,1,,,,,0,,,,74,0
4740,note_on,,,,,0,0,2,,,,,1,,,,50,100
4740,note_on,,,,,60,0,2,,,,,1,,,,38,0
4740,note_on,,,,,0,0,1,,,,,0,,,,76,100
4785,note_on,,,,,45,0,1,,,,,0,,,,76,0
4785,note_on,,,,,0,0,1,,,,,0,,,,78,100
4800,note_on,,,,,0,0,2,,,,,1,,,,47,100
4800,note_on,,,,,0,0,2,,,,,1,,,,50,100
4800,note_on,,,,,60,0,2,,,,,1,,,,50,0
4800,note_on,,,,,15,0,1,,,,,0,,,,78,0
4800,note_on,,,,,0,0,1,,,,,0,,,,79,100
4860,note_on,,,,,0,0,1,,,,,0,,,,74,100
4860,note_on,,,,,60,0,1,,,,,0,,,,79,0
4920,note_on,,,,,120,0,2,,,,,1,,,,50,0
4920,note_on,,,,,0,0,2,,,,,1,,,,55,100
4920,note_on,,,,,0,0,1,,,,,0,,,,71,100
4920,note_on,,,,,60,0,1,,,,,0,,,,74,0
4965,note_on,,,,,0,0,1,,,,,0,,,,79,100
4965,note_on,,,,,45,0,1,,,,,0,,,,71,0
4980,note_on,,,,,15,0,1,,,,,0,,,,79,0
4980,note_on,,,,,0,0,1,,,,,0,,,,77,100
5025,note_on,,,,,45,0,1,,,,,0,,,,77,0
5025,note_on,,,,,0,0,1,,,,,0,,,,79,100
5040,note_on,,,,,0,0,1,,,,,0,,,,76,100
5040,note_on,,,,,0,0,2,,,,,1,,,,48,100
5040,note_on,,,,,120,0,2,,,,,1,,,,55,0
5040,note_on,,,,,0,0,2,,,,,1,,,,47,0
5040,note_on,,,,,15,0,1,,,,,0,,,,79,0
5055,note_on,,,,,0,0,1,,,,,0,,,,77,100
5055,note_on,,,,,15,0,1,,,,,0,,,,76,0
5070,note_on,,,,,15,0,1,,,,,0,,,,77,0
5070,note_on,,,,,0,0,1,,,,,0,,,,76,100
5085,note_on,,,,,0,0,1,,,,,0,,,,77,100
5085,note_on,,,,,15,0,1,,,,,0,,,,76,0
5099,note_on,,,,,59,0,2,,,,,1,,,,48,0
5100,note_on,,,,,0,0,1,,,,,0,,,,76,100
