tick,type,time,meta,track,tempo,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,port,control,value,channel,program,note,velocity
0,copyright,0,1,0,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,set_tempo,0,1,0,740740,,,,,,,,,,,,
0,key_signature,0,1,0,,F,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,,,2,4,24,8,,,,,,,
0,control_change,0,0,1,,,,,,,,7,127,0,,,
0,control_change,0,0,1,,,,,,,,10,64,0,,,
0,program_change,0,0,1,,,,,,,,,,0,41,,
0,key_signature,0,1,1,,F,,,,,,,,,,,
0,time_signature,0,1,1,,,2,4,24,8,,,,,,,
672,note_on,672,0,4,,,,,,,,,,5,,81,110
672,note_on,672,0,3,,,,,,,,,,2,,81,110
766,note_on,94,0,4,,,,,,,,,,5,,81,0
766,note_on,94,0,3,,,,,,,,,,2,,81,0
768,note_on,2,0,3,,,,,,,,,,2,,74,110
768,note_on,2,0,4,,,,,,,,,,5,,74,110
862,note_on,94,0,3,,,,,,,,,,2,,74,0
862,note_on,94,0,4,,,,,,,,,,5,,74,0
864,note_on,2,0,3,,,,,,,,,,2,,69,110
864,note_on,2,0,4,,,,,,,,,,5,,69,110
864,note_on,864,0,7,,,,,,,,,,7,,53,75
864,note_on,864,0,6,,,,,,,,,,6,,53,75
864,note_on,864,0,5,,,,,,,,,,4,,69,60
958,note_on,94,0,4,,,,,,,,,,5,,69,0
958,note_on,94,0,6,,,,,,,,,,6,,53,0
958,note_on,94,0,7,,,,,,,,,,7,,53,0
958,note_on,94,0,5,,,,,,,,,,4,,69,0
958,note_on,94,0,3,,,,,,,,,,2,,69,0
960,note_on,2,0,6,,,,,,,,,,6,,52,75
960,note_on,2,0,5,,,,,,,,,,4,,67,60
960,note_on,2,0,4,,,,,,,,,,5,,74,110
960,note_on,2,0,7,,,,,,,,,,7,,52,75
960,note_on,2,0,3,,,,,,,,,,2,,74,110
1030,note_on,70,0,3,,,,,,,,,,2,,74,0
1030,note_on,70,0,4,,,,,,,,,,5,,74,0
1032,note_on,2,0,3,,,,,,,,,,2,,76,110
1032,note_on,2,0,4,,,,,,,,,,5,,76,110
1054,note_on,94,0,5,,,,,,,,,,4,,67,0
1054,note_on,94,0,7,,,,,,,,,,7,,52,0
1054,note_on,22,0,4,,,,,,,,,,5,,76,0
1054,note_on,22,0,3,,,,,,,,,,2,,76,0
1054,note_on,94,0,6,,,,,,,,,,6,,52,0
1056,note_on,2,0,7,,,,,,,,,,7,,50,75
1056,note_on,2,0,3,,,,,,,,,,2,,77,110
1056,note_on,2,0,5,,,,,,,,,,4,,65,60
1056,note_on,2,0,4,,,,,,,,,,5,,77,110
1056,note_on,2,0,6,,,,,,,,,,6,,50,75
1126,note_on,70,0,3,,,,,,,,,,2,,77,0
1126,note_on,70,0,4,,,,,,,,,,5,,77,0
1128,note_on,2,0,3,,,,,,,,,,2,,79,110
1128,note_on,2,0,4,,,,,,,,,,5,,79,110
1150,note_on,22,0,4,,,,,,,,,,5,,79,0
1150,note_on,22,0,3,,,,,,,,,,2,,79,0
1150,note_on,94,0,5,,,,,,,,,,4,,65,0
1150,note_on,94,0,7,,,,,,,,,,7,,50,0
1150,note_on,94,0,6,,,,,,,,,,6,,50,0
1152,note_on,2,0,4,,,,,,,,,,5,,81,110
1152,note_on,2,0,3,,,,,,,,,,2,,81,110
1246,note_on,94,0,3,,,,,,,,,,2,,81,0
1246,note_on,94,0,4,,,,,,,,,,5,,81,0
1248,note_on,2,0,3,,,,,,,,,,2,,69,110
1248,note_on,98,0,5,,,,,,,,,,4,,61,60
1248,note_on,98,0,7,,,,,,,,,,7,,57,75
1248,note_on,2,0,4,,,,,,,,,,5,,69,110
1248,note_on,98,0,6,,,,,,,,,,6,,57,75
1342,note_on,94,0,3,,,,,,,,,,2,,69,0
1342,note_on,94,0,6,,,,,,,,,,6,,57,0
1342,note_on,94,0,5,,,,,,,,,,4,,61,0
1342,note_on,94,0,7,,,,,,,,,,7,,57,0
1342,note_on,94,0,4,,,,,,,,,,5,,69,0
1344,note_on,2,0,4,,,,,,,,,,5,,81,110
1344,note_on,2,0,3,,,,,,,,,,2,,81,110
1344,note_on,2,0,5,,,,,,,,,,4,,62,60
1344,note_on,2,0,6,,,,,,,,,,6,,53,75
1344,note_on,2,0,7,,,,,,,,,,7,,53,75
1438,note_on,94,0,7,,,,,,,,,,7,,53,0
1438,note_on,94,0,6,,,,,,,,,,6,,53,0
1438,note_on,94,0,4,,,,,,,,,,5,,81,0
1438,note_on,94,0,3,,,,,,,,,,2,,81,0
1438,note_on,94,0,5,,,,,,,,,,4,,62,0
1440,note_on,2,0,5,,,,,,,,,,4,,65,60
1440,note_on,2,0,3,,,,,,,,,,2,,82,110
1440,note_on,2,0,6,,,,,,,,,,6,,50,75
1440,note_on,2,0,4,,,,,,,,,,5,,82,110
1440,note_on,2,0,7,,,,,,,,,,7,,50,75
1534,note_on,94,0,5,,,,,,,,,,4,,65,0
1534,note_on,94,0,7,,,,,,,,,,7,,50,0
1534,note_on,94,0,4,,,,,,,,,,5,,82,0
1534,note_on,94,0,3,,,,,,,,,,2,,82,0
1534,note_on,94,0,6,,,,,,,,,,6,,50,0
1536,note_on,2,0,3,,,,,,,,,,2,,79,110
1536,note_on,2,0,4,,,,,,,,,,5,,79,110
1630,note_on,94,0,3,,,,,,,,,,2,,79,0
1630,note_on,94,0,4,,,,,,,,,,5,,79,0
1632,note_on,98,0,5,,,,,,,,,,4,,64,60
1632,note_on,2,0,4,,,,,,,,,,5,,69,110
1632,note_on,98,0,7,,,,,,,,,,7,,49,75
1632,note_on,2,0,3,,,,,,,,,,2,,69,110
1632,note_on,98,0,6,,,,,,,,,,6,,49,75
1726,note_on,94,0,4,,,,,,,,,,5,,69,0
1726,note_on,94,0,5,,,,,,,,,,4,,64,0
1726,note_on,94,0,7,,,,,,,,,,7,,49,0
1726,note_on,94,0,6,,,,,,,,,,6,,49,0
1726,note_on,94,0,3,,,,,,,,,,2,,69,0
1728,note_on,2,0,4,,,,,,,,,,5,,64,110
1728,note_on,2,0,6,,,,,,,,,,6,,47,75
1728,note_on,2,0,7,,,,,,,,,,7,,47,75
1728,note_on,2,0,5,,,,,,,,,,4,,62,60
1728,note_on,2,0,3,,,,,,,,,,2,,64,110
1798,note_on,70,0,3,,,,,,,,,,2,,64,0
1798,note_on,70,0,4,,,,,,,,,,5,,64,0
1800,note_on,2,0,3,,,,,,,,,,2,,65,110
1800,note_on,2,0,4,,,,,,,,,,5,,65,110
1822,note_on,94,0,5,,,,,,,,,,4,,62,0
1822,note_on,22,0,4,,,,,,,,,,5,,65,0
1822,note_on,22,0,3,,,,,,,,,,2,,65,0
1822,note_on,94,0,7,,,,,,,,,,7,,47,0
1822,note_on,94,0,6,,,,,,,,,,6,,47,0
1824,note_on,2,0,5,,,,,,,,,,4,,61,60
1824,note_on,2,0,4,,,,,,,,,,5,,67,110
1824,note_on,2,0,6,,,,,,,,,,6,,45,75
1824,note_on,2,0,3,,,,,,,,,,2,,67,110
1824,note_on,2,0,7,,,,,,,,,,7,,45,75
1894,note_on,70,0,4,,,,,,,,,,5,,67,0
1894,note_on,70,0,3,,,,,,,,,,2,,67,0
1896,note_on,2,0,3,,,,,,,,,,2,,69,110
1896,note_on,2,0,4,,,,,,,,,,5,,69,110
1918,note_on,22,0,3,,,,,,,,,,2,,69,0
1918,note_on,94,0,6,,,,,,,,,,6,,45,0
1918,note_on,94,0,7,,,,,,,,,,7,,45,0
1918,note_on,22,0,4,,,,,,,,,,5,,69,0
1918,note_on,94,0,5,,,,,,,,,,4,,61,0
1920,note_on,2,0,3,,,,,,,,,,2,,65,110
1920,note_on,2,0,4,,,,,,,,,,5,,65,110
2014,note_on,94,0,3,,,,,,,,,,2,,65,0
2014,note_on,94,0,4,,,,,,,,,,5,,65,0
2016,note_on,2,0,4,,,,,,,,,,5,,62,110
2016,note_on,98,0,6,,,,,,,,,,6,,53,75
2016,note_on,98,0,5,,,,,,,,,,4,,69,60
2016,note_on,2,0,3,,,,,,,,,,2,,62,110
2016,note_on,98,0,7,,,,,,,,,,7,,53,75
2110,note_on,94,0,6,,,,,,,,,,6,,53,0
2110,note_on,94,0,5,,,,,,,,,,4,,69,0
2110,note_on,94,0,7,,,,,,,,,,7,,53,0
2110,note_on,94,0,4,,,,,,,,,,5,,62,0
2110,note_on,94,0,3,,,,,,,,,,2,,62,0
2112,note_on,2,0,5,,,,,,,,,,4,,67,60
2112,note_on,2,0,6,,,,,,,,,,6,,52,75
2112,note_on,2,0,7,,,,,,,,,,7,,52,75
2206,note_on,94,0,5,,,,,,,,,,4,,67,0
2206,note_on,94,0,6,,,,,,,,,,6,,52,0
2206,note_on,94,0,7,,,,,,,,,,7,,52,0
2208,note_on,2,0,6,,,,,,,,,,6,,50,75
2208,note_on,98,0,4,,,,,,,,,,5,,81,110
2208,note_on,98,0,3,,,,,,,,,,2,,81,110
2208,note_on,2,0,5,,,,,,,,,,4,,65,60
2208,note_on,2,0,7,,,,,,,,,,7,,50,75
2254,note_on,46,0,4,,,,,,,,,,5,,81,0
2254,note_on,46,0,3,,,,,,,,,,2,,81,0
2256,note_on,2,0,4,,,,,,,,,,5,,77,110
2256,note_on,2,0,3,,,,,,,,,,2,,77,110
2302,note_on,46,0,3,,,,,,,,,,2,,77,0
2302,note_on,94,0,7,,,,,,,,,,7,,50,0
2302,note_on,46,0,4,,,,,,,,,,5,,77,0
2302,note_on,94,0,5,,,,,,,,,,4,,65,0
2302,note_on,94,0,6,,,,,,,,,,6,,50,0
2304,note_on,2,0,4,,,,,,,,,,5,,76,110
2304,note_on,2,0,3,,,,,,,,,,2,,76,110
2398,note_on,94,0,4,,,,,,,,,,5,,76,0
2398,note_on,94,0,3,,,,,,,,,,2,,76,0
2400,note_on,98,0,6,,,,,,,,,,6,,49,75
2400,note_on,2,0,4,,,,,,,,,,5,,81,110
2400,note_on,98,0,7,,,,,,,,,,7,,49,75
2400,note_on,2,0,3,,,,,,,,,,2,,81,110
2400,note_on,98,0,5,,,,,,,,,,4,,64,60
2494,note_on,94,0,3,,,,,,,,,,2,,81,0
2494,note_on,94,0,4,,,,,,,,,,5,,81,0
2494,note_on,94,0,5,,,,,,,,,,4,,64,0
2494,note_on,94,0,6,,,,,,,,,,6,,49,0
2494,note_on,94,0,7,,,,,,,,,,7,,49,0
2496,note_on,2,0,7,,,,,,,,,,7,,47,75
2496,note_on,2,0,5,,,,,,,,,,4,,62,60
2496,note_on,2,0,6,,,,,,,,,,6,,47,75
2590,note_on,94,0,7,,,,,,,,,,7,,47,0
2590,note_on,94,0,6,,,,,,,,,,6,,47,0
2590,note_on,94,0,5,,,,,,,,,,4,,62,0
2592,note_on,98,0,4,,,,,,,,,,5,,81,110
2592,note_on,2,0,7,,,,,,,,,,7,,45,75
2592,note_on,2,0,5,,,,,,,,,,4,,61,60
2592,note_on,2,0,6,,,,,,,,,,6,,45,75
2592,note_on,98,0,3,,,,,,,,,,2,,81,110
2638,note_on,46,0,4,,,,,,,,,,5,,81,0
2638,note_on,46,0,3,,,,,,,,,,2,,81,0
2640,note_on,2,0,4,,,,,,,,,,5,,73,110
2640,note_on,2,0,3,,,,,,,,,,2,,73,110
2686,note_on,94,0,5,,,,,,,,,,4,,61,0
2686,note_on,94,0,6,,,,,,,,,,6,,45,0
2686,note_on,46,0,4,,,,,,,,,,5,,73,0
2686,note_on,94,0,7,,,,,,,,,,7,,45,0
2686,note_on,46,0,3,,,,,,,,,,2,,73,0
2688,note_on,2,0,3,,,,,,,,,,2,,74,110
2688,note_on,2,0,4,,,,,,,,,,5,,74,110
2782,note_on,94,0,4,,,,,,,,,,5,,74,0
2782,note_on,94,0,3,,,,,,,,,,2,,74,0
2784,note_on,98,0,5,,,,,,,,,,4,,62,60
2784,note_on,98,0,7,,,,,,,,,,7,,43,75
2784,note_on,2,0,4,,,,,,,,,,5,,82,110
2784,note_on,2,0,3,,,,,,,,,,2,,82,110
2784,note_on,98,0,6,,,,,,,,,,6,,43,75
2878,note_on,94,0,3,,,,,,,,,,2,,82,0
2878,note_on,94,0,4,,,,,,,,,,5,,82,0
2878,note_on,94,0,6,,,,,,,,,,6,,43,0
2878,note_on,94,0,5,,,,,,,,,,4,,62,0
2878,note_on,94,0,7,,,,,,,,,,7,,43,0
2880,note_on,2,0,7,,,,,,,,,,7,,46,75
2880,note_on,2,0,6,,,,,,,,,,6,,46,75
2880,note_on,2,0,5,,,,,,,,,,4,,62,60
2974,note_on,94,0,6,,,,,,,,,,6,,46,0
2974,note_on,94,0,7,,,,,,,,,,7,,46,0
2974,note_on,94,0,5,,,,,,,,,,4,,62,0
2976,note_on,2,0,6,,,,,,,,,,6,,43,75
2976,note_on,98,0,3,,,,,,,,,,2,,79,110
2976,note_on,2,0,5,,,,,,,,,,4,,58,60
2976,note_on,98,0,4,,,,,,,,,,5,,79,110
2976,note_on,2,0,7,,,,,,,,,,7,,43,75
3022,note_on,46,0,3,,,,,,,,,,2,,79,0
3022,note_on,46,0,4,,,,,,,,,,5,,79,0
3024,note_on,2,0,3,,,,,,,,,,2,,82,110
3024,note_on,2,0,4,,,,,,,,,,5,,82,110
3070,note_on,94,0,5,,,,,,,,,,4,,58,0
3070,note_on,46,0,3,,,,,,,,,,2,,82,0
3070,note_on,46,0,4,,,,,,,,,,5,,82,0
3070,note_on,94,0,7,,,,,,,,,,7,,43,0
3070,note_on,94,0,6,,,,,,,,,,6,,43,0
3072,note_on,2,0,7,,,,,,,,,,7,,45,75
3072,note_on,2,0,3,,,,,,,,,,2,,73,110
3072,note_on,2,0,6,,,,,,,,,,6,,45,75
3072,note_on,2,0,4,,,,,,,,,,5,,73,110
3166,note_on,94,0,7,,,,,,,,,,7,,45,0
3166,note_on,94,0,6,,,,,,,,,,6,,45,0
3166,note_on,94,0,3,,,,,,,,,,2,,73,0
3166,note_on,94,0,4,,,,,,,,,,5,,73,0
3168,note_on,2,0,6,,,,,,,,,,6,,57,75
3168,note_on,2,0,4,,,,,,,,,,5,,69,110
3168,note_on,2,0,3,,,,,,,,,,2,,69,110
3168,note_on,98,0,5,,,,,,,,,,4,,69,60
3168,note_on,2,0,7,,,,,,,,,,7,,57,75
3262,note_on,94,0,6,,,,,,,,,,6,,57,0
3262,note_on,94,0,3,,,,,,,,,,2,,69,0
3262,note_on,94,0,4,,,,,,,,,,5,,69,0
3262,note_on,94,0,5,,,,,,,,,,4,,69,0
3262,note_on,94,0,7,,,,,,,,,,7,,57,0
3264,note_on,2,0,5,,,,,,,,,,4,,70,60
3264,note_on,2,0,6,,,,,,,,,,6,,55,75
3264,note_on,2,0,7,,,,,,,,,,7,,55,75
3358,note_on,94,0,6,,,,,,,,,,6,,55,0
3358,note_on,94,0,5,,,,,,,,,,4,,70,0
3358,note_on,94,0,7,,,,,,,,,,7,,55,0
3360,note_on,2,0,6,,,,,,,,,,6,,53,75
3360,note_on,2,0,7,,,,,,,,,,7,,53,75
3360,note_on,98,0,3,,,,,,,,,,2,,81,110
3360,note_on,2,0,5,,,,,,,,,,4,,69,60
3360,note_on,98,0,4,,,,,,,,,,5,,81,110
3454,note_on,94,0,4,,,,,,,,,,5,,81,0
3454,note_on,94,0,7,,,,,,,,,,7,,53,0
3454,note_on,94,0,3,,,,,,,,,,2,,81,0
3454,note_on,94,0,5,,,,,,,,,,4,,69,0
3454,note_on,94,0,6,,,,,,,,,,6,,53,0
3456,note_on,2,0,3,,,,,,,,,,2,,77,110
3456,note_on,2,0,4,,,,,,,,,,5,,77,110
3552,note_on,98,0,7,,,,,,,,,,7,,57,75
3552,note_on,98,0,5,,,,,,,,,,4,,72,60
3552,note_on,98,0,6,,,,,,,,,,6,,57,75
3598,note_on,142,0,3,,,,,,,,,,2,,77,0
3598,note_on,142,0,4,,,,,,,,,,5,,77,0
3600,note_on,2,0,3,,,,,,,,,,2,,76,110
3600,note_on,2,0,4,,,,,,,,,,5,,76,110
3622,note_on,22,0,3,,,,,,,,,,2,,76,0
3622,note_on,22,0,4,,,,,,,,,,5,,76,0
3624,note_on,2,0,3,,,,,,,,,,2,,77,110
3624,note_on,2,0,4,,,,,,,,,,5,,77,110
3646,note_on,94,0,5,,,,,,,,,,4,,72,0
3646,note_on,22,0,4,,,,,,,,,,5,,77,0
3646,note_on,22,0,3,,,,,,,,,,2,,77,0
3646,note_on,94,0,7,,,,,,,,,,7,,57,0
3646,note_on,94,0,6,,,,,,,,,,6,,57,0
3648,note_on,2,0,7,,,,,,,,,,7,,55,75
3648,note_on,2,0,4,,,,,,,,,,5,,77,110
3648,note_on,2,0,6,,,,,,,,,,6,,55,75
3648,note_on,2,0,5,,,,,,,,,,4,,70,60
3648,note_on,2,0,3,,,,,,,,,,2,,77,110
3742,note_on,94,0,7,,,,,,,,,,7,,55,0
3742,note_on,94,0,6,,,,,,,,,,6,,55,0
3742,note_on,94,0,5,,,,,,,,,,4,,70,0
3744,note_on,2,0,7,,,,,,,,,,7,,53,75
3744,note_on,2,0,6,,,,,,,,,,6,,53,75
3744,note_on,2,0,5,,,,,,,,,,4,,69,60
3790,note_on,142,0,3,,,,,,,,,,2,,77,0
3790,note_on,142,0,4,,,,,,,,,,5,,77,0
3792,note_on,2,0,3,,,,,,,,,,2,,76,110
3792,note_on,2,0,4,,,,,,,,,,5,,76,110
3814,note_on,22,0,3,,,,,,,,,,2,,76,0
3814,note_on,22,0,4,,,,,,,,,,5,,76,0
3816,note_on,2,0,3,,,,,,,,,,2,,77,110
3816,note_on,2,0,4,,,,,,,,,,5,,77,110
3838,note_on,94,0,5,,,,,,,,,,4,,69,0
3838,note_on,94,0,7,,,,,,,,,,7,,53,0
3838,note_on,22,0,3,,,,,,,,,,2,,77,0
3838,note_on,22,0,4,,,,,,,,,,5,,77,0
3838,note_on,94,0,6,,,,,,,,,,6,,53,0
3840,note_on,2,0,3,,,,,,,,,,2,,79,110
3840,note_on,2,0,4,,,,,,,,,,5,,79,110
3934,note_on,94,0,4,,,,,,,,,,5,,79,0
3934,note_on,94,0,3,,,,,,,,,,2,,79,0
3936,note_on,2,0,3,,,,,,,,,,2,,72,110
3936,note_on,2,0,4,,,,,,,,,,5,,72,110
3936,note_on,98,0,6,,,,,,,,,,6,,52,75
3936,note_on,98,0,5,,,,,,,,,,4,,67,60
3936,note_on,98,0,7,,,,,,,,,,7,,52,75
4030,note_on,94,0,4,,,,,,,,,,5,,72,0
4030,note_on,94,0,6,,,,,,,,,,6,,52,0
4030,note_on,94,0,3,,,,,,,,,,2,,72,0
4030,note_on,94,0,5,,,,,,,,,,4,,67,0
4030,note_on,94,0,7,,,,,,,,,,7,,52,0
4032,note_on,2,0,6,,,,,,,,,,6,,50,75
4032,note_on,2,0,5,,,,,,,,,,4,,65,60
4032,note_on,2,0,7,,,,,,,,,,7,,50,75
4126,note_on,94,0,5,,,,,,,,,,4,,65,0
4126,note_on,94,0,6,,,,,,,,,,6,,50,0
4126,note_on,94,0,7,,,,,,,,,,7,,50,0
4128,note_on,2,0,5,,,,,,,,,,4,,64,60
4128,note_on,2,0,7,,,,,,,,,,7,,48,75
4128,note_on,0,0,3,,,,,,,,,,2,,82,110
4128,note_on,98,0,4,,,,,,,,,,5,,82,110
4128,note_on,2,0,6,,,,,,,,,,6,,48,75
4128,control_change,98,0,3,,,,,,,,10,64,2,,,
4222,note_on,94,0,3,,,,,,,,,,2,,82,0
4222,note_on,94,0,4,,,,,,,,,,5,,82,0
4222,note_on,94,0,5,,,,,,,,,,4,,64,0
4222,note_on,94,0,6,,,,,,,,,,6,,48,0
4222,note_on,94,0,7,,,,,,,,,,7,,48,0
4224,control_change,2,0,4,,,,,,,,10,64,5,,,
4224,note_on,0,0,4,,,,,,,,,,5,,76,110
4224,note_on,2,0,3,,,,,,,,,,2,,79,110
4320,note_on,98,0,6,,,,,,,,,,6,,52,75
4320,note_on,98,0,7,,,,,,,,,,7,,52,75
4320,note_on,98,0,5,,,,,,,,,,4,,67,60
4366,note_on,142,0,3,,,,,,,,,,2,,79,0
4366,note_on,142,0,4,,,,,,,,,,5,,76,0
4368,note_on,2,0,3,,,,,,,,,,2,,77,110
4368,note_on,2,0,4,,,,,,,,,,5,,74,110
4390,note_on,22,0,4,,,,,,,,,,5,,74,0
4390,note_on,22,0,3,,,,,,,,,,2,,77,0
4392,note_on,2,0,3,,,,,,,,,,2,,79,110
4392,note_on,2,0,4,,,,,,,,,,5,,76,110
4414,note_on,94,0,7,,,,,,,,,,7,,52,0
4414,note_on,22,0,4,,,,,,,,,,5,,76,0
4414,note_on,94,0,6,,,,,,,,,,6,,52,0
4414,note_on,94,0,5,,,,,,,,,,4,,67,0
4414,note_on,22,0,3,,,,,,,,,,2,,79,0
4416,note_on,2,0,6,,,,,,,,,,6,,50,75
4416,note_on,2,0,7,,,,,,,,,,7,,50,75
4416,note_on,2,0,5,,,,,,,,,,4,,65,60
4416,note_on,2,0,3,,,,,,,,,,2,,79,110
4416,note_on,2,0,4,,,,,,,,,,5,,76,110
4510,note_on,94,0,7,,,,,,,,,,7,,50,0
4510,note_on,94,0,6,,,,,,,,,,6,,50,0
4510,note_on,94,0,5,,,,,,,,,,4,,65,0
4512,note_on,2,0,6,,,,,,,,,,6,,48,75
4512,note_on,2,0,7,,,,,,,,,,7,,48,75
4512,note_on,2,0,5,,,,,,,,,,4,,64,60
4558,note_on,142,0,4,,,,,,,,,,5,,76,0
4558,note_on,142,0,3,,,,,,,,,,2,,79,0
4560,note_on,2,0,3,,,,,,,,,,2,,77,110
4560,note_on,2,0,4,,,,,,,,,,5,,74,110
4582,note_on,22,0,4,,,,,,,,,,5,,74,0
4582,note_on,22,0,3,,,,,,,,,,2,,77,0
4584,note_on,2,0,3,,,,,,,,,,2,,79,110
4584,note_on,2,0,4,,,,,,,,,,5,,76,110
4606,note_on,94,0,6,,,,,,,,,,6,,48,0
4606,note_on,22,0,4,,,,,,,,,,5,,76,0
4606,note_on,94,0,5,,,,,,,,,,4,,64,0
4606,note_on,22,0,3,,,,,,,,,,2,,79,0
4606,note_on,94,0,7,,,,,,,,,,7,,48,0
4608,note_on,2,0,3,,,,,,,,,,2,,81,110
4608,note_on,2,0,4,,,,,,,,,,5,,77,110
4702,note_on,94,0,3,,,,,,,,,,2,,81,0
4702,note_on,94,0,4,,,,,,,,,,5,,77,0
4704,note_on,98,0,5,,,,,,,,,,4,,72,60
4704,note_on,98,0,7,,,,,,,,,,7,,53,75
4704,note_on,2,0,4,,,,,,,,,,5,,77,110
4704,note_on,98,0,6,,,,,,,,,,6,,53,75
4704,note_on,2,0,3,,,,,,,,,,2,,81,110
4798,note_on,94,0,7,,,,,,,,,,7,,53,0
4798,note_on,94,0,4,,,,,,,,,,5,,77,0
4798,note_on,94,0,5,,,,,,,,,,4,,72,0
4798,note_on,94,0,3,,,,,,,,,,2,,81,0
4798,note_on,94,0,6,,,,,,,,,,6,,53,0
4800,note_on,2,0,7,,,,,,,,,,7,,57,75
4800,note_on,2,0,4,,,,,,,,,,5,,77,110
4800,note_on,2,0,5,,,,,,,,,,4,,72,60
4800,note_on,2,0,6,,,,,,,,,,6,,57,75
4800,note_on,2,0,3,,,,,,,,,,2,,81,110
4894,note_on,94,0,6,,,,,,,,,,6,,57,0
4894,note_on,94,0,4,,,,,,,,,,5,,77,0
4894,note_on,94,0,5,,,,,,,,,,4,,72,0
4894,note_on,94,0,7,,,,,,,,,,7,,57,0
4894,note_on,94,0,3,,,,,,,,,,2,,81,0
4896,note_on,2,0,5,,,,,,,,,,4,,72,60
4896,note_on,2,0,7,,,,,,,,,,7,,53,75
4896,note_on,2,0,3,,,,,,,,,,2,,81,110
4896,note_on,2,0,6,,,,,,,,,,6,,53,75
4896,note_on,2,0,4,,,,,,,,,,5,,77,110
4990,note_on,94,0,3,,,,,,,,,,2,,81,0
4990,note_on,94,0,7,,,,,,,,,,7,,53,0
4990,note_on,94,0,5,,,,,,,,,,4,,72,0
4990,note_on,94,0,6,,,,,,,,,,6,,53,0
4990,note_on,94,0,4,,,,,,,,,,5,,77,0
4992,note_on,2,0,7,,,,,,,,,,7,,53,75
4992,note_on,2,0,6,,,,,,,,,,6,,53,75
4992,note_on,2,0,3,,,,,,,,,,2,,84,110
4992,note_on,2,0,5,,,,,,,,,,4,,69,60
4992,note_on,2,0,4,,,,,,,,,,5,,81,110
5014,note_on,22,0,4,,,,,,,,,,5,,81,0
5014,note_on,22,0,3,,,,,,,,,,2,,84,0
5016,note_on,2,0,3,,,,,,,,,,2,,82,110
5016,note_on,2,0,4,,,,,,,,,,5,,79,110
5038,note_on,22,0,4,,,,,,,,,,5,,79,0
5038,note_on,22,0,3,,,,,,,,,,2,,82,0
5040,note_on,2,0,4,,,,,,,,,,5,,81,110
5040,note_on,2,0,3,,,,,,,,,,2,,84,110
5062,note_on,22,0,3,,,,,,,,,,2,,84,0
5062,note_on,22,0,4,,,,,,,,,,5,,81,0
5064,note_on,2,0,3,,,,,,,,,,2,,82,110
5064,note_on,2,0,4,,,,,,,,,,5,,79,110
5086,note_on,22,0,4,,,,,,,,,,5,,79,0
