tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,control,value,note,velocity,pitch
0,control_change,,,,,0,0,11,,,,,11,7,35,,,
0,control_change,,,,,0,0,11,,,,,11,10,85,,,
0,control_change,,,,,0,0,11,,,,,11,11,127,,,
0,control_change,,,,,0,0,11,,,,,11,8,64,,,
0,midi_port,,,,,0,1,12,,,0,,,,,,,
0,track_name,,,,,0,1,2,,,,,,,,,,
0,track_name,,,,,0,1,12,,,,,,,,,,
0,control_change,,,,,0,0,12,,,,,12,7,35,,,
0,control_change,,,,,0,0,12,,,,,12,10,85,,,
0,control_change,,,,,0,0,12,,,,,12,11,127,,,
0,control_change,,,,,0,0,12,,,,,12,8,64,,,
0,note_on,,,,,0,0,12,,,,,12,,,53,127,
0,midi_port,,,,,0,1,13,,,0,,,,,,,
0,track_name,,,,,0,1,13,,,,,,,,,,
0,program_change,,,,,0,0,13,,,,42,13,,,,,
0,control_change,,,,,0,0,13,,,,,13,7,30,,,
0,control_change,,,,,0,0,13,,,,,13,10,85,,,
0,control_change,,,,,0,0,13,,,,,13,11,127,,,
0,program_change,,,,,0,0,12,,,,19,12,,,,,
0,midi_port,,,,,0,1,2,,,0,,,,,,,
0,end_of_track,,,,,0,1,19,,,,,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,,,,
0,key_signature,,,,,0,1,0,F,,,,,,,,,
0,set_tempo,,,,,0,1,0,,750000,,,,,,,,
0,marker,,,,,0,1,0,,,,,,,,,,
0,control_change,,,,,0,0,1,,,,,0,10,30,,,
0,program_change,,,,,0,0,1,,,,53,0,,,,,
0,track_name,,,,,0,1,1,,,,,,,,,,
58,note_on,,,,,58,0,15,,,,,15,,,53,0,
58,note_on,,,,,58,0,9,,,,,8,,,53,0,
58,note_on,,,,,58,0,13,,,,,13,,,53,0,
58,note_on,,,,,58,0,12,,,,,12,,,53,0,
60,note_on,,,,,2,0,13,,,,,13,,,57,127,
60,note_on,,,,,2,0,12,,,,,12,,,57,127,
60,note_on,,,,,60,0,4,,,,,3,,,65,127,
60,note_on,,,,,2,0,15,,,,,15,,,57,127,
60,note_on,,,,,2,0,9,,,,,8,,,57,127,
89,note_on,,,,,29,0,13,,,,,13,,,57,0,
89,note_on,,,,,29,0,15,,,,,15,,,57,0,
89,note_on,,,,,29,0,9,,,,,8,,,57,0,
89,note_on,,,,,29,0,12,,,,,12,,,57,0,
90,note_on,,,,,1,0,13,,,,,13,,,55,127,
90,note_on,,,,,1,0,12,,,,,12,,,55,127,
90,note_on,,,,,1,0,9,,,,,8,,,55,127,
90,note_on,,,,,1,0,15,,,,,15,,,55,127,
118,note_on,,,,,58,0,4,,,,,3,,,65,0,
119,note_on,,,,,29,0,15,,,,,15,,,55,0,
119,note_on,,,,,29,0,13,,,,,13,,,55,0,
119,note_on,,,,,29,0,12,,,,,12,,,55,0,
119,note_on,,,,,29,0,9,,,,,8,,,55,0,
120,note_on,,,,,1,0,15,,,,,15,,,53,127,
120,note_on,,,,,120,0,11,,,,,11,,,65,100,
120,note_on,,,,,0,0,11,,,,,11,,,69,100,
120,note_on,,,,,0,0,11,,,,,11,,,72,100,
120,note_on,,,,,1,0,13,,,,,13,,,53,127,
120,note_on,,,,,2,0,4,,,,,3,,,69,127,
120,note_on,,,,,1,0,12,,,,,12,,,53,127,
120,note_on,,,,,1,0,9,,,,,8,,,53,127,
178,note_on,,,,,58,0,9,,,,,8,,,53,0,
178,note_on,,,,,58,0,13,,,,,13,,,53,0,
178,note_on,,,,,58,0,15,,,,,15,,,53,0,
178,note_on,,,,,58,0,12,,,,,12,,,53,0,
178,note_on,,,,,58,0,4,,,,,3,,,69,0,
180,note_on,,,,,2,0,12,,,,,12,,,52,127,
180,note_on,,,,,2,0,9,,,,,8,,,52,127,
180,note_on,,,,,2,0,13,,,,,13,,,52,127,
180,note_on,,,,,2,0,15,,,,,15,,,52,127,
180,note_on,,,,,2,0,4,,,,,3,,,72,127,
238,note_on,,,,,58,0,13,,,,,13,,,52,0,
238,note_on,,,,,58,0,12,,,,,12,,,52,0,
238,note_on,,,,,58,0,15,,,,,15,,,52,0,
238,note_on,,,,,58,0,9,,,,,8,,,52,0,
238,note_on,,,,,58,0,4,,,,,3,,,72,0,
240,note_on,,,,,0,0,11,,,,,11,,,69,0,
240,note_on,,,,,2,0,12,,,,,12,,,50,127,
240,note_on,,,,,0,0,11,,,,,11,,,70,100,
240,note_on,,,,,0,0,11,,,,,11,,,65,100,
240,note_on,,,,,2,0,13,,,,,13,,,50,127,
240,note_on,,,,,120,0,11,,,,,11,,,72,0,
240,note_on,,,,,2,0,9,,,,,8,,,50,127,
240,note_on,,,,,2,0,15,,,,,15,,,50,127,
240,note_on,,,,,2,0,4,,,,,3,,,77,127,
240,note_on,,,,,0,0,11,,,,,11,,,65,0,
298,note_on,,,,,58,0,12,,,,,12,,,50,0,
298,note_on,,,,,58,0,13,,,,,13,,,50,0,
298,note_on,,,,,58,0,9,,,,,8,,,50,0,
298,note_on,,,,,58,0,4,,,,,3,,,77,0,
298,note_on,,,,,58,0,15,,,,,15,,,50,0,
300,note_on,,,,,2,0,13,,,,,13,,,58,127,
300,note_on,,,,,2,0,9,,,,,8,,,58,127,
300,note_on,,,,,2,0,15,,,,,15,,,58,127,
300,note_on,,,,,2,0,4,,,,,3,,,76,127,
300,note_on,,,,,2,0,12,,,,,12,,,58,127,
329,note_on,,,,,29,0,4,,,,,3,,,76,0,
330,note_on,,,,,1,0,4,,,,,3,,,74,127,
358,note_on,,,,,58,0,12,,,,,12,,,58,0,
358,note_on,,,,,58,0,9,,,,,8,,,58,0,
358,note_on,,,,,58,0,15,,,,,15,,,58,0,
358,note_on,,,,,58,0,13,,,,,13,,,58,0,
359,note_on,,,,,29,0,4,,,,,3,,,74,0,
360,note_on,,,,,0,0,11,,,,,11,,,67,100,
360,note_on,,,,,2,0,9,,,,,8,,,52,127,
360,note_on,,,,,0,0,11,,,,,11,,,72,127,
360,note_on,,,,,2,0,13,,,,,13,,,52,127,
360,note_on,,,,,2,0,15,,,,,15,,,52,127,
360,note_on,,,,,0,0,11,,,,,11,,,70,0,
360,note_on,,,,,120,0,11,,,,,11,,,65,0,
360,note_on,,,,,1,0,4,,,,,3,,,72,127,
360,note_on,,,,,2,0,12,,,,,12,,,52,127,
418,note_on,,,,,58,0,15,,,,,15,,,52,0,
418,note_on,,,,,58,0,9,,,,,8,,,52,0,
418,note_on,,,,,58,0,4,,,,,3,,,72,0,
418,note_on,,,,,58,0,13,,,,,13,,,52,0,
418,note_on,,,,,58,0,12,,,,,12,,,52,0,
420,note_on,,,,,2,0,12,,,,,12,,,48,127,
420,note_on,,,,,60,0,11,,,,,11,,,72,0,
420,note_on,,,,,2,0,4,,,,,3,,,70,127,
420,note_on,,,,,2,0,13,,,,,13,,,48,127,
420,note_on,,,,,0,0,11,,,,,11,,,70,127,
420,note_on,,,,,2,0,9,,,,,8,,,48,127,
420,note_on,,,,,2,0,15,,,,,15,,,48,127,
478,note_on,,,,,58,0,9,,,,,8,,,48,0,
478,note_on,,,,,58,0,13,,,,,13,,,48,0,
478,note_on,,,,,58,0,4,,,,,3,,,70,0,
478,note_on,,,,,58,0,15,,,,,15,,,48,0,
478,note_on,,,,,58,0,12,,,,,12,,,48,0,
480,note_on,,,,,0,0,11,,,,,11,,,67,0,
480,note_on,,,,,2,0,9,,,,,8,,,53,127,
480,note_on,,,,,2,0,15,,,,,15,,,53,127,
480,note_on,,,,,0,0,11,,,,,11,,,69,127,
480,note_on,,,,,60,0,11,,,,,11,,,70,0,
480,note_on,,,,,2,0,13,,,,,13,,,53,127,
480,note_on,,,,,0,0,11,,,,,11,,,65,127,
480,note_on,,,,,0,0,11,,,,,11,,,60,100,
480,note_on,,,,,2,0,12,,,,,12,,,53,127,
480,note_on,,,,,2,0,4,,,,,3,,,69,127,
538,note_on,,,,,58,0,12,,,,,12,,,53,0,
538,note_on,,,,,58,0,4,,,,,3,,,69,0,
538,note_on,,,,,58,0,15,,,,,15,,,53,0,
538,note_on,,,,,58,0,13,,,,,13,,,53,0,
538,note_on,,,,,58,0,9,,,,,8,,,53,0,
540,note_on,,,,,2,0,15,,,,,15,,,57,127,
540,note_on,,,,,2,0,12,,,,,12,,,57,127,
540,note_on,,,,,2,0,9,,,,,8,,,57,127,
540,note_on,,,,,2,0,13,,,,,13,,,57,127,
540,note_on,,,,,540,0,5,,,,,4,,,65,127,
540,note_on,,,,,2,0,4,,,,,3,,,65,127,
569,note_on,,,,,29,0,12,,,,,12,,,57,0,
569,note_on,,,,,29,0,9,,,,,8,,,57,0,
569,note_on,,,,,29,0,15,,,,,15,,,57,0,
569,note_on,,,,,29,0,13,,,,,13,,,57,0,
570,note_on,,,,,1,0,9,,,,,8,,,55,127,
570,note_on,,,,,1,0,12,,,,,12,,,55,127,
570,note_on,,,,,1,0,15,,,,,15,,,55,127,
570,note_on,,,,,1,0,13,,,,,13,,,55,127,
598,note_on,,,,,58,0,4,,,,,3,,,65,0,
598,note_on,,,,,58,0,5,,,,,4,,,65,0,
598,note_on,,,,,0,0,11,,,,,11,,,69,0,
598,note_on,,,,,118,0,11,,,,,11,,,65,0,
599,note_on,,,,,29,0,12,,,,,12,,,55,0,
599,note_on,,,,,29,0,15,,,,,15,,,55,0,
599,note_on,,,,,29,0,13,,,,,13,,,55,0,
599,note_on,,,,,29,0,9,,,,,8,,,55,0,
600,note_on,,,,,1,0,15,,,,,15,,,53,127,
600,note_on,,,,,2,0,5,,,,,4,,,69,127,
600,note_on,,,,,1,0,12,,,,,12,,,53,127,
600,note_on,,,,,2,0,4,,,,,3,,,72,127,
600,note_on,,,,,0,0,11,,,,,11,,,69,127,
600,note_on,,,,,1,0,9,,,,,8,,,53,127,
600,note_on,,,,,0,0,11,,,,,11,,,60,100,
600,note_on,,,,,1,0,13,,,,,13,,,53,127,
600,note_on,,,,,0,0,11,,,,,11,,,65,127,
600,note_on,,,,,2,0,11,,,,,11,,,60,0,
658,note_on,,,,,58,0,15,,,,,15,,,53,0,
658,note_on,,,,,58,0,9,,,,,8,,,53,0,
658,note_on,,,,,58,0,5,,,,,4,,,69,0,
658,note_on,,,,,58,0,13,,,,,13,,,53,0,
658,note_on,,,,,58,0,12,,,,,12,,,53,0,
658,note_on,,,,,58,0,4,,,,,3,,,72,0,
660,note_on,,,,,2,0,5,,,,,4,,,72,127,
660,note_on,,,,,2,0,13,,,,,13,,,52,127,
660,note_on,,,,,2,0,15,,,,,15,,,52,127,
660,note_on,,,,,2,0,4,,,,,3,,,77,127,
660,note_on,,,,,2,0,12,,,,,12,,,52,127,
660,note_on,,,,,2,0,9,,,,,8,,,52,127,
718,note_on,,,,,58,0,13,,,,,13,,,52,0,
718,note_on,,,,,58,0,9,,,,,8,,,52,0,
718,note_on,,,,,118,0,11,,,,,11,,,65,0,
718,note_on,,,,,0,0,11,,,,,11,,,69,0,
718,note_on,,,,,58,0,4,,,,,3,,,77,0,
718,note_on,,,,,58,0,15,,,,,15,,,52,0,
718,note_on,,,,,58,0,5,,,,,4,,,72,0,
718,note_on,,,,,58,0,12,,,,,12,,,52,0,
720,note_on,,,,,2,0,15,,,,,15,,,50,127,
720,note_on,,,,,2,0,4,,,,,3,,,81,127,
720,note_on,,,,,2,0,9,,,,,8,,,50,127,
720,note_on,,,,,2,0,11,,,,,11,,,60,0,
720,note_on,,,,,2,0,13,,,,,13,,,50,127,
720,note_on,,,,,2,0,5,,,,,4,,,77,127,
720,note_on,,,,,2,0,12,,,,,12,,,50,127,
720,note_on,,,,,0,0,11,,,,,11,,,70,127,
720,note_on,,,,,0,0,11,,,,,11,,,65,100,
778,note_on,,,,,58,0,15,,,,,15,,,50,0,
778,note_on,,,,,58,0,13,,,,,13,,,50,0,
778,note_on,,,,,58,0,9,,,,,8,,,50,0,
778,note_on,,,,,58,0,5,,,,,4,,,77,0,
778,note_on,,,,,58,0,4,,,,,3,,,81,0,
778,note_on,,,,,58,0,12,,,,,12,,,50,0,
780,note_on,,,,,2,0,9,,,,,8,,,58,127,
780,note_on,,,,,2,0,15,,,,,15,,,58,127,
780,note_on,,,,,2,0,12,,,,,12,,,58,127,
780,note_on,,,,,2,0,4,,,,,3,,,79,127,
780,note_on,,,,,2,0,13,,,,,13,,,58,127,
780,note_on,,,,,2,0,5,,,,,4,,,76,127,
809,note_on,,,,,29,0,4,,,,,3,,,79,0,
809,note_on,,,,,29,0,5,,,,,4,,,76,0,
810,note_on,,,,,1,0,5,,,,,4,,,74,127,
810,note_on,,,,,1,0,4,,,,,3,,,77,127,
838,note_on,,,,,58,0,12,,,,,12,,,58,0,
838,note_on,,,,,58,0,15,,,,,15,,,58,0,
838,note_on,,,,,58,0,9,,,,,8,,,58,0,
838,note_on,,,,,118,0,11,,,,,11,,,70,0,
838,note_on,,,,,58,0,13,,,,,13,,,58,0,
839,note_on,,,,,29,0,5,,,,,4,,,74,0,
839,note_on,,,,,29,0,4,,,,,3,,,77,0,
840,note_on,,,,,2,0,12,,,,,12,,,52,127,
840,note_on,,,,,2,0,15,,,,,15,,,52,127,
840,note_on,,,,,2,0,9,,,,,8,,,52,127,
840,note_on,,,,,1,0,5,,,,,4,,,72,127,
840,note_on,,,,,2,0,11,,,,,11,,,65,0,
840,note_on,,,,,0,0,11,,,,,11,,,72,127,
840,note_on,,,,,0,0,11,,,,,11,,,67,127,
840,note_on,,,,,2,0,13,,,,,13,,,52,127,
840,note_on,,,,,1,0,4,,,,,3,,,76,127,
898,note_on,,,,,58,0,5,,,,,4,,,72,0,
898,note_on,,,,,58,0,9,,,,,8,,,52,0,
898,note_on,,,,,58,0,12,,,,,12,,,52,0,
898,note_on,,,,,58,0,13,,,,,13,,,52,0,
898,note_on,,,,,58,0,4,,,,,3,,,76,0,
898,note_on,,,,,58,0,15,,,,,15,,,52,0,
900,note_on,,,,,60,0,11,,,,,11,,,72,0,
900,note_on,,,,,2,0,9,,,,,8,,,40,127,
900,note_on,,,,,0,0,11,,,,,11,,,70,127,
900,note_on,,,,,2,0,5,,,,,4,,,70,127,
900,note_on,,,,,2,0,4,,,,,3,,,74,127,
900,note_on,,,,,2,0,15,,,,,15,,,40,127,
900,note_on,,,,,2,0,13,,,,,13,,,40,127,
900,note_on,,,,,2,0,12,,,,,12,,,40,127,
958,note_on,,,,,58,0,15,,,,,15,,,40,0,
958,note_on,,,,,58,0,5,,,,,4,,,70,0,
958,note_on,,,,,58,0,11,,,,,11,,,67,0,
958,note_on,,,,,58,0,13,,,,,13,,,40,0,
958,note_on,,,,,58,0,9,,,,,8,,,40,0,
958,note_on,,,,,58,0,12,,,,,12,,,40,0,
958,note_on,,,,,58,0,4,,,,,3,,,74,0,
960,note_on,,,,,2,0,4,,,,,3,,,72,127,
960,note_on,,,,,2,0,13,,,,,13,,,41,127,
960,note_on,,,,,2,0,9,,,,,8,,,41,127,
960,note_on,,,,,2,0,15,,,,,15,,,41,127,
960,note_on,,,,,2,0,11,,,,,11,,,70,0,
960,note_on,,,,,2,0,12,,,,,12,,,41,127,
960,note_on,,,,,2,0,5,,,,,4,,,69,127,
960,note_on,,,,,0,0,11,,,,,11,,,60,100,
960,note_on,,,,,0,0,11,,,,,11,,,65,127,
960,note_on,,,,,0,0,11,,,,,11,,,69,127,
1018,note_on,,,,,58,0,4,,,,,3,,,72,0,
1018,note_on,,,,,58,0,5,,,,,4,,,69,0,
1020,note_on,,,,,2,0,4,,,,,3,,,69,127,
1020,note_on,,,,,2,0,5,,,,,4,,,65,127,
1049,note_on,,,,,29,0,4,,,,,3,,,69,0,
1049,note_on,,,,,29,0,5,,,,,4,,,65,0,
1050,note_on,,,,,1,0,4,,,,,3,,,70,127,
1050,note_on,,,,,1,0,5,,,,,4,,,67,127,
1078,note_on,,,,,118,0,13,,,,,13,,,41,0,
1078,note_on,,,,,118,0,9,,,,,8,,,41,0,
1078,note_on,,,,,118,0,15,,,,,15,,,41,0,
1078,note_on,,,,,0,0,11,,,,,11,,,69,0,
1078,note_on,,,,,118,0,12,,,,,12,,,41,0,
1078,note_on,,,,,118,0,11,,,,,11,,,65,0,
1079,note_on,,,,,29,0,5,,,,,4,,,67,0,
1079,note_on,,,,,29,0,4,,,,,3,,,70,0,
1080,note_on,,,,,1,0,5,,,,,4,,,69,127,
1080,note_on,,,,,2,0,11,,,,,11,,,60,0,
1080,note_on,,,,,1,0,4,,,,,3,,,72,127,
1138,note_on,,,,,58,0,4,,,,,3,,,72,0,
1138,note_on,,,,,58,0,5,,,,,4,,,69,0,
1140,note_on,,,,,62,0,9,,,,,8,,,53,127,
1140,note_on,,,,,62,0,13,,,,,13,,,53,127,
1140,note_on,,,,,62,0,15,,,,,15,,,53,127,
1140,note_on,,,,,2,0,4,,,,,3,,,81,127,
1140,note_on,,,,,62,0,12,,,,,12,,,53,127,
1140,note_on,,,,,2,0,5,,,,,4,,,77,127,
1198,note_on,,,,,58,0,12,,,,,12,,,53,0,
1198,note_on,,,,,58,0,9,,,,,8,,,53,0,
1198,note_on,,,,,58,0,13,,,,,13,,,53,0,
1198,note_on,,,,,58,0,5,,,,,4,,,77,0,
1198,note_on,,,,,58,0,15,,,,,15,,,53,0,
1198,note_on,,,,,58,0,4,,,,,3,,,81,0,
1200,note_on,,,,,2,0,12,,,,,12,,,60,127,
1200,note_on,,,,,2,0,9,,,,,8,,,60,127,
1200,note_on,,,,,2,0,5,,,,,4,,,76,127,
1200,note_on,,,,,2,0,15,,,,,15,,,60,127,
1200,note_on,,,,,2,0,13,,,,,13,,,60,127,
1200,note_on,,,,,0,0,11,,,,,11,,,64,100,
1200,note_on,,,,,120,0,11,,,,,11,,,67,100,
1200,note_on,,,,,2,0,4,,,,,3,,,79,127,
1229,note_on,,,,,29,0,5,,,,,4,,,76,0,
1229,note_on,,,,,29,0,4,,,,,3,,,79,0,
1230,note_on,,,,,1,0,4,,,,,3,,,81,127,
1230,note_on,,,,,1,0,5,,,,,4,,,77,127,
1259,note_on,,,,,29,0,5,,,,,4,,,77,0,
1259,note_on,,,,,29,0,4,,,,,3,,,81,0,
1260,note_on,,,,,1,0,4,,,,,3,,,82,127,
1260,note_on,,,,,1,0,5,,,,,4,,,79,127,
1318,note_on,,,,,118,0,15,,,,,15,,,60,0,
1318,note_on,,,,,118,0,12,,,,,12,,,60,0,
1318,note_on,,,,,118,0,13,,,,,13,,,60,0,
1318,note_on,,,,,118,0,9,,,,,8,,,60,0,
1320,note_on,,,,,2,0,13,,,,,13,,,48,127,
1320,note_on,,,,,2,0,12,,,,,12,,,48,127,
1320,note_on,,,,,2,0,9,,,,,8,,,48,127,
1320,note_on,,,,,2,0,15,,,,,15,,,48,127,
1378,note_on,,,,,118,0,4,,,,,3,,,82,0,
1378,note_on,,,,,118,0,5,,,,,4,,,79,0,
1380,note_on,,,,,2,0,4,,,,,3,,,79,127,
1380,note_on,,,,,2,0,5,,,,,4,,,76,127,
1438,note_on,,,,,118,0,9,,,,,8,,,48,0,
1438,note_on,,,,,118,0,12,,,,,12,,,48,0,
1438,note_on,,,,,118,0,13,,,,,13,,,48,0,
1438,note_on,,,,,58,0,5,,,,,4,,,76,0,
1438,note_on,,,,,58,0,4,,,,,3,,,79,0,
1438,note_on,,,,,118,0,15,,,,,15,,,48,0,
1440,note_on,,,,,0,0,11,,,,,11,,,67,0,
1440,note_on,,,,,0,0,11,,,,,11,,,69,127,
1440,note_on,,,,,2,0,13,,,,,13,,,41,127,
1440,note_on,,,,,0,0,11,,,,,11,,,60,100,
1440,note_on,,,,,240,0,11,,,,,11,,,64,0,
1440,note_on,,,,,2,0,4,,,,,3,,,81,127,
1440,note_on,,,,,2,0,9,,,,,8,,,41,127,
1440,note_on,,,,,0,0,11,,,,,11,,,65,127,
1440,note_on,,,,,2,0,5,,,,,4,,,77,127,
1440,note_on,,,,,2,0,12,,,,,12,,,41,127,
1440,note_on,,,,,2,0,15,,,,,15,,,41,127,
1498,note_on,,,,,58,0,5,,,,,4,,,77,0,
1498,note_on,,,,,58,0,4,,,,,3,,,81,0,
1500,note_on,,,,,2,0,5,,,,,4,,,65,127,
1500,note_on,,,,,2,0,4,,,,,3,,,69,127,
1529,note_on,,,,,29,0,5,,,,,4,,,65,0,
1529,note_on,,,,,29,0,4,,,,,3,,,69,0,
1530,note_on,,,,,1,0,5,,,,,4,,,67,127,
1530,note_on,,,,,1,0,4,,,,,3,,,70,127,
1558,note_on,,,,,118,0,13,,,,,13,,,41,0,
1558,note_on,,,,,118,0,15,,,,,15,,,41,0,
1558,note_on,,,,,118,0,9,,,,,8,,,41,0,
1558,note_on,,,,,118,0,11,,,,,11,,,65,0,
1558,note_on,,,,,118,0,12,,,,,12,,,41,0,
1558,note_on,,,,,0,0,11,,,,,11,,,69,0,
1559,note_on,,,,,29,0,5,,,,,4,,,67,0,
1559,note_on,,,,,29,0,4,,,,,3,,,70,0,
1560,note_on,,,,,2,0,11,,,,,11,,,60,0,
1560,note_on,,,,,1,0,4,,,,,3,,,72,127,
1560,note_on,,,,,1,0,5,,,,,4,,,69,127,
1618,note_on,,,,,58,0,4,,,,,3,,,72,0,
1618,note_on,,,,,58,0,5,,,,,4,,,69,0,
1620,note_on,,,,,62,0,9,,,,,8,,,53,127,
1620,note_on,,,,,2,0,5,,,,,4,,,77,127,
1620,note_on,,,,,62,0,12,,,,,12,,,53,127,
1620,note_on,,,,,62,0,15,,,,,15,,,53,127,
1620,note_on,,,,,62,0,13,,,,,13,,,53,127,
1620,note_on,,,,,2,0,4,,,,,3,,,81,127,
1678,note_on,,,,,58,0,4,,,,,3,,,81,0,
1678,note_on,,,,,58,0,12,,,,,12,,,53,0,
1678,note_on,,,,,58,0,15,,,,,15,,,53,0,
1678,note_on,,,,,58,0,9,,,,,8,,,53,0,
1678,note_on,,,,,58,0,5,,,,,4,,,77,0,
1678,note_on,,,,,58,0,13,,,,,13,,,53,0,
1680,note_on,,,,,2,0,15,,,,,15,,,60,127,
1680,note_on,,,,,2,0,5,,,,,4,,,76,127,
1680,note_on,,,,,2,0,13,,,,,13,,,60,127,
1680,note_on,,,,,0,0,11,,,,,11,,,64,100,
1680,note_on,,,,,120,0,11,,,,,11,,,67,100,
1680,note_on,,,,,2,0,9,,,,,8,,,60,127,
1680,note_on,,,,,2,0,4,,,,,3,,,79,127,
1680,note_on,,,,,2,0,12,,,,,12,,,60,127,
1709,note_on,,,,,29,0,4,,,,,3,,,79,0,
1709,note_on,,,,,29,0,5,,,,,4,,,76,0,
1710,note_on,,,,,1,0,4,,,,,3,,,81,127,
1710,note_on,,,,,1,0,5,,,,,4,,,77,127,
1739,note_on,,,,,29,0,5,,,,,4,,,77,0,
