tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,control,value,channel,program,note,velocity
0,midi_port,0,1,15,,,,,,,0,,,,,,
0,end_of_track,0,1,14,,,,,,,,,,,,,
0,control_change,0,0,14,,,,,,,,93,0,13,,,
0,control_change,0,0,14,,,,,,,,93,0,13,,,
0,control_change,0,0,14,,,,,,,,91,0,13,,,
0,control_change,0,0,14,,,,,,,,91,0,13,,,
0,control_change,0,0,14,,,,,,,,10,63,13,,,
0,control_change,0,0,15,,,,,,,,7,127,14,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,end_of_track,0,1,18,,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,,,0,73,,
0,control_change,0,0,1,,,,,,,,10,60,0,,,
0,control_change,0,0,1,,,,,,,,7,127,0,,,
0,control_change,0,0,1,,,,,,,,32,0,0,,,
0,control_change,0,0,1,,,,,,,,0,0,0,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,2,4,24,8,,,,,,,,,
0,key_signature,0,1,0,,,,,G,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,set_tempo,0,1,0,,,,,,526316,,,,,,,
1,control_change,1,0,2,,,,,,,,93,10,1,,,
2,control_change,2,0,3,,,,,,,,93,9,2,,,
4,control_change,2,0,3,,,,,,,,91,68,2,,,
5,control_change,4,0,2,,,,,,,,91,66,1,,,
240,control_change,240,0,1,,,,,,,,91,70,0,,,
240,control_change,0,0,1,,,,,,,,93,14,0,,,
299,note_on,59,0,1,,,,,,,,,,0,,74,74
320,note_on,21,0,1,,,,,,,,,,0,,74,0
356,note_on,36,0,1,,,,,,,,,,0,,79,91
421,note_on,417,0,3,,,,,,,,,,2,,55,98
444,note_on,23,0,3,,,,,,,,,,2,,55,0
480,note_on,36,0,3,,,,,,,,,,2,,46,78
544,note_on,64,0,3,,,,,,,,,,2,,46,0
545,note_on,189,0,1,,,,,,,,,,0,,79,0
546,note_on,2,0,3,,,,,,,,,,2,,45,84
547,note_on,2,0,1,,,,,,,,,,0,,74,67
568,note_on,22,0,3,,,,,,,,,,2,,45,0
572,note_on,25,0,1,,,,,,,,,,0,,74,0
602,note_on,30,0,1,,,,,,,,,,0,,79,100
611,note_on,43,0,3,,,,,,,,,,2,,43,89
624,note_on,22,0,1,,,,,,,,,,0,,79,0
630,note_on,19,0,3,,,,,,,,,,2,,43,0
658,note_on,34,0,1,,,,,,,,,,0,,81,86
661,note_on,656,0,2,,,,,,,,,,1,,74,69
669,note_on,39,0,3,,,,,,,,,,2,,54,78
684,note_on,26,0,1,,,,,,,,,,0,,81,0
685,note_on,16,0,3,,,,,,,,,,2,,54,0
688,note_on,27,0,2,,,,,,,,,,1,,74,0
719,note_on,35,0,1,,,,,,,,,,0,,82,75
719,note_on,31,0,2,,,,,,,,,,1,,79,89
727,note_on,42,0,3,,,,,,,,,,2,,55,65
814,note_on,87,0,3,,,,,,,,,,2,,55,0
836,note_on,117,0,1,,,,,,,,,,0,,82,0
839,note_on,120,0,2,,,,,,,,,,1,,79,0
843,note_on,29,0,3,,,,,,,,,,2,,50,68
844,note_on,5,0,2,,,,,,,,,,1,,78,79
845,note_on,9,0,1,,,,,,,,,,0,,81,82
934,note_on,91,0,3,,,,,,,,,,2,,50,0
945,note_on,100,0,1,,,,,,,,,,0,,81,0
949,note_on,105,0,2,,,,,,,,,,1,,78,0
961,note_on,16,0,1,,,,,,,,,,0,,79,82
962,note_on,13,0,2,,,,,,,,,,1,,79,91
970,note_on,36,0,3,,,,,,,,,,2,,43,74
1016,note_on,55,0,1,,,,,,,,,,0,,79,0
1019,note_on,3,0,1,,,,,,,,,,0,,74,73
1026,note_on,56,0,3,,,,,,,,,,2,,43,0
1028,note_on,2,0,3,,,,,,,,,,2,,45,79
1047,note_on,28,0,1,,,,,,,,,,0,,74,0
1047,note_on,19,0,3,,,,,,,,,,2,,45,0
1062,note_on,100,0,2,,,,,,,,,,1,,79,0
1080,note_on,33,0,1,,,,,,,,,,0,,75,77
1080,note_on,33,0,3,,,,,,,,,,2,,46,68
1099,note_on,19,0,3,,,,,,,,,,2,,46,0
1138,note_on,76,0,2,,,,,,,,,,1,,82,75
1140,note_on,41,0,3,,,,,,,,,,2,,43,86
1162,note_on,22,0,3,,,,,,,,,,2,,43,0
1166,note_on,28,0,2,,,,,,,,,,1,,82,0
1196,note_on,34,0,3,,,,,,,,,,2,,42,78
1202,note_on,36,0,2,,,,,,,,,,1,,81,77
1215,note_on,19,0,3,,,,,,,,,,2,,42,0
1244,note_on,164,0,1,,,,,,,,,,0,,75,0
1258,note_on,43,0,3,,,,,,,,,,2,,40,68
1264,note_on,20,0,1,,,,,,,,,,0,,72,79
1277,note_on,19,0,3,,,,,,,,,,2,,40,0
1312,note_on,48,0,1,,,,,,,,,,0,,72,0
1322,note_on,45,0,3,,,,,,,,,,2,,42,77
1325,note_on,13,0,1,,,,,,,,,,0,,74,79
1342,note_on,20,0,3,,,,,,,,,,2,,42,0
1355,note_on,153,0,2,,,,,,,,,,1,,81,0
1355,note_on,30,0,1,,,,,,,,,,0,,74,0
1356,note_on,1,0,2,,,,,,,,,,1,,79,70
1382,note_on,26,0,2,,,,,,,,,,1,,79,0
1383,note_on,1,0,2,,,,,,,,,,1,,78,75
1385,note_on,30,0,1,,,,,,,,,,0,,69,84
1385,note_on,43,0,3,,,,,,,,,,2,,38,71
1405,note_on,20,0,3,,,,,,,,,,2,,38,0
1409,note_on,26,0,2,,,,,,,,,,1,,78,0
1412,note_on,3,0,2,,,,,,,,,,1,,76,77
1413,note_on,28,0,1,,,,,,,,,,0,,69,0
1442,note_on,30,0,2,,,,,,,,,,1,,76,0
1443,note_on,30,0,1,,,,,,,,,,0,,70,78
1443,note_on,1,0,2,,,,,,,,,,1,,74,69
1449,note_on,44,0,3,,,,,,,,,,2,,43,69
1464,note_on,15,0,3,,,,,,,,,,2,,43,0
1468,note_on,25,0,1,,,,,,,,,,0,,70,0
1487,note_on,44,0,2,,,,,,,,,,1,,74,0
1501,note_on,33,0,1,,,,,,,,,,0,,67,71
1509,note_on,45,0,3,,,,,,,,,,2,,45,68
1529,note_on,20,0,3,,,,,,,,,,2,,45,0
1533,note_on,32,0,1,,,,,,,,,,0,,67,0
1563,note_on,30,0,1,,,,,,,,,,0,,82,78
1567,note_on,38,0,3,,,,,,,,,,2,,46,78
1587,note_on,20,0,3,,,,,,,,,,2,,46,0
1621,note_on,134,0,2,,,,,,,,,,1,,74,76
1627,note_on,40,0,3,,,,,,,,,,2,,43,78
1648,note_on,27,0,2,,,,,,,,,,1,,74,0
1648,note_on,21,0,3,,,,,,,,,,2,,43,0
1672,note_on,109,0,1,,,,,,,,,,0,,82,0
1684,note_on,36,0,2,,,,,,,,,,1,,75,70
1685,note_on,13,0,1,,,,,,,,,,0,,81,71
1687,note_on,39,0,3,,,,,,,,,,2,,48,66
1787,note_on,100,0,3,,,,,,,,,,2,,48,0
1792,note_on,107,0,1,,,,,,,,,,0,,81,0
1802,note_on,10,0,1,,,,,,,,,,0,,79,82
1805,note_on,121,0,2,,,,,,,,,,1,,75,0
1805,note_on,0,0,2,,,,,,,,,,1,,70,71
1807,note_on,20,0,3,,,,,,,,,,2,,49,71
1903,note_on,96,0,3,,,,,,,,,,2,,49,0
1912,note_on,110,0,1,,,,,,,,,,0,,79,0
1922,note_on,117,0,2,,,,,,,,,,1,,70,0
1924,note_on,2,0,2,,,,,,,,,,1,,69,89
1924,note_on,21,0,3,,,,,,,,,,2,,50,70
1925,note_on,13,0,1,,,,,,,,,,0,,78,91
1953,note_on,29,0,2,,,,,,,,,,1,,69,0
1988,note_on,35,0,2,,,,,,,,,,1,,74,84
2003,note_on,79,0,3,,,,,,,,,,2,,50,0
2009,note_on,21,0,2,,,,,,,,,,1,,74,0
2026,note_on,101,0,1,,,,,,,,,,0,,78,0
2048,note_on,39,0,2,,,,,,,,,,1,,79,86
2107,note_on,104,0,3,,,,,,,,,,2,,55,65
2132,note_on,25,0,3,,,,,,,,,,2,,55,0
2164,note_on,32,0,3,,,,,,,,,,2,,46,66
2217,note_on,169,0,2,,,,,,,,,,1,,79,0
2219,note_on,55,0,3,,,,,,,,,,2,,46,0
2221,note_on,2,0,3,,,,,,,,,,2,,45,74
2223,note_on,6,0,2,,,,,,,,,,1,,74,74
2244,note_on,23,0,3,,,,,,,,,,2,,45,0
2249,note_on,26,0,2,,,,,,,,,,1,,74,0
2282,note_on,38,0,3,,,,,,,,,,2,,43,82
2283,note_on,34,0,2,,,,,,,,,,1,,79,91
2301,note_on,19,0,3,,,,,,,,,,2,,43,0
2303,note_on,20,0,2,,,,,,,,,,1,,79,0
2338,note_on,35,0,2,,,,,,,,,,1,,81,84
2341,note_on,40,0,3,,,,,,,,,,2,,54,71
2341,note_on,315,0,1,,,,,,,,,,0,,74,75
2361,note_on,20,0,3,,,,,,,,,,2,,54,0
2361,note_on,23,0,2,,,,,,,,,,1,,81,0
2376,note_on,35,0,1,,,,,,,,,,0,,74,0
2396,note_on,35,0,2,,,,,,,,,,1,,82,77
2396,note_on,20,0,1,,,,,,,,,,0,,79,91
2399,note_on,38,0,3,,,,,,,,,,2,,55,66
2506,note_on,107,0,3,,,,,,,,,,2,,55,0
2510,note_on,114,0,1,,,,,,,,,,0,,79,0
2517,note_on,121,0,2,,,,,,,,,,1,,82,0
2519,note_on,2,0,2,,,,,,,,,,1,,81,79
2524,note_on,14,0,1,,,,,,,,,,0,,78,95
2525,note_on,19,0,3,,,,,,,,,,2,,50,67
2616,note_on,91,0,3,,,,,,,,,,2,,50,0
2633,note_on,109,0,1,,,,,,,,,,0,,78,0
2642,note_on,123,0,2,,,,,,,,,,1,,81,0
2643,note_on,1,0,2,,,,,,,,,,1,,79,91
2645,note_on,12,0,1,,,,,,,,,,0,,79,93
2647,note_on,31,0,3,,,,,,,,,,2,,43,75
2692,note_on,49,0,2,,,,,,,,,,1,,79,0
2704,note_on,12,0,2,,,,,,,,,,1,,74,75
2704,note_on,57,0,3,,,,,,,,,,2,,43,0
2706,note_on,2,0,3,,,,,,,,,,2,,45,86
2726,note_on,20,0,3,,,,,,,,,,2,,45,0
2729,note_on,25,0,2,,,,,,,,,,1,,74,0
2746,note_on,101,0,1,,,,,,,,,,0,,79,0
2762,note_on,33,0,2,,,,,,,,,,1,,75,74
2764,note_on,38,0,3,,,,,,,,,,2,,46,70
2784,note_on,20,0,3,,,,,,,,,,2,,46,0
2823,note_on,39,0,3,,,,,,,,,,2,,43,75
2823,note_on,77,0,1,,,,,,,,,,0,,82,82
2842,note_on,19,0,3,,,,,,,,,,2,,43,0
2867,note_on,44,0,1,,,,,,,,,,0,,82,0
2881,note_on,39,0,3,,,,,,,,,,2,,42,67
2885,note_on,18,0,1,,,,,,,,,,0,,81,89
2900,note_on,138,0,2,,,,,,,,,,1,,75,0
2907,note_on,26,0,3,,,,,,,,,,2,,42,0
2941,control_change,0,0,6,,,,,,,,93,0,5,,,
2941,control_change,2941,0,6,,,,,,,,91,0,5,,,
2941,control_change,0,0,5,,,,,,,,7,127,4,,,
2941,control_change,0,0,5,,,,,,,,10,63,4,,,
2941,control_change,0,0,6,,,,,,,,7,127,5,,,
2941,control_change,2941,0,8,,,,,,,,91,0,7,,,
2941,control_change,0,0,4,,,,,,,,10,63,3,,,
2941,control_change,2941,0,4,,,,,,,,91,0,3,,,
2941,control_change,0,0,5,,,,,,,,93,0,4,,,
2941,control_change,2941,0,7,,,,,,,,91,0,6,,,
2941,control_change,0,0,7,,,,,,,,93,0,6,,,
2941,control_change,0,0,7,,,,,,,,10,63,6,,,
2941,control_change,0,0,7,,,,,,,,7,127,6,,,
2941,control_change,0,0,4,,,,,,,,7,127,3,,,
2941,control_change,0,0,4,,,,,,,,93,0,3,,,
2941,control_change,2941,0,5,,,,,,,,91,0,4,,,
2941,control_change,0,0,6,,,,,,,,10,63,5,,,
2941,control_change,0,0,8,,,,,,,,93,0,7,,,
2941,control_change,0,0,8,,,,,,,,10,63,7,,,
2941,control_change,0,0,8,,,,,,,,7,127,7,,,
2942,note_on,35,0,3,,,,,,,,,,2,,40,74
2943,note_on,43,0,2,,,,,,,,,,1,,72,69
2967,note_on,25,0,3,,,,,,,,,,2,,40,0
2983,note_on,40,0,2,,,,,,,,,,1,,72,0
3003,note_on,36,0,3,,,,,,,,,,2,,42,75
3004,note_on,21,0,2,,,,,,,,,,1,,74,70
3028,note_on,25,0,3,,,,,,,,,,2,,42,0
3032,note_on,28,0,2,,,,,,,,,,1,,74,0
3034,note_on,149,0,1,,,,,,,,,,0,,81,0
3035,note_on,1,0,1,,,,,,,,,,0,,79,86
3060,note_on,25,0,1,,,,,,,,,,0,,79,0
3062,note_on,34,0,3,,,,,,,,,,2,,38,75
3062,note_on,2,0,1,,,,,,,,,,0,,78,75
3065,note_on,33,0,2,,,,,,,,,,1,,69,77
3085,note_on,23,0,1,,,,,,,,,,0,,78,0
3086,note_on,24,0,3,,,,,,,,,,2,,38,0
3090,note_on,25,0,2,,,,,,,,,,1,,69,0
3090,note_on,5,0,1,,,,,,,,,,0,,76,79
3118,note_on,28,0,1,,,,,,,,,,0,,76,0
3120,note_on,2,0,1,,,,,,,,,,0,,74,75
3122,note_on,32,0,2,,,,,,,,,,1,,70,68
3126,note_on,40,0,3,,,,,,,,,,2,,43,76
3150,note_on,24,0,3,,,,,,,,,,2,,43,0
3152,note_on,30,0,2,,,,,,,,,,1,,70,0
3178,note_on,58,0,1,,,,,,,,,,0,,74,0
3181,note_on,29,0,2,,,,,,,,,,1,,67,89
3186,note_on,36,0,3,,,,,,,,,,2,,45,75
3211,note_on,25,0,3,,,,,,,,,,2,,45,0
3214,note_on,33,0,2,,,,,,,,,,1,,67,0
3242,note_on,28,0,2,,,,,,,,,,1,,82,77
3249,note_on,38,0,3,,,,,,,,,,2,,46,77
3275,note_on,26,0,3,,,,,,,,,,2,,46,0
3301,note_on,123,0,1,,,,,,,,,,0,,74,77
3307,note_on,32,0,3,,,,,,,,,,2,,43,84
3330,note_on,29,0,1,,,,,,,,,,0,,74,0
3332,note_on,25,0,3,,,,,,,,,,2,,43,0
3360,note_on,118,0,2,,,,,,,,,,1,,82,0
3360,note_on,30,0,1,,,,,,,,,,0,,75,78
3364,note_on,4,0,2,,,,,,,,,,1,,81,73
3366,note_on,34,0,3,,,,,,,,,,2,,48,75
3462,note_on,96,0,3,,,,,,,,,,2,,48,0
3479,note_on,115,0,2,,,,,,,,,,1,,81,0
3481,note_on,121,0,1,,,,,,,,,,0,,70,84
3482,note_on,3,0,2,,,,,,,,,,1,,79,82
3482,note_on,20,0,3,,,,,,,,,,2,,49,78
3483,note_on,2,0,1,,,,,,,,,,0,,75,0
3581,note_on,99,0,3,,,,,,,,,,2,,49,0
3599,note_on,116,0,1,,,,,,,,,,0,,70,0
3602,note_on,120,0,2,,,,,,,,,,1,,79,0
3602,note_on,0,0,2,,,,,,,,,,1,,78,74
3604,note_on,5,0,1,,,,,,,,,,0,,69,93
3604,note_on,23,0,3,,,,,,,,,,2,,50,76
3637,note_on,33,0,1,,,,,,,,,,0,,69,0
3639,note_on,37,0,2,,,,,,,,,,1,,78,0
3664,note_on,25,0,2,,,,,,,,,,1,,78,65
3666,note_on,29,0,1,,,,,,,,,,0,,81,86
3679,note_on,75,0,3,,,,,,,,,,2,,50,0
3691,note_on,25,0,1,,,,,,,,,,0,,81,0
3691,note_on,27,0,2,,,,,,,,,,1,,78,0
3692,note_on,1,0,2,,,,,,,,,,1,,79,89
3692,note_on,1,0,1,,,,,,,,,,0,,82,78
3720,note_on,28,0,1,,,,,,,,,,0,,82,0
3722,note_on,30,0,2,,,,,,,,,,1,,79,0
3724,note_on,4,0,1,,,,,,,,,,0,,84,86
3724,note_on,2,0,2,,,,,,,,,,1,,81,77
3781,note_on,57,0,1,,,,,,,,,,0,,84,0
3783,note_on,104,0,3,,,,,,,,,,2,,50,77
3784,note_on,60,0,2,,,,,,,,,,1,,81,0
3785,note_on,4,0,1,,,,,,,,,,0,,82,68
3785,note_on,1,0,2,,,,,,,,,,1,,79,74
3806,note_on,23,0,3,,,,,,,,,,2,,50,0
3811,note_on,26,0,2,,,,,,,,,,1,,79,0
3812,note_on,27,0,1,,,,,,,,,,0,,82,0
3813,note_on,2,0,2,,,,,,,,,,1,,78,73
3814,note_on,2,0,1,,,,,,,,,,0,,81,75
3841,note_on,27,0,1,,,,,,,,,,0,,81,0
3841,note_on,28,0,2,,,,,,,,,,1,,78,0
3843,note_on,2,0,1,,,,,,,,,,0,,82,78
3844,note_on,3,0,2,,,,,,,,,,1,,79,89
3845,note_on,39,0,3,,,,,,,,,,2,,55,66
3872,note_on,29,0,1,,,,,,,,,,0,,82,0
3888,note_on,44,0,2,,,,,,,,,,1,,79,0
3905,note_on,33,0,1,,,,,,,,,,0,,74,69
3914,note_on,69,0,3,,,,,,,,,,2,,55,0
3931,note_on,26,0,1,,,,,,,,,,0,,74,0
3961,note_on,30,0,1,,,,,,,,,,0,,79,79
3966,note_on,52,0,3,,,,,,,,,,2,,55,61
3984,note_on,23,0,1,,,,,,,,,,0,,79,0
4021,note_on,37,0,1,,,,,,,,,,0,,74,68
4047,note_on,26,0,1,,,,,,,,,,0,,74,0
4050,note_on,84,0,3,,,,,,,,,,2,,55,0
4083,note_on,195,0,2,,,,,,,,,,1,,86,61
4085,note_on,38,0,1,,,,,,,,,,0,,84,78
4086,note_on,36,0,3,,,,,,,,,,2,,54,61
4112,note_on,27,0,1,,,,,,,,,,0,,84,0
4146,note_on,34,0,1,,,,,,,,,,0,,82,68
4181,note_on,95,0,3,,,,,,,,,,2,,54,0
4213,note_on,32,0,3,,,,,,,,,,2,,54,61
4245,note_on,99,0,1,,,,,,,,,,0,,82,0
4267,note_on,22,0,1,,,,,,,,,,0,,81,78
4287,note_on,74,0,3,,,,,,,,,,2,,54,0
4326,note_on,39,0,3,,,,,,,,,,2,,53,63
4368,note_on,101,0,1,,,,,,,,,,0,,81,0
4385,note_on,17,0,1,,,,,,,,,,0,,74,69
4406,note_on,80,0,3,,,,,,,,,,2,,53,0
4422,note_on,37,0,1,,,,,,,,,,0,,74,0
4442,note_on,20,0,1,,,,,,,,,,0,,77,78
4445,note_on,39,0,3,,,,,,,,,,2,,53,67
4467,note_on,25,0,1,,,,,,,,,,0,,77,0
4498,note_on,31,0,1,,,,,,,,,,0,,74,74
4518,note_on,73,0,3,,,,,,,,,,2,,53,0
4529,note_on,31,0,1,,,,,,,,,,0,,74,0
4537,note_on,454,0,2,,,,,,,,,,1,,86,0
4558,note_on,29,0,1,,,,,,,,,,0,,82,78
4559,note_on,22,0,2,,,,,,,,,,1,,84,62
4561,note_on,43,0,3,,,,,,,,,,2,,52,68
4582,note_on,24,0,1,,,,,,,,,,0,,82,0
4611,control_change,0,0,8,,,,,,,,10,63,7,,,
4611,control_change,0,0,7,,,,,,,,10,63,6,,,
4611,control_change,1670,0,7,,,,,,,,91,0,6,,,
4611,control_change,0,0,7,,,,,,,,7,127,6,,,
4611,end_of_track,0,1,8,,,,,,,,,,,,,
4611,control_change,0,0,7,,,,,,,,93,0,6,,,
4611,control_change,1670,0,6,,,,,,,,91,0,5,,,
4611,control_change,0,0,6,,,,,,,,93,0,5,,,
4611,control_change,0,0,6,,,,,,,,10,63,5,,,
4611,control_change,0,0,6,,,,,,,,7,127,5,,,
4611,end_of_track,0,1,6,,,,,,,,,,,,,
4611,control_change,0,0,8,,,,,,,,7,127,7,,,
4611,control_change,0,0,8,,,,,,,,93,0,7,,,
