tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,note,velocity,key
1920,note_on,,,,,64,0,9,,,,,2,,60,100,
2048,note_off,,,,,128,0,9,,,,,2,,60,100,
2112,note_on,,,,,64,0,9,,,,,2,,59,100,
2240,note_off,,,,,128,0,9,,,,,2,,59,100,
2304,note_on,,,,,64,0,9,,,,,2,,57,100,
2432,note_off,,,,,128,0,9,,,,,2,,57,100,
2496,note_on,,,,,64,0,9,,,,,2,,69,100,
2496,note_on,,,,,0,0,9,,,,,2,,72,100,
2624,note_off,,,,,128,0,9,,,,,2,,69,100,
2624,note_off,,,,,0,0,9,,,,,2,,72,100,
2688,note_on,,,,,64,0,9,,,,,2,,67,100,
2688,note_on,,,,,0,0,9,,,,,2,,71,100,
2816,note_off,,,,,128,0,9,,,,,2,,67,100,
2816,note_off,,,,,0,0,9,,,,,2,,71,100,
2880,note_on,,,,,64,0,9,,,,,2,,65,100,
2880,note_on,,,,,0,0,9,,,,,2,,69,100,
3008,note_off,,,,,0,0,9,,,,,2,,69,100,
3008,note_off,,,,,128,0,9,,,,,2,,65,100,
3072,note_on,,,,,0,0,9,,,,,2,,67,100,
3072,note_on,,,,,64,0,9,,,,,2,,64,100,
3200,note_off,,,,,0,0,9,,,,,2,,67,100,
3200,note_off,,,,,128,0,9,,,,,2,,64,100,
3264,note_on,,,,,0,0,9,,,,,2,,65,100,
3264,note_on,,,,,64,0,9,,,,,2,,62,100,
3392,note_off,,,,,128,0,9,,,,,2,,62,100,
3392,note_off,,,,,0,0,9,,,,,2,,65,100,
3456,note_on,,,,,0,0,9,,,,,2,,64,100,
3456,note_on,,,,,64,0,9,,,,,2,,60,100,
3584,note_off,,,,,0,0,9,,,,,2,,64,100,
3584,note_off,,,,,128,0,9,,,,,2,,60,100,
3648,note_on,,,,,64,0,9,,,,,2,,65,100,
3648,note_on,,,,,0,0,9,,,,,2,,69,100,
3776,note_off,,,,,128,0,9,,,,,2,,65,100,
3776,note_off,,,,,0,0,9,,,,,2,,69,100,
3840,note_on,,,,,64,0,9,,,,,2,,64,100,
3840,note_on,,,,,0,0,9,,,,,2,,67,100,
3968,note_off,,,,,128,0,9,,,,,2,,64,100,
3968,note_off,,,,,0,0,9,,,,,2,,67,100,
4032,note_on,,,,,0,0,9,,,,,2,,65,100,
4032,note_on,,,,,64,0,9,,,,,2,,62,100,
4160,note_off,,,,,128,0,9,,,,,2,,62,100,
4160,note_off,,,,,0,0,9,,,,,2,,65,100,
4224,note_on,,,,,0,0,9,,,,,2,,64,100,
4224,note_on,,,,,64,0,9,,,,,2,,60,100,
4352,note_off,,,,,128,0,9,,,,,2,,60,100,
4352,note_off,,,,,0,0,9,,,,,2,,64,100,
4416,note_on,,,,,64,0,9,,,,,2,,59,100,
4416,note_on,,,,,0,0,9,,,,,2,,62,100,
4544,note_off,,,,,128,0,9,,,,,2,,59,100,
4544,note_off,,,,,0,0,9,,,,,2,,62,100,
4608,note_on,,,,,64,0,9,,,,,2,,57,100,
4608,note_on,,,,,0,0,9,,,,,2,,60,100,
4736,note_off,,,,,128,0,9,,,,,2,,57,100,
4736,note_off,,,,,0,0,9,,,,,2,,60,100,
4800,note_on,,,,,64,0,9,,,,,2,,72,100,
4800,note_on,,,,,0,0,9,,,,,2,,81,100,
4800,note_on,,,,,4800,0,10,,,,,3,,69,100,
4928,note_off,,,,,128,0,10,,,,,3,,69,100,
4928,note_off,,,,,0,0,9,,,,,2,,81,100,
4928,note_off,,,,,128,0,9,,,,,2,,72,100,
4992,note_on,,,,,0,0,9,,,,,2,,81,100,
4992,note_on,,,,,64,0,10,,,,,3,,67,100,
4992,note_on,,,,,64,0,9,,,,,2,,71,100,
5120,note_off,,,,,128,0,10,,,,,3,,67,100,
5120,note_off,,,,,0,0,9,,,,,2,,81,100,
5120,note_off,,,,,128,0,9,,,,,2,,71,100,
5184,note_on,,,,,0,0,9,,,,,2,,81,100,
5184,note_on,,,,,64,0,9,,,,,2,,69,100,
5184,note_on,,,,,64,0,10,,,,,3,,65,100,
5312,note_off,,,,,128,0,10,,,,,3,,65,100,
5312,note_off,,,,,128,0,9,,,,,2,,69,100,
5312,note_off,,,,,0,0,9,,,,,2,,81,100,
5376,note_on,,,,,64,0,10,,,,,3,,64,100,
5376,note_on,,,,,64,0,9,,,,,2,,67,100,
5376,note_on,,,,,0,0,9,,,,,2,,81,100,
5504,note_off,,,,,128,0,10,,,,,3,,64,100,
5504,note_off,,,,,0,0,9,,,,,2,,81,100,
5504,note_off,,,,,128,0,9,,,,,2,,67,100,
5568,note_on,,,,,64,0,10,,,,,3,,62,100,
5568,note_on,,,,,64,0,9,,,,,2,,65,100,
5568,note_on,,,,,0,0,9,,,,,2,,81,100,
5696,note_off,,,,,128,0,9,,,,,2,,65,100,
5696,note_off,,,,,0,0,9,,,,,2,,81,100,
5696,note_off,,,,,128,0,10,,,,,3,,62,100,
5760,set_tempo,,,,,5760,1,0,,468750,,,,,,,
5760,note_on,,,,,64,0,10,,,,,3,,60,100,
5760,note_on,,,,,0,0,9,,,,,2,,81,100,
5760,note_on,,,,,64,0,9,,,,,2,,64,100,
5888,note_off,,,,,128,0,9,,,,,2,,64,100,
5888,note_off,,,,,0,0,9,,,,,2,,81,100,
5888,note_off,,,,,128,0,10,,,,,3,,60,100,
5952,note_on,,,,,64,0,10,,,,,3,,65,100,
5952,note_on,,,,,0,0,9,,,,,2,,81,100,
5952,note_on,,,,,64,0,9,,,,,2,,69,100,
6080,note_off,,,,,128,0,9,,,,,2,,69,100,
6080,note_off,,,,,0,0,9,,,,,2,,81,100,
6080,note_off,,,,,128,0,10,,,,,3,,65,100,
6144,note_on,,,,,64,0,10,,,,,3,,64,100,
6144,note_on,,,,,0,0,9,,,,,2,,81,100,
6144,note_on,,,,,64,0,9,,,,,2,,67,100,
6272,note_off,,,,,128,0,10,,,,,3,,64,100,
6272,note_off,,,,,0,0,9,,,,,2,,81,100,
6272,note_off,,,,,128,0,9,,,,,2,,67,100,
6336,note_on,,,,,64,0,9,,,,,2,,65,100,
6336,note_on,,,,,64,0,10,,,,,3,,62,100,
6336,note_on,,,,,0,0,9,,,,,2,,81,100,
6464,note_off,,,,,128,0,10,,,,,3,,62,100,
6464,note_off,,,,,128,0,9,,,,,2,,65,100,
6464,note_off,,,,,0,0,9,,,,,2,,81,100,
6528,note_on,,,,,64,0,10,,,,,3,,60,100,
6528,note_on,,,,,0,0,9,,,,,2,,81,100,
6528,note_on,,,,,64,0,9,,,,,2,,64,100,
6656,note_off,,,,,0,0,9,,,,,2,,81,100,
6656,note_off,,,,,128,0,10,,,,,3,,60,100,
6656,note_off,,,,,128,0,9,,,,,2,,64,100,
6720,note_on,,,,,0,0,9,,,,,2,,81,100,
6720,note_on,,,,,64,0,10,,,,,3,,59,100,
6720,note_on,,,,,64,0,9,,,,,2,,62,100,
6848,note_off,,,,,0,0,9,,,,,2,,81,100,
6848,note_off,,,,,128,0,9,,,,,2,,62,100,
6848,note_off,,,,,128,0,10,,,,,3,,59,100,
6912,note_on,,,,,64,0,9,,,,,2,,60,100,
6912,note_on,,,,,64,0,10,,,,,3,,57,100,
6912,note_on,,,,,0,0,9,,,,,2,,84,100,
7040,note_off,,,,,128,0,10,,,,,3,,57,100,
7040,note_off,,,,,0,0,9,,,,,2,,84,100,
7040,note_off,,,,,128,0,9,,,,,2,,60,100,
7104,note_on,,,,,7104,0,13,,,,,6,,72,100,
7104,note_on,,,,,7104,0,11,,,,,4,,57,100,
7104,note_on,,,,,64,0,10,,,,,3,,72,100,
7104,note_on,,,,,7104,0,12,,,,,5,,45,100,
7104,note_on,,,,,7104,0,14,,,,,6,,57,100,
7104,note_on,,,,,64,0,9,,,,,2,,81,100,
7104,note_on,,,,,0,0,9,,,,,2,,84,100,
7232,note_off,,,,,128,0,14,,,,,6,,57,100,
7232,note_off,,,,,128,0,12,,,,,5,,45,100,
7232,note_off,,,,,128,0,13,,,,,6,,72,100,
7232,note_off,,,,,128,0,9,,,,,2,,81,100,
7232,note_off,,,,,128,0,11,,,,,4,,57,100,
7232,note_off,,,,,128,0,10,,,,,3,,72,100,
7232,note_off,,,,,0,0,9,,,,,2,,84,100,
7296,note_on,,,,,64,0,10,,,,,3,,71,100,
7296,note_on,,,,,64,0,14,,,,,6,,55,100,
7296,note_on,,,,,64,0,13,,,,,6,,71,100,
7296,note_on,,,,,64,0,11,,,,,4,,55,100,
7296,note_on,,,,,64,0,12,,,,,5,,43,100,
7296,note_on,,,,,64,0,9,,,,,2,,81,100,
7296,note_on,,,,,0,0,9,,,,,2,,84,100,
7424,note_off,,,,,128,0,11,,,,,4,,55,100,
7424,note_off,,,,,128,0,12,,,,,5,,43,100,
7424,note_off,,,,,128,0,14,,,,,6,,55,100,
7424,note_off,,,,,128,0,10,,,,,3,,71,100,
7424,note_off,,,,,128,0,9,,,,,2,,81,100,
7424,note_off,,,,,0,0,9,,,,,2,,84,100,
7424,note_off,,,,,128,0,13,,,,,6,,71,100,
7488,note_on,,,,,64,0,13,,,,,6,,69,100,
7488,note_on,,,,,64,0,14,,,,,6,,53,100,
7488,note_on,,,,,64,0,10,,,,,3,,69,100,
7488,note_on,,,,,64,0,9,,,,,2,,81,100,
7488,note_on,,,,,64,0,11,,,,,4,,53,100,
7488,note_on,,,,,64,0,12,,,,,5,,41,100,
7488,note_on,,,,,0,0,9,,,,,2,,84,100,
7616,note_off,,,,,0,0,9,,,,,2,,84,100,
7616,note_off,,,,,128,0,13,,,,,6,,69,100,
7616,note_off,,,,,128,0,12,,,,,5,,41,100,
7616,note_off,,,,,128,0,10,,,,,3,,69,100,
7616,note_off,,,,,128,0,9,,,,,2,,81,100,
7616,note_off,,,,,128,0,11,,,,,4,,53,100,
7616,note_off,,,,,128,0,14,,,,,6,,53,100,
7680,note_on,,,,,64,0,11,,,,,4,,52,100,
7680,note_on,,,,,64,0,13,,,,,6,,72,100,
7680,note_on,,,,,64,0,12,,,,,5,,40,100,
7680,note_on,,,,,64,0,14,,,,,6,,52,100,
7680,note_on,,,,,64,0,10,,,,,3,,67,100,
7680,note_on,,,,,64,0,9,,,,,2,,81,100,
7680,note_on,,,,,0,0,9,,,,,2,,84,100,
7680,note_on,,,,,0,0,13,,,,,6,,67,100,
7808,note_off,,,,,128,0,13,,,,,6,,72,100,
7808,note_off,,,,,128,0,12,,,,,5,,40,100,
7808,note_off,,,,,128,0,14,,,,,6,,52,100,
7808,note_off,,,,,128,0,10,,,,,3,,67,100,
7808,note_off,,,,,0,0,13,,,,,6,,67,100,
7808,note_off,,,,,128,0,11,,,,,4,,52,100,
7808,note_off,,,,,128,0,9,,,,,2,,81,100,
7808,note_off,,,,,0,0,9,,,,,2,,84,100,
7872,note_on,,,,,64,0,13,,,,,6,,71,100,
7872,note_on,,,,,0,0,13,,,,,6,,65,100,
7872,note_on,,,,,64,0,12,,,,,5,,38,100,
7872,note_on,,,,,64,0,14,,,,,6,,50,100,
7872,note_on,,,,,64,0,11,,,,,4,,50,100,
7872,note_on,,,,,64,0,9,,,,,2,,81,100,
7872,note_on,,,,,64,0,10,,,,,3,,65,100,
7872,note_on,,,,,0,0,9,,,,,2,,84,100,
8000,note_off,,,,,128,0,9,,,,,2,,81,100,
8000,note_off,,,,,0,0,9,,,,,2,,84,100,
8000,note_off,,,,,128,0,11,,,,,4,,50,100,
8000,note_off,,,,,128,0,12,,,,,5,,38,100,
8000,note_off,,,,,128,0,14,,,,,6,,50,100,
8000,note_off,,,,,128,0,10,,,,,3,,65,100,
8000,note_off,,,,,128,0,13,,,,,6,,71,100,
8000,note_off,,,,,0,0,13,,,,,6,,65,100,
8064,note_on,,,,,64,0,11,,,,,4,,48,100,
8064,note_on,,,,,64,0,12,,,,,5,,36,100,
8064,note_on,,,,,64,0,14,,,,,6,,48,100,
8064,note_on,,,,,0,0,13,,,,,6,,64,100,
8064,note_on,,,,,64,0,13,,,,,6,,69,100,
8064,note_on,,,,,64,0,10,,,,,3,,64,100,
8064,note_on,,,,,64,0,9,,,,,2,,81,100,
8064,note_on,,,,,0,0,9,,,,,2,,84,100,
8192,note_off,,,,,0,0,9,,,,,2,,84,100,
8192,note_off,,,,,128,0,11,,,,,4,,48,100,
8192,note_off,,,,,128,0,14,,,,,6,,48,100,
8192,note_off,,,,,128,0,9,,,,,2,,81,100,
8192,note_off,,,,,0,0,13,,,,,6,,64,100,
8192,note_off,,,,,128,0,10,,,,,3,,64,100,
8192,note_off,,,,,128,0,13,,,,,6,,69,100,
8192,note_off,,,,,128,0,12,,,,,5,,36,100,
8256,note_on,,,,,64,0,12,,,,,5,,41,100,
8256,note_on,,,,,64,0,10,,,,,3,,69,100,
8256,note_on,,,,,64,0,14,,,,,6,,53,100,
8256,note_on,,,,,64,0,13,,,,,6,,74,100,
8256,note_on,,,,,64,0,11,,,,,4,,53,100,
8256,note_on,,,,,0,0,9,,,,,2,,84,100,
8256,note_on,,,,,64,0,9,,,,,2,,81,100,
8384,note_off,,,,,128,0,9,,,,,2,,81,100,
8384,note_off,,,,,128,0,14,,,,,6,,53,100,
8384,note_off,,,,,0,0,9,,,,,2,,84,100,
8384,note_off,,,,,128,0,10,,,,,3,,69,100,
8384,note_off,,,,,128,0,13,,,,,6,,74,100,
8384,note_off,,,,,128,0,11,,,,,4,,53,100,
8384,note_off,,,,,128,0,12,,,,,5,,41,100,
8448,note_on,,,,,0,0,9,,,,,2,,84,100,
8448,note_on,,,,,64,0,10,,,,,3,,67,100,
8448,note_on,,,,,64,0,9,,,,,2,,81,100,
8448,note_on,,,,,64,0,13,,,,,6,,72,100,
8448,note_on,,,,,64,0,12,,,,,5,,40,100,
8448,note_on,,,,,64,0,14,,,,,6,,52,100,
8448,note_on,,,,,64,0,11,,,,,4,,52,100,
8576,note_off,,,,,128,0,11,,,,,4,,52,100,
8576,note_off,,,,,128,0,13,,,,,6,,72,100,
8576,note_off,,,,,128,0,12,,,,,5,,40,100,
8576,note_off,,,,,128,0,9,,,,,2,,81,100,
8576,note_off,,,,,0,0,9,,,,,2,,84,100,
8576,note_off,,,,,128,0,14,,,,,6,,52,100,
8576,note_off,,,,,128,0,10,,,,,3,,67,100,
8640,note_on,,,,,64,0,13,,,,,6,,71,100,
8640,note_on,,,,,64,0,12,,,,,5,,38,100,
8640,note_on,,,,,64,0,10,,,,,3,,65,100,
8640,note_on,,,,,0,0,9,,,,,2,,84,100,
8640,note_on,,,,,64,0,9,,,,,2,,81,100,
8640,note_on,,,,,64,0,11,,,,,4,,50,100,
8640,note_on,,,,,64,0,14,,,,,6,,50,100,
8768,note_off,,,,,128,0,10,,,,,3,,65,100,
8768,note_off,,,,,128,0,13,,,,,6,,71,100,
8768,note_off,,,,,0,0,9,,,,,2,,84,100,
8768,note_off,,,,,128,0,9,,,,,2,,81,100,
8768,note_off,,,,,128,0,12,,,,,5,,38,100,
8768,note_off,,,,,128,0,14,,,,,6,,50,100,
8768,note_off,,,,,128,0,11,,,,,4,,50,100,
8832,note_on,,,,,64,0,11,,,,,4,,48,100,
8832,note_on,,,,,64,0,13,,,,,6,,69,100,
8832,note_on,,,,,64,0,12,,,,,5,,36,100,
8832,note_on,,,,,64,0,9,,,,,2,,81,100,
8832,note_on,,,,,64,0,10,,,,,3,,64,100,
8832,note_on,,,,,64,0,14,,,,,6,,48,100,
8832,note_on,,,,,0,0,9,,,,,2,,84,100,
8960,note_off,,,,,128,0,9,,,,,2,,81,100,
8960,note_off,,,,,0,0,9,,,,,2,,84,100,
8960,note_off,,,,,128,0,13,,,,,6,,69,100,
8960,note_off,,,,,128,0,11,,,,,4,,48,100,
8960,note_off,,,,,128,0,10,,,,,3,,64,100,
8960,note_off,,,,,128,0,14,,,,,6,,48,100,
8960,note_off,,,,,128,0,12,,,,,5,,36,100,
9024,note_on,,,,,64,0,14,,,,,6,,47,100,
9024,note_on,,,,,64,0,9,,,,,2,,81,100,
9024,note_on,,,,,0,0,9,,,,,2,,84,100,
9024,note_on,,,,,64,0,10,,,,,3,,62,100,
9024,note_on,,,,,64,0,12,,,,,5,,35,100,
9024,note_on,,,,,64,0,13,,,,,6,,67,100,
9024,note_on,,,,,64,0,11,,,,,4,,47,100,
9152,note_off,,,,,0,0,9,,,,,2,,84,100,
9152,note_off,,,,,128,0,11,,,,,4,,47,100,
9152,note_off,,,,,128,0,10,,,,,3,,62,100,
9152,note_off,,,,,128,0,9,,,,,2,,81,100,
9152,note_off,,,,,128,0,13,,,,,6,,67,100,
9152,note_off,,,,,128,0,14,,,,,6,,47,100,
9152,note_off,,,,,128,0,12,,,,,5,,35,100,
9216,note_on,,,,,64,0,9,,,,,2,,81,100,
9216,note_on,,,,,0,0,9,,,,,2,,84,100,
9216,note_on,,,,,64,0,14,,,,,6,,45,100,
9216,note_on,,,,,64,0,12,,,,,5,,33,100,
9216,note_on,,,,,64,0,10,,,,,3,,60,100,
9216,note_on,,,,,64,0,13,,,,,6,,72,100,
9216,note_on,,,,,0,0,13,,,,,6,,64,100,
9216,note_on,,,,,64,0,11,,,,,4,,45,100,
9472,note_off,,,,,256,0,11,,,,,4,,45,100,
9472,note_off,,,,,256,0,12,,,,,5,,33,100,
9472,note_off,,,,,256,0,10,,,,,3,,60,100,
9472,note_off,,,,,256,0,14,,,,,6,,45,100,
9472,note_off,,,,,256,0,9,,,,,2,,81,100,
9472,note_off,,,,,0,0,9,,,,,2,,84,100,
9472,note_off,,,,,256,0,13,,,,,6,,72,100,
9472,note_off,,,,,0,0,13,,,,,6,,64,100,
9600,note_on,,,,,128,0,14,,,,,6,,60,100,
9600,note_on,,,,,128,0,12,,,,,5,,48,100,
9600,note_on,,,,,128,0,11,,,,,4,,60,100,
9600,note_on,,,,,128,0,13,,,,,6,,69,100,
9600,note_on,,,,,0,0,13,,,,,6,,64,100,
9600,note_on,,,,,128,0,10,,,,,3,,72,100,
9600,note_on,,,,,128,0,9,,,,,2,,72,100,
9856,note_off,,,,,256,0,9,,,,,2,,72,100,
9856,note_off,,,,,256,0,13,,,,,6,,69,100,
9856,note_off,,,,,0,0,13,,,,,6,,64,100,
9856,note_off,,,,,256,0,10,,,,,3,,72,100,
9856,note_off,,,,,256,0,14,,,,,6,,60,100,
9856,note_off,,,,,256,0,12,,,,,5,,48,100,
9856,note_off,,,,,256,0,11,,,,,4,,60,100,
9984,note_on,,,,,128,0,10,,,,,3,,72,100,
9984,note_on,,,,,128,0,14,,,,,6,,60,100,
9984,note_on,,,,,128,0,11,,,,,4,,60,100,
9984,note_on,,,,,128,0,9,,,,,2,,72,100,
9984,note_on,,,,,128,0,12,,,,,5,,48,100,
9984,note_on,,,,,0,0,13,,,,,6,,64,100,
9984,note_on,,,,,128,0,13,,,,,6,,69,100,
10240,note_off,,,,,256,0,10,,,,,3,,72,100,
10240,note_off,,,,,0,0,13,,,,,6,,64,100,
10240,note_off,,,,,256,0,13,,,,,6,,69,100,
10240,note_off,,,,,256,0,11,,,,,4,,60,100,
10240,note_off,,,,,256,0,9,,,,,2,,72,100,
10240,note_off,,,,,256,0,14,,,,,6,,60,100,
10240,note_off,,,,,256,0,12,,,,,5,,48,100,
10368,note_on,,,,,128,0,13,,,,,6,,71,100,
10368,note_on,,,,,128,0,11,,,,,4,,62,100,
10368,note_on,,,,,128,0,14,,,,,6,,62,100,
10368,note_on,,,,,128,0,12,,,,,5,,50,100,
10368,note_on,,,,,0,0,13,,,,,6,,69,100,
10368,note_on,,,,,128,0,10,,,,,3,,74,100,
10368,note_on,,,,,128,0,9,,,,,2,,74,100,
10624,note_off,,,,,256,0,12,,,,,5,,50,100,
10624,note_off,,,,,0,0,13,,,,,6,,69,100,
10624,note_off,,,,,256,0,10,,,,,3,,74,100,
10624,note_off,,,,,256,0,9,,,,,2,,74,100,
10624,note_off,,,,,256,0,11,,,,,4,,62,100,
10624,note_off,,,,,256,0,13,,,,,6,,71,100,
10624,note_off,,,,,256,0,14,,,,,6,,62,100,
10752,note_on,,,,,128,0,13,,,,,6,,68,100,
10752,note_on,,,,,0,0,13,,,,,6,,71,100,
10752,note_on,,,,,128,0,11,,,,,4,,64,100,
10752,note_on,,,,,128,0,12,,,,,5,,52,100,
10752,note_on,,,,,128,0,14,,,,,6,,64,100,
10752,note_on,,,,,128,0,10,,,,,3,,76,100,
10752,note_on,,,,,128,0,9,,,,,2,,76,100,
11008,note_off,,,,,256,0,10,,,,,3,,76,100,
11008,note_off,,,,,256,0,14,,,,,6,,64,100,
11008,note_off,,,,,256,0,9,,,,,2,,76,100,
11008,note_off,,,,,256,0,11,,,,,4,,64,100,
11008,note_off,,,,,256,0,12,,,,,5,,52,100,
11008,note_off,,,,,0,0,13,,,,,6,,71,100,
11008,note_off,,,,,256,0,13,,,,,6,,68,100,
11136,note_on,,,,,128,0,11,,,,,4,,64,100,
11136,note_on,,,,,128,0,9,,,,,2,,76,100,
11136,note_on,,,,,128,0,13,,,,,6,,68,100,
11136,note_on,,,,,128,0,12,,,,,5,,52,100,
11136,note_on,,,,,128,0,10,,,,,3,,76,100,
11136,note_on,,,,,128,0,14,,,,,6,,64,100,
11136,note_on,,,,,0,0,13,,,,,6,,71,100,
11392,note_off,,,,,256,0,13,,,,,6,,68,100,
11392,note_off,,,,,0,0,13,,,,,6,,71,100,
11392,note_off,,,,,256,0,11,,,,,4,,64,100,
11392,note_off,,,,,256,0,9,,,,,2,,76,100,
11392,note_off,,,,,256,0,10,,,,,3,,76,100,
11392,note_off,,,,,256,0,14,,,,,6,,64,100,
11392,note_off,,,,,256,0,12,,,,,5,,52,100,
11520,note_on,,,,,128,0,12,,,,,5,,45,100,
11520,note_on,,,,,0,0,13,,,,,6,,72,100,
11520,note_on,,,,,128,0,10,,,,,3,,69,100,
