tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,program,channel,control,value,note,velocity
2880,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
3020,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
3020,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
3040,note_on,20,0,1,,,,,,,,,,,,,,0,,,67,90
3040,note_on,0,0,1,,,,,,,,,,,,,,0,,,55,90
3180,note_off,140,0,1,,,,,,,,,,,,,,0,,,67,64
3180,note_off,0,0,1,,,,,,,,,,,,,,0,,,55,64
3200,note_on,20,0,1,,,,,,,,,,,,,,0,,,67,90
3200,note_on,0,0,1,,,,,,,,,,,,,,0,,,55,90
3340,note_off,140,0,1,,,,,,,,,,,,,,0,,,67,64
3340,note_off,0,0,1,,,,,,,,,,,,,,0,,,55,64
3360,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
3360,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
3500,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
3500,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
3520,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
3520,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
3660,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
3660,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
3680,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
3680,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
3820,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
3820,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
3840,note_on,3640,0,2,,,,,,,,,,,,,,1,,,43,90
3840,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
3840,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
3980,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
3980,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
4000,note_on,0,0,1,,,,,,,,,,,,,,0,,,55,90
4000,note_on,20,0,1,,,,,,,,,,,,,,0,,,67,90
4000,note_off,160,0,2,,,,,,,,,,,,,,1,,,43,64
4000,note_on,0,0,2,,,,,,,,,,,,,,1,,,45,90
4140,note_off,0,0,1,,,,,,,,,,,,,,0,,,55,64
4140,note_off,140,0,1,,,,,,,,,,,,,,0,,,67,64
4160,note_off,160,0,2,,,,,,,,,,,,,,1,,,45,64
4160,note_on,0,0,2,,,,,,,,,,,,,,1,,,46,90
4160,note_on,20,0,1,,,,,,,,,,,,,,0,,,67,90
4160,note_on,0,0,1,,,,,,,,,,,,,,0,,,55,90
4300,note_off,140,0,1,,,,,,,,,,,,,,0,,,67,64
4300,note_off,0,0,1,,,,,,,,,,,,,,0,,,55,64
4320,note_off,160,0,2,,,,,,,,,,,,,,1,,,46,64
4320,note_on,0,0,2,,,,,,,,,,,,,,1,,,48,90
4320,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
4320,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
4460,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
4460,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
4480,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
4480,note_on,0,0,2,,,,,,,,,,,,,,1,,,50,90
4480,note_off,160,0,2,,,,,,,,,,,,,,1,,,48,64
4480,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
4620,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
4620,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
4640,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
4640,note_off,160,0,2,,,,,,,,,,,,,,1,,,50,64
4640,note_on,0,0,2,,,,,,,,,,,,,,1,,,51,90
4640,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
4780,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
4780,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
4800,note_off,160,0,2,,,,,,,,,,,,,,1,,,51,64
4800,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
4800,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
4800,note_on,0,0,2,,,,,,,,,,,,,,1,,,50,90
4940,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
4940,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
4960,note_on,20,0,1,,,,,,,,,,,,,,0,,,67,90
4960,note_on,0,0,1,,,,,,,,,,,,,,0,,,55,90
5030,note_off,230,0,2,,,,,,,,,,,,,,1,,,50,64
5100,note_off,140,0,1,,,,,,,,,,,,,,0,,,67,64
5100,note_off,0,0,1,,,,,,,,,,,,,,0,,,55,64
5120,note_on,20,0,1,,,,,,,,,,,,,,0,,,67,90
5120,note_on,0,0,1,,,,,,,,,,,,,,0,,,55,90
5260,note_off,0,0,1,,,,,,,,,,,,,,0,,,55,64
5260,note_off,140,0,1,,,,,,,,,,,,,,0,,,67,64
5280,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
5280,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
5280,note_on,250,0,2,,,,,,,,,,,,,,1,,,46,90
5420,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
5420,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
5440,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
5440,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
5510,note_off,230,0,2,,,,,,,,,,,,,,1,,,46,64
5580,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
5580,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
5600,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
5600,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
5740,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
5740,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
5760,note_on,250,0,2,,,,,,,,,,,,,,1,,,43,90
5760,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
5760,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
5900,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
5900,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
5920,note_on,0,0,1,,,,,,,,,,,,,,0,,,55,90
5920,note_on,20,0,1,,,,,,,,,,,,,,0,,,67,90
6060,note_off,0,0,1,,,,,,,,,,,,,,0,,,55,64
6060,note_off,140,0,1,,,,,,,,,,,,,,0,,,67,64
6080,note_on,20,0,1,,,,,,,,,,,,,,0,,,67,90
6080,note_on,0,0,1,,,,,,,,,,,,,,0,,,55,90
6090,note_off,330,0,2,,,,,,,,,,,,,,1,,,43,64
6220,note_off,140,0,1,,,,,,,,,,,,,,0,,,67,64
6220,note_off,0,0,1,,,,,,,,,,,,,,0,,,55,64
6240,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
6240,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
6380,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
6380,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
6400,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
6400,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
6540,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
6540,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
6560,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
6560,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
6700,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
6700,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
6720,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
6720,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
6860,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
6860,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
6880,note_on,20,0,1,,,,,,,,,,,,,,0,,,67,90
6880,note_on,0,0,1,,,,,,,,,,,,,,0,,,55,90
7020,note_off,0,0,1,,,,,,,,,,,,,,0,,,55,64
7020,note_off,140,0,1,,,,,,,,,,,,,,0,,,67,64
7040,note_on,20,0,1,,,,,,,,,,,,,,0,,,67,90
7040,note_on,0,0,1,,,,,,,,,,,,,,0,,,55,90
7180,note_off,0,0,1,,,,,,,,,,,,,,0,,,55,64
7180,note_off,140,0,1,,,,,,,,,,,,,,0,,,67,64
7200,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
7200,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
7340,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
7340,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
7360,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
7360,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
7500,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
7500,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
7520,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
7520,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
7660,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
7660,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
7680,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
7680,note_on,1590,0,2,,,,,,,,,,,,,,1,,,43,90
7680,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
7820,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
7820,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
7840,note_on,0,0,2,,,,,,,,,,,,,,1,,,45,90
7840,note_off,160,0,2,,,,,,,,,,,,,,1,,,43,64
7840,note_on,0,0,1,,,,,,,,,,,,,,0,,,55,90
7840,note_on,20,0,1,,,,,,,,,,,,,,0,,,67,90
7980,note_off,0,0,1,,,,,,,,,,,,,,0,,,55,64
7980,note_off,140,0,1,,,,,,,,,,,,,,0,,,67,64
8000,note_on,20,0,1,,,,,,,,,,,,,,0,,,67,90
8000,note_on,0,0,2,,,,,,,,,,,,,,1,,,46,90
8000,note_off,160,0,2,,,,,,,,,,,,,,1,,,45,64
8000,note_on,0,0,1,,,,,,,,,,,,,,0,,,55,90
8140,note_off,140,0,1,,,,,,,,,,,,,,0,,,67,64
8140,note_off,0,0,1,,,,,,,,,,,,,,0,,,55,64
8160,note_off,160,0,2,,,,,,,,,,,,,,1,,,46,64
8160,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
8160,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
8160,note_on,0,0,2,,,,,,,,,,,,,,1,,,48,90
8300,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
8300,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
8320,note_on,0,0,2,,,,,,,,,,,,,,1,,,50,90
8320,note_off,160,0,2,,,,,,,,,,,,,,1,,,48,64
8320,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
8320,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
8460,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
8460,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
8480,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
8480,note_off,160,0,2,,,,,,,,,,,,,,1,,,50,64
8480,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
8480,note_on,0,0,2,,,,,,,,,,,,,,1,,,51,90
8620,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
8620,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
8640,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
8640,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
8640,note_off,160,0,2,,,,,,,,,,,,,,1,,,51,64
8640,note_on,0,0,2,,,,,,,,,,,,,,1,,,50,90
8780,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
8780,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
8800,note_on,20,0,1,,,,,,,,,,,,,,0,,,67,90
8800,note_on,0,0,1,,,,,,,,,,,,,,0,,,55,90
8870,note_off,230,0,2,,,,,,,,,,,,,,1,,,50,64
8940,note_off,140,0,1,,,,,,,,,,,,,,0,,,67,64
8940,note_off,0,0,1,,,,,,,,,,,,,,0,,,55,64
8960,note_on,20,0,1,,,,,,,,,,,,,,0,,,67,90
8960,note_on,0,0,1,,,,,,,,,,,,,,0,,,55,90
9100,note_off,140,0,1,,,,,,,,,,,,,,0,,,67,64
9100,note_off,0,0,1,,,,,,,,,,,,,,0,,,55,64
9120,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
9120,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
9120,note_on,250,0,2,,,,,,,,,,,,,,1,,,46,90
9260,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
9260,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
9280,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
9280,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
9350,note_off,230,0,2,,,,,,,,,,,,,,1,,,46,64
9420,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
9420,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
9440,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
9440,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
9580,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
9580,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
9600,note_on,250,0,2,,,,,,,,,,,,,,1,,,43,90
9600,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
9600,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
9740,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
9740,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
9760,note_on,20,0,1,,,,,,,,,,,,,,0,,,67,90
9760,note_on,0,0,1,,,,,,,,,,,,,,0,,,55,90
9900,note_off,140,0,1,,,,,,,,,,,,,,0,,,67,64
9900,note_off,0,0,1,,,,,,,,,,,,,,0,,,55,64
9920,note_on,20,0,1,,,,,,,,,,,,,,0,,,67,90
9920,note_on,0,0,1,,,,,,,,,,,,,,0,,,55,90
9930,note_off,330,0,2,,,,,,,,,,,,,,1,,,43,64
10060,note_off,0,0,1,,,,,,,,,,,,,,0,,,55,64
10060,note_off,140,0,1,,,,,,,,,,,,,,0,,,67,64
10080,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
10080,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
10220,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
10220,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
10240,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
10240,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
10380,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
10380,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
10400,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
10400,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
10540,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
10540,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
10560,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
10560,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
10700,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
10700,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
10720,note_on,20,0,1,,,,,,,,,,,,,,0,,,67,90
10720,note_on,0,0,1,,,,,,,,,,,,,,0,,,55,90
10860,note_off,140,0,1,,,,,,,,,,,,,,0,,,67,64
10860,note_off,0,0,1,,,,,,,,,,,,,,0,,,55,64
10880,note_on,20,0,1,,,,,,,,,,,,,,0,,,67,90
10880,note_on,0,0,1,,,,,,,,,,,,,,0,,,55,90
11020,note_off,0,0,1,,,,,,,,,,,,,,0,,,55,64
11020,note_off,140,0,1,,,,,,,,,,,,,,0,,,67,64
11040,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
11040,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
11180,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
11180,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
11200,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
11200,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
11340,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
11340,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
11360,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
11360,note_on,20,0,1,,,,,,,,,,,,,,0,,,55,90
11500,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
11500,note_off,140,0,1,,,,,,,,,,,,,,0,,,55,64
11520,note_on,0,0,2,,,,,,,,,,,,,,1,,,36,90
11520,note_on,1590,0,2,,,,,,,,,,,,,,1,,,48,90
11520,note_on,20,0,1,,,,,,,,,,,,,,0,,,57,90
11520,note_on,0,0,1,,,,,,,,,,,,,,0,,,69,90
11520,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
11660,note_off,140,0,1,,,,,,,,,,,,,,0,,,57,64
11660,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
11660,note_off,0,0,1,,,,,,,,,,,,,,0,,,69,64
11680,note_on,20,0,1,,,,,,,,,,,,,,0,,,69,90
11680,note_on,0,0,1,,,,,,,,,,,,,,0,,,57,90
11680,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
11820,note_off,140,0,1,,,,,,,,,,,,,,0,,,69,64
11820,note_off,0,0,1,,,,,,,,,,,,,,0,,,57,64
11820,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
11840,note_on,20,0,1,,,,,,,,,,,,,,0,,,69,90
11840,note_on,0,0,1,,,,,,,,,,,,,,0,,,57,90
11840,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
11980,note_off,140,0,1,,,,,,,,,,,,,,0,,,69,64
11980,note_off,0,0,1,,,,,,,,,,,,,,0,,,57,64
11980,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
12000,control_change,20,0,1,,,,,,,,,,,,,,0,11,92,,
12000,note_on,0,0,1,,,,,,,,,,,,,,0,,,57,90
12000,note_on,0,0,1,,,,,,,,,,,,,,0,,,69,90
12000,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
12058,control_change,58,0,1,,,,,,,,,,,,,,0,11,92,,
12117,control_change,59,0,1,,,,,,,,,,,,,,0,11,93,,
12140,note_off,23,0,1,,,,,,,,,,,,,,0,,,57,64
12140,note_off,0,0,1,,,,,,,,,,,,,,0,,,69,64
12140,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
12160,note_on,20,0,1,,,,,,,,,,,,,,0,,,57,90
12160,note_on,0,0,1,,,,,,,,,,,,,,0,,,69,90
12160,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
12176,control_change,16,0,1,,,,,,,,,,,,,,0,11,94,,
12235,control_change,59,0,1,,,,,,,,,,,,,,0,11,95,,
12293,control_change,58,0,1,,,,,,,,,,,,,,0,11,96,,
12300,note_off,7,0,1,,,,,,,,,,,,,,0,,,57,64
12300,note_off,0,0,1,,,,,,,,,,,,,,0,,,69,64
12300,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
12320,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
12320,note_on,20,0,1,,,,,,,,,,,,,,0,,,57,90
12320,note_on,0,0,1,,,,,,,,,,,,,,0,,,69,90
12352,control_change,32,0,1,,,,,,,,,,,,,,0,11,97,,
12411,control_change,59,0,1,,,,,,,,,,,,,,0,11,98,,
12460,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
12460,note_off,0,0,1,,,,,,,,,,,,,,0,,,69,64
12460,note_off,49,0,1,,,,,,,,,,,,,,0,,,57,64
12470,control_change,10,0,1,,,,,,,,,,,,,,0,11,99,,
12480,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
12480,note_on,0,0,1,,,,,,,,,,,,,,0,,,69,90
12480,note_on,10,0,1,,,,,,,,,,,,,,0,,,57,90
12528,control_change,48,0,1,,,,,,,,,,,,,,0,11,100,,
12587,control_change,59,0,1,,,,,,,,,,,,,,0,11,101,,
12620,note_off,0,0,1,,,,,,,,,,,,,,0,,,69,64
12620,note_off,33,0,1,,,,,,,,,,,,,,0,,,57,64
12620,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
12640,note_on,20,0,1,,,,,,,,,,,,,,0,,,69,90
12640,note_on,0,0,1,,,,,,,,,,,,,,0,,,57,90
12640,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
12646,control_change,6,0,1,,,,,,,,,,,,,,0,11,102,,
12705,control_change,59,0,1,,,,,,,,,,,,,,0,11,103,,
12763,control_change,58,0,1,,,,,,,,,,,,,,0,11,104,,
12780,note_off,17,0,1,,,,,,,,,,,,,,0,,,69,64
12780,note_off,0,0,1,,,,,,,,,,,,,,0,,,57,64
12780,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
12800,note_on,20,0,1,,,,,,,,,,,,,,0,,,69,90
12800,note_on,0,0,1,,,,,,,,,,,,,,0,,,57,90
12800,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
12822,control_change,22,0,1,,,,,,,,,,,,,,0,11,105,,
12881,control_change,59,0,1,,,,,,,,,,,,,,0,11,106,,
12940,control_change,0,0,1,,,,,,,,,,,,,,0,11,107,,
12940,note_off,59,0,1,,,,,,,,,,,,,,0,,,69,64
12940,note_off,0,0,1,,,,,,,,,,,,,,0,,,57,64
12940,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
12960,note_on,0,0,2,,,,,,,,,,,,,,1,,,37,90
12960,note_on,0,0,2,,,,,,,,,,,,,,1,,,49,90
12960,note_off,0,0,2,,,,,,,,,,,,,,1,,,36,64
12960,note_off,1440,0,2,,,,,,,,,,,,,,1,,,48,64
12960,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
12960,note_on,20,0,1,,,,,,,,,,,,,,0,,,57,90
12960,note_on,0,0,1,,,,,,,,,,,,,,0,,,69,90
12998,control_change,38,0,1,,,,,,,,,,,,,,0,11,108,,
13057,control_change,59,0,1,,,,,,,,,,,,,,0,11,109,,
13100,note_off,43,0,1,,,,,,,,,,,,,,0,,,57,64
13100,note_off,0,0,1,,,,,,,,,,,,,,0,,,69,64
13100,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
13116,control_change,16,0,1,,,,,,,,,,,,,,0,11,110,,
13120,note_on,4,0,1,,,,,,,,,,,,,,0,,,57,90
13120,note_on,0,0,1,,,,,,,,,,,,,,0,,,69,90
13120,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
13175,control_change,55,0,1,,,,,,,,,,,,,,0,11,111,,
13233,control_change,58,0,1,,,,,,,,,,,,,,0,11,112,,
13260,note_off,0,0,1,,,,,,,,,,,,,,0,,,67,64
13260,note_off,0,0,1,,,,,,,,,,,,,,0,,,69,64
13260,note_off,27,0,1,,,,,,,,,,,,,,0,,,57,64
13280,note_on,20,0,1,,,,,,,,,,,,,,0,,,57,90
13280,note_on,0,0,1,,,,,,,,,,,,,,0,,,69,90
13280,note_on,0,0,1,,,,,,,,,,,,,,0,,,67,90
13292,control_change,12,0,1,,,,,,,,,,,,,,0,11,113,,
13351,control_change,59,0,1,,,,,,,,,,,,,,0,11,114,,
13409,control_change,58,0,1,,,,,,,,,,,,,,0,11,116,,
13410,control_change,1,0,1,,,,,,,,,,,,,,0,11,116,,
