tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,port,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
1137,note_on,25,0,2,,,,,,,,,,,,,,,,0,,,56,0
1145,note_on,9,0,1,,,,,,,,,,,,,,,,0,,,70,61
1200,note_on,55,0,1,,,,,,,,,,,,,,,,0,,,62,51
1203,note_on,3,0,1,,,,,,,,,,,,,,,,0,,,65,67
1207,note_on,4,0,1,,,,,,,,,,,,,,,,0,,,65,0
1209,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,70,0
1213,note_on,4,0,1,,,,,,,,,,,,,,,,0,,,62,0
1217,note_on,4,0,1,,,,,,,,,,,,,,,,0,,,65,0
1260,note_on,43,0,1,,,,,,,,,,,,,,,,0,,,34,62
1263,note_on,3,0,1,,,,,,,,,,,,,,,,0,,,46,47
1265,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,41,56
1283,control_change,18,0,1,,,,,,,,,,,,,,,,0,64,0,,
1318,control_change,35,0,1,,,,,,,,,,,,,,,,0,64,127,,
1319,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,70,71
1320,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,65,61
1336,note_on,16,0,1,,,,,,,,,,,,,,,,0,,,34,0
1345,note_on,9,0,1,,,,,,,,,,,,,,,,0,,,46,0
1373,note_on,28,0,1,,,,,,,,,,,,,,,,0,,,74,58
1374,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,65,44
1389,note_on,15,0,1,,,,,,,,,,,,,,,,0,,,41,0
1404,note_on,15,0,1,,,,,,,,,,,,,,,,0,,,70,0
1428,note_on,24,0,1,,,,,,,,,,,,,,,,0,,,70,66
1432,note_on,4,0,1,,,,,,,,,,,,,,,,0,,,77,56
1468,note_on,36,0,1,,,,,,,,,,,,,,,,0,,,65,0
1485,note_on,17,0,1,,,,,,,,,,,,,,,,0,,,74,0
1490,note_on,5,0,1,,,,,,,,,,,,,,,,0,,,74,45
1533,note_on,43,0,1,,,,,,,,,,,,,,,,0,,,65,0
1538,note_on,5,0,1,,,,,,,,,,,,,,,,0,,,70,0
1542,note_on,4,0,1,,,,,,,,,,,,,,,,0,,,77,0
1547,note_on,5,0,1,,,,,,,,,,,,,,,,0,,,70,59
1549,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,65,34
1554,note_on,5,0,1,,,,,,,,,,,,,,,,0,,,74,0
1555,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,70,0
1559,note_on,4,0,1,,,,,,,,,,,,,,,,0,,,65,0
1600,note_on,41,0,1,,,,,,,,,,,,,,,,0,,,34,62
1601,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,46,57
1604,note_on,3,0,1,,,,,,,,,,,,,,,,0,,,41,51
1662,note_on,58,0,1,,,,,,,,,,,,,,,,0,,,68,61
1663,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,74,69
1682,note_on,19,0,1,,,,,,,,,,,,,,,,0,,,34,0
1691,note_on,9,0,1,,,,,,,,,,,,,,,,0,,,46,0
1713,note_on,22,0,1,,,,,,,,,,,,,,,,0,,,68,54
1717,note_on,4,0,1,,,,,,,,,,,,,,,,0,,,77,54
1740,note_on,23,0,1,,,,,,,,,,,,,,,,0,,,41,0
1752,note_on,12,0,1,,,,,,,,,,,,,,,,0,,,68,0
1773,note_on,21,0,1,,,,,,,,,,,,,,,,0,,,80,52
1775,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,74,58
1782,note_on,7,0,1,,,,,,,,,,,,,,,,0,,,68,28
1807,note_on,25,0,1,,,,,,,,,,,,,,,,0,,,74,0
1827,note_on,20,0,1,,,,,,,,,,,,,,,,0,,,68,0
1830,note_on,3,0,1,,,,,,,,,,,,,,,,0,,,77,0
1835,note_on,5,0,1,,,,,,,,,,,,,,,,0,,,77,43
1847,note_on,12,0,1,,,,,,,,,,,,,,,,0,,,80,0
1852,note_on,5,0,1,,,,,,,,,,,,,,,,0,,,74,0
1854,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,68,0
1889,note_on,35,0,1,,,,,,,,,,,,,,,,0,,,74,60
1890,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,77,0
1891,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,68,28
1896,note_on,5,0,1,,,,,,,,,,,,,,,,0,,,74,0
1911,note_on,15,0,1,,,,,,,,,,,,,,,,0,,,68,0
1942,note_on,31,0,1,,,,,,,,,,,,,,,,0,,,34,61
1943,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,46,56
1945,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,41,55
1955,control_change,10,0,1,,,,,,,,,,,,,,,,0,64,0,,
1994,control_change,39,0,1,,,,,,,,,,,,,,,,0,64,127,,
2001,note_on,7,0,1,,,,,,,,,,,,,,,,0,,,70,62
2005,note_on,4,0,1,,,,,,,,,,,,,,,,0,,,67,34
2017,note_on,12,0,1,,,,,,,,,,,,,,,,0,,,34,0
2023,note_on,6,0,1,,,,,,,,,,,,,,,,0,,,46,0
2055,note_on,32,0,1,,,,,,,,,,,,,,,,0,,,70,57
2057,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,75,60
2058,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,67,45
2065,note_on,0,0,1,,,,,,,,,,,,,,,,0,,,41,0
2065,note_on,7,0,1,,,,,,,,,,,,,,,,0,,,70,0
2070,note_on,5,0,1,,,,,,,,,,,,,,,,0,,,67,0
2114,note_on,0,0,1,,,,,,,,,,,,,,,,0,,,67,46
2114,note_on,44,0,1,,,,,,,,,,,,,,,,0,,,79,47
2115,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,75,42
2130,note_on,15,0,1,,,,,,,,,,,,,,,,0,,,70,0
2131,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,75,0
2133,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,67,0
2174,note_on,41,0,1,,,,,,,,,,,,,,,,0,,,75,51
2225,note_on,51,0,1,,,,,,,,,,,,,,,,0,,,79,0
2232,note_on,7,0,1,,,,,,,,,,,,,,,,0,,,70,52
2234,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,67,0
2236,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,75,0
2249,note_on,13,0,1,,,,,,,,,,,,,,,,0,,,75,0
2249,note_on,0,0,1,,,,,,,,,,,,,,,,0,,,70,0
2289,note_on,40,0,1,,,,,,,,,,,,,,,,0,,,34,56
2290,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,46,51
2292,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,41,40
2310,control_change,18,0,1,,,,,,,,,,,,,,,,0,64,0,,
2342,control_change,32,0,1,,,,,,,,,,,,,,,,0,64,127,,
2350,note_on,8,0,1,,,,,,,,,,,,,,,,0,,,66,50
2353,note_on,3,0,1,,,,,,,,,,,,,,,,0,,,69,53
2359,note_on,6,0,1,,,,,,,,,,,,,,,,0,,,34,0
2360,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,46,0
2405,note_on,45,0,1,,,,,,,,,,,,,,,,0,,,75,63
2430,note_on,25,0,1,,,,,,,,,,,,,,,,0,,,41,0
2464,note_on,34,0,1,,,,,,,,,,,,,,,,0,,,78,42
2470,note_on,6,0,1,,,,,,,,,,,,,,,,0,,,75,28
2478,note_on,8,0,1,,,,,,,,,,,,,,,,0,,,66,0
2520,note_on,42,0,1,,,,,,,,,,,,,,,,0,,,69,0
2521,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,75,57
2563,note_on,42,0,1,,,,,,,,,,,,,,,,0,,,75,0
2570,note_on,7,0,1,,,,,,,,,,,,,,,,0,,,78,0
2571,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,75,0
2583,note_on,12,0,1,,,,,,,,,,,,,,,,0,,,69,51
2586,note_on,3,0,1,,,,,,,,,,,,,,,,0,,,75,0
2589,note_on,3,0,1,,,,,,,,,,,,,,,,0,,,69,0
2631,note_on,42,0,1,,,,,,,,,,,,,,,,0,,,34,57
2633,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,41,51
2634,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,46,45
2655,control_change,21,0,1,,,,,,,,,,,,,,,,0,64,0,,
2691,note_on,36,0,1,,,,,,,,,,,,,,,,0,,,65,58
2692,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,70,57
2698,control_change,6,0,1,,,,,,,,,,,,,,,,0,64,127,,
2712,note_on,14,0,1,,,,,,,,,,,,,,,,0,,,34,0
2716,note_on,4,0,1,,,,,,,,,,,,,,,,0,,,41,0
2750,note_on,34,0,1,,,,,,,,,,,,,,,,0,,,74,47
2751,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,70,33
2752,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,65,24
2765,note_on,13,0,1,,,,,,,,,,,,,,,,0,,,46,0
2771,note_on,6,0,1,,,,,,,,,,,,,,,,0,,,65,0
2782,note_on,11,0,1,,,,,,,,,,,,,,,,0,,,70,0
2804,note_on,22,0,1,,,,,,,,,,,,,,,,0,,,70,53
2808,note_on,4,0,1,,,,,,,,,,,,,,,,0,,,77,42
2809,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,65,43
2832,note_on,23,0,1,,,,,,,,,,,,,,,,0,,,74,0
2861,note_on,29,0,1,,,,,,,,,,,,,,,,0,,,70,0
2868,note_on,7,0,1,,,,,,,,,,,,,,,,0,,,74,44
2877,note_on,9,0,1,,,,,,,,,,,,,,,,0,,,65,0
2897,note_on,20,0,1,,,,,,,,,,,,,,,,0,,,70,0
2911,note_on,14,0,1,,,,,,,,,,,,,,,,0,,,77,0
2913,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,65,0
2918,note_on,5,0,1,,,,,,,,,,,,,,,,0,,,70,57
2922,note_on,4,0,1,,,,,,,,,,,,,,,,0,,,65,41
2923,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,74,0
2933,note_on,10,0,1,,,,,,,,,,,,,,,,0,,,70,0
2938,note_on,5,0,1,,,,,,,,,,,,,,,,0,,,65,0
2970,note_on,32,0,1,,,,,,,,,,,,,,,,0,,,34,53
2971,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,46,47
2971,note_on,0,0,1,,,,,,,,,,,,,,,,0,,,41,48
2989,control_change,18,0,1,,,,,,,,,,,,,,,,0,64,0,,
2997,control_change,8,0,1,,,,,,,,,,,,,,,,0,64,127,,
3033,note_on,36,0,1,,,,,,,,,,,,,,,,0,,,65,51
3034,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,62,24
3042,note_on,8,0,1,,,,,,,,,,,,,,,,0,,,34,0
3045,note_on,3,0,1,,,,,,,,,,,,,,,,0,,,46,0
3084,note_on,39,0,1,,,,,,,,,,,,,,,,0,,,70,54
3086,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,65,37
3095,note_on,9,0,1,,,,,,,,,,,,,,,,0,,,41,0
3113,note_on,18,0,1,,,,,,,,,,,,,,,,0,,,65,0
3141,note_on,28,0,1,,,,,,,,,,,,,,,,0,,,74,24
3142,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,65,44
3156,note_on,14,0,1,,,,,,,,,,,,,,,,0,,,62,0
3165,note_on,9,0,1,,,,,,,,,,,,,,,,0,,,70,0
3187,note_on,22,0,1,,,,,,,,,,,,,,,,0,,,65,0
3188,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,74,0
3188,note_on,0,0,1,,,,,,,,,,,,,,,,0,,,65,0
3200,note_on,12,0,1,,,,,,,,,,,,,,,,0,,,70,45
3257,note_on,57,0,1,,,,,,,,,,,,,,,,0,,,62,46
3260,note_on,3,0,1,,,,,,,,,,,,,,,,0,,,65,57
3261,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,70,0
3263,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,62,0
3266,note_on,3,0,1,,,,,,,,,,,,,,,,0,,,65,0
3311,note_on,2174,0,2,,,,,,,,,,,,,,,,0,,,70,92
3314,note_on,48,0,1,,,,,,,,,,,,,,,,0,,,34,62
3316,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,46,54
3320,note_on,4,0,1,,,,,,,,,,,,,,,,0,,,41,54
3337,control_change,17,0,1,,,,,,,,,,,,,,,,0,64,0,,
3376,control_change,39,0,1,,,,,,,,,,,,,,,,0,64,127,,
3377,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,65,58
3377,note_on,0,0,1,,,,,,,,,,,,,,,,0,,,62,50
3390,note_on,13,0,1,,,,,,,,,,,,,,,,0,,,34,0
3394,note_on,4,0,1,,,,,,,,,,,,,,,,0,,,46,0
3433,note_on,39,0,1,,,,,,,,,,,,,,,,0,,,70,52
3452,note_on,19,0,1,,,,,,,,,,,,,,,,0,,,41,0
3490,note_on,38,0,1,,,,,,,,,,,,,,,,0,,,74,69
3495,note_on,5,0,1,,,,,,,,,,,,,,,,0,,,62,30
3535,note_on,40,0,1,,,,,,,,,,,,,,,,0,,,65,0
3540,note_on,5,0,1,,,,,,,,,,,,,,,,0,,,70,59
3554,note_on,14,0,1,,,,,,,,,,,,,,,,0,,,62,0
3560,note_on,6,0,1,,,,,,,,,,,,,,,,0,,,70,0
3567,note_on,7,0,1,,,,,,,,,,,,,,,,0,,,74,0
3573,note_on,6,0,1,,,,,,,,,,,,,,,,0,,,62,0
3587,note_on,14,0,1,,,,,,,,,,,,,,,,0,,,70,0
3600,note_on,13,0,1,,,,,,,,,,,,,,,,0,,,65,59
3608,note_on,8,0,1,,,,,,,,,,,,,,,,0,,,65,0
3659,note_on,51,0,1,,,,,,,,,,,,,,,,0,,,31,67
3660,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,43,63
3670,control_change,10,0,1,,,,,,,,,,,,,,,,0,64,0,,
3708,control_change,38,0,1,,,,,,,,,,,,,,,,0,64,127,,
3719,note_on,11,0,1,,,,,,,,,,,,,,,,0,,,64,72
3721,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,62,46
3725,note_on,4,0,1,,,,,,,,,,,,,,,,0,,,31,0
3727,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,43,0
3775,note_on,48,0,1,,,,,,,,,,,,,,,,0,,,70,61
3778,note_on,3,0,1,,,,,,,,,,,,,,,,0,,,62,45
3787,note_on,9,0,1,,,,,,,,,,,,,,,,0,,,64,0
3799,note_on,12,0,1,,,,,,,,,,,,,,,,0,,,62,0
3836,note_on,37,0,1,,,,,,,,,,,,,,,,0,,,62,49
3837,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,74,49
3856,note_on,545,0,2,,,,,,,,,,,,,,,,0,,,69,105
3858,note_on,2,0,2,,,,,,,,,,,,,,,,0,,,70,0
3861,note_on,24,0,1,,,,,,,,,,,,,,,,0,,,70,0
3874,note_on,13,0,1,,,,,,,,,,,,,,,,0,,,62,0
3892,note_on,18,0,1,,,,,,,,,,,,,,,,0,,,70,51
3920,note_on,28,0,1,,,,,,,,,,,,,,,,0,,,62,0
3930,note_on,10,0,1,,,,,,,,,,,,,,,,0,,,74,0
3931,note_on,73,0,2,,,,,,,,,,,,,,,,0,,,69,0
3941,note_on,10,0,2,,,,,,,,,,,,,,,,0,,,70,106
3952,note_on,22,0,1,,,,,,,,,,,,,,,,0,,,70,0
3953,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,62,35
3961,note_on,8,0,1,,,,,,,,,,,,,,,,0,,,62,0
4007,note_on,46,0,1,,,,,,,,,,,,,,,,0,,,29,63
4007,note_on,66,0,2,,,,,,,,,,,,,,,,0,,,70,0
4011,note_on,4,0,1,,,,,,,,,,,,,,,,0,,,41,46
4016,note_on,9,0,2,,,,,,,,,,,,,,,,0,,,74,108
4028,control_change,17,0,1,,,,,,,,,,,,,,,,0,64,0,,
4067,control_change,39,0,1,,,,,,,,,,,,,,,,0,64,127,,
4073,note_on,6,0,1,,,,,,,,,,,,,,,,0,,,62,43
4073,note_on,0,0,1,,,,,,,,,,,,,,,,0,,,65,55
4083,note_on,10,0,1,,,,,,,,,,,,,,,,0,,,29,0
4086,note_on,3,0,1,,,,,,,,,,,,,,,,0,,,41,0
4123,note_on,37,0,1,,,,,,,,,,,,,,,,0,,,70,57
4162,note_on,39,0,1,,,,,,,,,,,,,,,,0,,,62,0
4183,note_on,21,0,1,,,,,,,,,,,,,,,,0,,,65,55
4184,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,74,49
4210,note_on,26,0,1,,,,,,,,,,,,,,,,0,,,65,0
4232,note_on,22,0,1,,,,,,,,,,,,,,,,0,,,70,0
4239,note_on,7,0,1,,,,,,,,,,,,,,,,0,,,70,62
4294,note_on,55,0,1,,,,,,,,,,,,,,,,0,,,62,49
4295,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,65,63
4308,note_on,0,0,1,,,,,,,,,,,,,,,,0,,,74,0
4308,note_on,13,0,1,,,,,,,,,,,,,,,,0,,,65,0
4311,note_on,3,0,1,,,,,,,,,,,,,,,,0,,,62,0
4311,note_on,0,0,1,,,,,,,,,,,,,,,,0,,,70,0
4314,note_on,3,0,1,,,,,,,,,,,,,,,,0,,,65,0
4354,note_on,40,0,1,,,,,,,,,,,,,,,,0,,,29,60
4356,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,41,57
4373,control_change,17,0,1,,,,,,,,,,,,,,,,0,64,0,,
4409,control_change,36,0,1,,,,,,,,,,,,,,,,0,64,127,,
4414,note_on,5,0,1,,,,,,,,,,,,,,,,0,,,63,58
4416,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,69,62
4448,note_on,32,0,1,,,,,,,,,,,,,,,,0,,,29,0
4453,note_on,5,0,1,,,,,,,,,,,,,,,,0,,,41,0
4471,note_on,18,0,1,,,,,,,,,,,,,,,,0,,,72,44
4477,note_on,6,0,1,,,,,,,,,,,,,,,,0,,,63,0
4526,note_on,49,0,1,,,,,,,,,,,,,,,,0,,,75,61
4542,note_on,16,0,1,,,,,,,,,,,,,,,,0,,,69,0
4553,note_on,11,0,1,,,,,,,,,,,,,,,,0,,,72,0
4567,note_on,551,0,2,,,,,,,,,,,,,,,,0,,,74,0
4574,note_on,7,0,2,,,,,,,,,,,,,,,,0,,,72,96
4589,note_on,36,0,1,,,,,,,,,,,,,,,,0,,,75,31
4614,note_on,25,0,1,,,,,,,,,,,,,,,,0,,,75,0
4637,note_on,23,0,1,,,,,,,,,,,,,,,,0,,,75,0
4677,note_on,103,0,2,,,,,,,,,,,,,,,,0,,,70,100
4683,note_on,6,0,2,,,,,,,,,,,,,,,,0,,,72,0
4702,note_on,65,0,1,,,,,,,,,,,,,,,,0,,,31,62
4705,note_on,3,0,1,,,,,,,,,,,,,,,,0,,,43,34
4716,control_change,11,0,1,,,,,,,,,,,,,,,,0,64,0,,
4752,control_change,36,0,1,,,,,,,,,,,,,,,,0,64,127,,
4764,note_on,0,0,1,,,,,,,,,,,,,,,,0,,,62,50
4764,note_on,12,0,1,,,,,,,,,,,,,,,,0,,,67,61
4784,note_on,20,0,1,,,,,,,,,,,,,,,,0,,,31,0
4786,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,43,0
4819,note_on,33,0,1,,,,,,,,,,,,,,,,0,,,70,54
4820,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,62,40
4840,note_on,20,0,1,,,,,,,,,,,,,,,,0,,,67,0
4858,note_on,18,0,1,,,,,,,,,,,,,,,,0,,,62,0
4875,note_on,17,0,1,,,,,,,,,,,,,,,,0,,,67,60
4876,note_on,0,0,1,,,,,,,,,,,,,,,,0,,,74,59
4876,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,62,58
4927,note_on,51,0,1,,,,,,,,,,,,,,,,0,,,70,0
4931,note_on,4,0,1,,,,,,,,,,,,,,,,0,,,70,68
4944,note_on,13,0,1,,,,,,,,,,,,,,,,0,,,62,0
4982,note_on,38,0,1,,,,,,,,,,,,,,,,0,,,62,54
4984,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,67,53
4985,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,67,0
4993,note_on,8,0,1,,,,,,,,,,,,,,,,0,,,62,0
5036,note_on,43,0,1,,,,,,,,,,,,,,,,0,,,74,0
5037,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,70,0
5038,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,43,63
5038,note_on,0,0,1,,,,,,,,,,,,,,,,0,,,31,69
5047,note_on,9,0,1,,,,,,,,,,,,,,,,0,,,67,0
5047,note_on,0,0,1,,,,,,,,,,,,,,,,0,,,62,0
5095,note_on,48,0,1,,,,,,,,,,,,,,,,0,,,67,59
5095,note_on,0,0,1,,,,,,,,,,,,,,,,0,,,62,54
5128,note_on,33,0,1,,,,,,,,,,,,,,,,0,,,43,0
5152,note_on,24,0,1,,,,,,,,,,,,,,,,0,,,70,61
5169,note_on,17,0,1,,,,,,,,,,,,,,,,0,,,31,0
5202,note_on,33,0,1,,,,,,,,,,,,,,,,0,,,67,0
5206,note_on,4,0,1,,,,,,,,,,,,,,,,0,,,62,57
5207,note_on,0,0,1,,,,,,,,,,,,,,,,0,,,74,55
5207,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,67,58
5248,note_on,41,0,1,,,,,,,,,,,,,,,,0,,,62,0
5258,note_on,10,0,1,,,,,,,,,,,,,,,,0,,,70,0
5260,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,62,0
5261,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,70,58
5324,note_on,63,0,1,,,,,,,,,,,,,,,,0,,,67,56
5331,note_on,7,0,1,,,,,,,,,,,,,,,,0,,,67,0
5332,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,74,0
5334,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,70,0
5340,note_on,6,0,1,,,,,,,,,,,,,,,,0,,,67,0
5375,note_on,692,0,2,,,,,,,,,,,,,,,,0,,,72,95
5377,note_on,2,0,2,,,,,,,,,,,,,,,,0,,,70,0
5379,note_on,39,0,1,,,,,,,,,,,,,,,,0,,,27,71
5381,note_on,2,0,1,,,,,,,,,,,,,,,,0,,,39,75
5397,control_change,16,0,1,,,,,,,,,,,,,,,,0,64,0,,
5436,control_change,39,0,1,,,,,,,,,,,,,,,,0,64,127,,
5436,note_on,0,0,1,,,,,,,,,,,,,,,,0,,,63,68
5437,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,67,68
5469,note_on,32,0,1,,,,,,,,,,,,,,,,0,,,27,0
5473,note_on,4,0,1,,,,,,,,,,,,,,,,0,,,39,0
5488,note_on,15,0,1,,,,,,,,,,,,,,,,0,,,63,62
5489,note_on,1,0,1,,,,,,,,,,,,,,,,0,,,72,68
5513,note_on,24,0,1,,,,,,,,,,,,,,,,0,,,63,0
5523,note_on,10,0,1,,,,,,,,,,,,,,,,0,,,67,0
5544,note_on,21,0,1,,,,,,,,,,,,,,,,0,,,75,63
5549,note_on,5,0,1,,,,,,,,,,,,,,,,0,,,67,52
5591,note_on,42,0,1,,,,,,,,,,,,,,,,0,,,63,0
5604,note_on,13,0,1,,,,,,,,,,,,,,,,0,,,72,61
5612,note_on,8,0,1,,,,,,,,,,,,,,,,0,,,72,0
5656,note_on,44,0,1,,,,,,,,,,,,,,,,0,,,75,0
5660,note_on,4,0,1,,,,,,,,,,,,,,,,0,,,67,0
